date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,58,64,21,0,0,0,0,0,32,50,29
2020-04-02,75,66,44,24,84,0,44,0,0,52,29
2020-04-03,69,22,45,96,0,0,0,48,100,0,0
2020-04-04,40,71,0,25,0,53,96,0,0,0,16
2020-04-05,50,24,24,26,93,0,0,0,0,0,16
2020-04-06,32,0,24,25,89,0,47,0,35,0,16
2020-04-07,70,23,46,0,0,0,0,0,68,0,15
2020-04-08,49,24,0,0,0,0,49,0,72,0,16
2020-04-09,24,70,0,0,89,0,47,0,35,0,31
2020-04-10,67,50,25,27,0,0,100,0,0,59,0
2020-04-11,35,26,0,0,0,0,52,0,38,0,0
2020-04-12,37,0,0,0,0,0,0,0,0,0,54
2020-04-13,70,26,77,27,0,0,52,0,0,0,17
2020-04-14,59,75,0,0,0,0,0,0,37,0,100
2020-04-15,100,49,25,0,0,0,49,0,36,0,49
2020-04-16,68,100,100,27,95,0,0,53,0,0,17
2020-04-17,100,24,0,0,0,0,0,0,0,0,65
2020-04-18,33,49,49,52,0,0,49,52,36,0,16
2020-04-19,33,49,24,0,93,0,0,52,36,0,0
2020-04-20,32,0,23,25,0,0,0,0,69,0,16
2020-04-21,48,47,47,0,0,52,47,0,35,0,0
2020-04-22,40,47,23,100,0,0,0,100,0,0,0
2020-04-23,40,47,23,0,0,52,0,50,35,0,16
2020-04-24,58,24,0,0,0,0,98,0,72,0,97
2020-04-25,0,0,77,27,0,0,52,0,38,0,17
2020-04-26,9,52,0,0,99,0,0,0,0,0,0
2020-04-27,26,76,0,27,0,0,51,0,37,0,0
2020-04-28,32,24,71,25,0,53,0,0,35,0,0
2020-04-29,24,48,24,26,0,0,48,0,0,0,16
2020-04-30,0,22,44,0,0,0,45,47,0,0,30
2020-05-01,9,51,0,0,0,0,52,0,0,0,0
2020-05-02,25,25,0,27,0,55,0,0,0,0,33
