date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,88,14,0,81,0,36,0,0,0,20
2020-04-02,36,29,0,0,0,0,9,0,0,82,60
2020-04-03,50,46,8,0,0,0,19,0,0,0,43
2020-04-04,50,62,15,30,0,0,19,0,0,0,22
2020-04-05,50,78,0,0,0,0,19,0,0,88,21
2020-04-06,51,100,7,0,78,0,18,0,0,0,39
2020-04-07,73,58,21,28,0,0,9,0,0,0,20
2020-04-08,36,44,0,0,0,0,18,0,0,0,60
2020-04-09,32,89,0,0,0,0,18,0,0,0,41
2020-04-10,42,17,0,0,0,0,31,0,0,0,0
2020-04-11,55,34,0,0,0,0,32,0,0,97,0
2020-04-12,76,49,0,0,0,0,30,0,0,0,23
2020-04-13,52,48,0,31,0,0,20,0,0,0,22
2020-04-14,41,57,7,0,0,0,88,0,0,81,0
2020-04-15,53,30,0,0,0,0,28,0,0,0,41
2020-04-16,63,44,0,57,0,0,18,0,0,0,0
2020-04-17,43,45,0,0,0,0,56,0,0,0,0
2020-04-18,50,47,0,0,0,0,19,0,0,0,21
2020-04-19,34,80,8,0,0,0,40,0,0,0,0
2020-04-20,34,14,0,0,0,0,8,0,0,77,0
2020-04-21,19,27,0,0,73,0,50,0,0,0,0
2020-04-22,24,13,13,0,0,0,16,0,0,0,0
2020-04-23,14,52,6,0,0,0,41,78,0,0,0
2020-04-24,31,43,0,0,0,0,53,0,0,0,0
2020-04-25,45,63,0,0,0,0,10,0,0,0,44
2020-04-26,11,31,8,0,0,0,58,0,0,0,0
2020-04-27,15,0,7,27,0,0,17,0,0,0,0
2020-04-28,27,38,13,0,0,0,16,0,0,0,0
2020-04-29,39,14,0,27,0,0,51,82,0,0,19
2020-04-30,40,62,12,0,0,0,100,0,0,0,0
2020-05-01,16,0,0,29,0,0,27,88,0,0,20
2020-05-02,42,0,16,32,0,0,0,100,0,0,0
2020-05-03,23,48,8,0,0,0,0,95,0,0,0
2020-05-04,11,31,0,30,0,0,10,0,0,0,0
2020-05-05,26,24,0,47,0,0,30,0,0,68,33
2020-05-06,14,13,0,0,0,0,32,0,0,0,0
2020-05-07,19,27,0,0,0,0,17,0,0,0,0
2020-05-08,24,27,0,26,0,0,0,0,0,0,0
2020-05-09,34,64,8,0,88,0,0,0,0,0,22
2020-05-10,30,17,0,0,0,0,10,0,0,0,0
2020-05-11,15,0,20,0,0,0,0,0,0,0,0
2020-05-12,19,13,0,26,0,0,8,0,0,0,18
2020-05-13,24,0,7,0,0,0,8,0,86,0,18
2020-05-14,18,13,6,0,0,0,16,0,0,0,0
2020-05-15,9,0,0,0,0,0,8,0,85,0,0
2020-05-16,29,16,16,0,0,0,20,0,0,0,0
2020-05-17,48,17,0,0,0,0,0,0,0,0,23
2020-05-18,31,25,0,0,0,0,16,0,0,0,0
2020-05-19,18,13,6,25,0,0,0,0,0,0,17
2020-05-20,0,0,6,0,0,0,0,0,0,0,34
2020-05-21,33,31,0,0,0,0,29,0,0,0,21
2020-05-22,17,0,38,0,0,0,10,0,0,0,21
2020-05-23,18,17,8,0,0,0,11,0,0,0,0
2020-05-24,46,0,31,0,0,0,0,0,0,0,0
2020-05-25,11,46,0,0,0,0,10,0,0,0,0
2020-05-26,27,13,6,0,0,0,8,0,0,0,0
2020-05-27,5,13,6,0,0,0,33,0,0,0,0
2020-05-28,47,13,13,0,0,0,8,0,0,0,0
2020-05-29,20,41,7,0,0,0,0,0,88,0,0
2020-05-30,25,17,0,0,0,0,0,0,0,0,0
2020-05-31,17,16,8,0,0,0,0,0,0,0,0
2020-06-01,9,0,24,0,0,0,8,0,0,0,17
2020-06-02,19,26,6,0,0,0,8,0,0,0,18
2020-06-03,18,0,6,24,0,0,0,0,0,0,17
2020-06-04,13,0,6,0,0,0,8,0,0,0,0
2020-06-05,14,13,32,0,0,0,16,0,0,0,36
2020-06-06,25,17,25,0,0,0,0,0,0,0,0
2020-06-07,31,17,17,0,0,0,11,0,0,0,47
2020-06-08,34,12,0,0,0,0,7,0,0,0,0
2020-06-09,13,24,35,0,0,0,15,0,0,0,16
2020-06-10,26,12,0,0,0,0,22,0,0,0,0
2020-06-11,26,36,6,0,0,0,15,0,0,0,0
2020-06-12,5,14,7,0,75,0,0,0,0,0,0
2020-06-13,13,18,0,0,0,0,11,0,0,0,0
2020-06-14,25,18,0,0,0,0,11,0,0,0,0
2020-06-15,24,13,6,0,0,0,0,0,0,74,0
2020-06-16,21,24,23,0,0,0,7,0,0,0,33
2020-06-17,13,12,24,24,0,0,0,0,0,0,0
2020-06-18,5,26,32,25,0,0,16,0,0,0,0
2020-06-19,38,13,39,0,0,0,16,0,85,0,0
2020-06-20,22,0,23,0,0,0,10,0,0,0,0
2020-06-21,35,33,64,0,0,0,20,0,0,0,23
2020-06-22,28,26,45,0,0,0,16,0,0,0,0
2020-06-23,13,25,49,24,0,0,8,0,0,0,0
2020-06-24,41,25,6,0,0,0,0,0,0,0,17
2020-06-25,55,13,25,0,0,0,0,0,0,0,18
2020-06-26,39,54,53,0,0,0,0,0,0,0,19
2020-06-27,47,16,40,0,0,0,10,0,0,0,0
2020-06-28,31,57,70,0,0,0,9,0,0,0,0
2020-06-29,40,14,54,0,0,0,17,0,89,0,0
2020-06-30,9,0,36,0,0,0,8,0,0,0,0
2020-07-01,40,0,66,24,0,0,0,0,0,0,0
2020-07-02,50,64,62,0,0,0,0,0,0,0,0
2020-07-03,26,29,42,28,0,0,9,0,0,0,0
2020-07-04,10,0,21,0,0,0,9,0,94,0,20
2020-07-05,28,16,54,0,0,0,0,0,0,0,0
2020-07-06,35,12,24,24,0,0,8,0,0,0,0
2020-07-07,35,0,42,0,0,0,15,0,0,0,0
2020-07-08,31,37,48,0,0,0,0,0,0,0,0
2020-07-09,14,52,63,0,0,0,0,0,0,0,18
2020-07-10,37,0,100,0,0,0,0,0,0,72,18
2020-07-11,34,16,86,0,0,100,0,0,0,0,44
2020-07-12,53,49,40,0,0,0,10,0,0,0,0
2020-07-13,40,25,48,0,0,0,0,0,0,0,34
2020-07-14,21,0,76,0,0,0,0,0,77,0,0
2020-07-15,22,0,18,0,0,0,7,0,78,0,33
2020-07-16,18,38,49,0,0,0,0,0,0,0,35
2020-07-17,26,15,7,0,0,0,9,0,0,0,20
2020-07-18,30,0,58,0,0,0,0,0,0,0,0
2020-07-19,29,49,32,0,0,0,20,99,0,0,23
2020-07-20,9,0,19,0,0,0,8,0,0,0,18
2020-07-21,36,50,31,0,0,0,8,0,81,0,0
2020-07-22,31,25,30,0,0,0,0,0,0,0,0
2020-07-23,14,13,39,0,0,0,16,0,0,0,0
2020-07-24,30,14,28,0,0,0,18,0,0,0,20
2020-07-25,31,0,51,0,0,0,11,0,0,0,0
2020-07-26,47,33,32,0,0,0,0,0,0,0,0
2020-07-27,18,39,13,50,0,0,0,0,0,0,18
2020-07-28,52,27,39,0,0,0,8,0,85,0,0
2020-07-29,66,27,19,0,0,83,0,0,85,0,55
2020-07-30,25,41,7,0,0,0,9,0,0,0,0
2020-07-31,16,0,15,0,0,0,9,0,0,0,0
2020-08-01,17,0,23,0,0,0,10,0,0,0,21
2020-08-02,12,0,25,100,0,0,21,0,0,0,0
2020-08-03,9,13,13,0,0,0,0,0,0,0,0
2020-08-04,14,0,13,25,71,0,8,0,0,0,18
2020-08-05,13,0,18,24,0,0,0,0,0,0,17
2020-08-06,22,0,24,0,0,0,8,0,0,0,33
