date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,62,100,17,31,0,0,20,0,63,0,16
2020-04-02,74,100,17,0,0,0,37,34,63,0,16
2020-04-03,79,95,25,62,0,0,49,34,0,0,20
2020-04-04,82,91,9,64,52,0,46,72,99,93,16
2020-04-05,82,87,8,0,0,0,39,34,63,0,19
2020-04-06,73,95,8,30,48,0,84,33,31,87,15
2020-04-07,69,78,17,31,0,0,47,68,63,0,19
2020-04-08,70,85,8,31,49,50,39,68,31,0,16
2020-04-09,62,93,26,0,0,100,50,34,32,0,0
2020-04-10,66,81,51,0,100,0,30,35,0,90,12
2020-04-11,71,69,34,0,50,0,62,0,0,0,20
2020-04-12,75,78,17,30,48,0,48,0,31,0,27
2020-04-13,85,60,26,31,0,0,20,0,0,0,20
2020-04-14,81,82,26,0,0,0,88,35,0,90,8
2020-04-15,73,84,50,30,0,0,42,0,94,88,19
2020-04-16,59,50,9,31,50,0,35,69,0,0,20
2020-04-17,100,90,33,0,0,0,29,100,61,0,15
2020-04-18,80,92,98,0,52,0,28,0,66,0,4
2020-04-19,82,67,36,65,0,0,18,36,100,94,0
2020-04-20,61,45,80,32,0,0,31,36,0,0,0
2020-04-21,72,68,56,34,0,55,33,38,35,98,13
2020-04-22,65,54,59,0,0,0,39,68,31,88,31
2020-04-23,54,47,42,0,0,0,24,68,0,0,16
2020-04-24,70,60,45,65,0,0,49,72,0,0,16
2020-04-25,56,62,27,32,0,0,52,0,0,94,29
2020-04-26,71,50,60,0,50,50,100,0,64,0,8
2020-04-27,47,53,18,33,53,0,26,0,0,0,29
2020-04-28,51,37,9,0,0,0,62,0,0,93,0
2020-04-29,40,41,33,0,0,0,33,0,0,0,11
2020-04-30,40,36,38,28,0,0,38,0,0,80,11
2020-05-01,46,39,28,0,0,0,41,0,0,0,4
2020-05-02,43,36,37,0,0,0,43,37,0,0,34
2020-05-03,70,69,71,0,0,52,74,36,33,0,20
2020-05-04,57,36,52,31,51,0,68,70,32,0,20
2020-05-05,57,39,8,0,0,0,53,34,0,0,27
2020-05-06,55,43,32,29,0,47,71,0,0,85,26
2020-05-07,57,36,83,0,54,0,54,0,0,0,13
2020-05-08,49,43,36,0,0,0,53,0,0,0,17
2020-05-09,54,37,29,0,0,0,14,0,0,100,26
2020-05-10,51,38,45,33,0,53,42,73,67,0,17
2020-05-11,51,55,43,31,0,0,37,0,32,0,4
2020-05-12,90,39,57,30,0,0,33,0,0,0,11
2020-05-13,89,59,67,61,0,0,22,34,31,88,35
2020-05-14,81,58,100,60,0,0,27,34,62,0,12
2020-05-15,64,51,25,61,49,0,46,68,31,0,23
2020-05-16,86,64,76,0,0,0,32,34,63,0,20
2020-05-17,81,74,50,0,0,0,65,34,62,0,23
2020-05-18,83,64,90,30,0,0,31,33,0,0,11
2020-05-19,78,54,64,29,0,0,21,33,0,85,33
2020-05-20,69,37,70,0,0,0,16,32,0,0,36
2020-05-21,61,59,24,59,47,0,19,0,30,0,11
2020-05-22,62,51,58,0,97,0,29,33,0,0,11
2020-05-23,65,50,53,32,52,0,34,0,33,93,21
2020-05-24,56,23,45,65,0,0,29,73,0,95,50
2020-05-25,67,35,45,0,0,53,23,0,33,0,21
2020-05-26,58,50,71,32,0,0,28,72,0,0,25
2020-05-27,56,48,78,63,0,0,28,0,0,91,16
2020-05-28,59,55,34,93,50,0,12,0,0,90,8
2020-05-29,60,49,58,0,0,0,34,0,0,0,0
2020-05-30,52,46,100,0,53,0,50,0,0,95,8
