date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,73,85,11,15,73,31,26,63,19,12,19
2020-04-02,68,100,42,18,0,0,25,100,37,12,30
2020-04-03,64,76,33,11,74,31,21,90,57,36,15
2020-04-04,67,66,26,51,0,0,27,31,23,59,28
2020-04-05,65,88,27,14,30,0,35,16,47,30,28
2020-04-06,59,62,43,7,24,0,18,0,19,60,15
2020-04-07,55,66,33,31,0,31,27,13,19,73,15
2020-04-08,53,59,11,12,0,0,25,27,40,63,12
2020-04-09,51,54,44,15,50,0,21,39,39,24,19
2020-04-10,49,60,0,0,53,0,26,14,0,26,4
2020-04-11,53,63,27,5,31,0,30,32,24,30,19
2020-04-12,50,57,26,18,0,0,31,15,69,29,18
2020-04-13,50,49,47,12,0,0,23,27,20,26,24
2020-04-14,48,42,31,7,0,0,31,74,37,35,22
2020-04-15,51,50,11,15,0,0,34,13,0,62,23
2020-04-16,46,38,22,4,0,0,30,13,0,12,8
2020-04-17,45,39,0,23,0,0,22,53,40,100,16
2020-04-18,45,38,12,13,27,0,30,29,0,13,13
2020-04-19,46,38,0,22,0,37,36,15,68,14,27
2020-04-20,40,38,42,11,71,0,26,12,19,35,11
2020-04-21,58,32,11,19,73,0,30,26,0,24,8
2020-04-22,50,36,0,4,51,32,29,0,20,12,20
2020-04-23,44,42,11,8,50,0,20,13,0,25,12
2020-04-24,39,23,11,20,26,0,26,54,100,0,12
2020-04-25,39,33,12,30,84,35,16,15,22,0,30
2020-04-26,41,28,25,22,0,0,15,45,0,42,31
2020-04-27,36,25,13,4,0,0,19,0,22,0,18
2020-04-28,39,26,0,7,47,0,26,25,18,0,7
2020-04-29,38,31,11,7,0,30,23,50,19,24,26
2020-04-30,36,25,11,11,24,30,14,25,56,0,15
2020-05-01,36,33,11,23,0,0,28,51,19,0,23
2020-05-02,32,21,11,12,52,0,27,27,0,25,32
2020-05-03,35,25,24,34,54,34,32,28,0,27,8
2020-05-04,33,20,11,18,24,0,21,12,19,35,22
2020-05-05,34,21,11,22,48,0,23,25,0,47,18
2020-05-06,51,32,0,100,24,0,29,50,19,0,26
2020-05-07,45,22,11,80,50,0,16,13,39,37,23
2020-05-08,38,18,0,80,52,0,13,27,20,13,24
2020-05-09,38,8,40,88,0,0,7,47,0,0,14
2020-05-10,39,15,12,29,0,0,12,0,42,13,17
2020-05-11,38,24,20,25,0,0,16,0,36,11,39
2020-05-12,35,26,11,44,24,0,16,25,19,12,18
2020-05-13,34,23,21,40,47,0,14,12,0,23,26
2020-05-14,35,12,11,37,48,0,13,25,75,12,4
2020-05-15,36,22,22,58,100,0,14,13,19,61,12
2020-05-16,33,18,37,22,28,0,20,15,0,0,0
2020-05-17,36,25,12,30,0,0,13,15,0,14,17
2020-05-18,32,9,31,22,0,0,13,12,37,12,29
2020-05-19,39,23,11,41,48,30,13,13,19,12,37
2020-05-20,34,19,0,15,0,0,14,51,0,48,19
2020-05-21,31,19,13,22,29,0,9,0,22,28,9
2020-05-22,27,16,11,23,74,0,11,26,0,12,15
2020-05-23,28,10,23,41,26,0,6,14,21,26,16
2020-05-24,30,17,11,19,25,0,13,0,19,12,23
2020-05-25,29,11,10,11,0,0,9,0,18,0,18
2020-05-26,28,9,11,34,48,0,10,0,38,12,7
2020-05-27,27,13,11,26,0,0,14,13,19,0,22
2020-05-28,32,19,11,26,24,31,9,38,19,0,23
2020-05-29,28,15,0,23,0,0,12,0,20,0,12
2020-05-30,26,12,13,13,0,0,11,15,0,28,18
2020-05-31,27,13,0,17,28,0,7,0,0,14,17
2020-06-01,30,14,12,29,0,0,11,14,0,13,8
2020-06-02,30,15,0,11,48,0,12,0,0,24,22
2020-06-03,33,22,10,21,0,0,12,0,35,0,14
2020-06-04,28,15,10,17,0,27,9,0,17,11,17
2020-06-05,28,10,20,7,45,0,10,0,52,44,14
2020-06-06,25,4,0,28,26,0,10,0,61,0,20
2020-06-07,29,14,0,12,25,64,8,0,20,0,23
2020-06-08,27,9,10,20,0,0,9,0,0,11,13
2020-06-09,28,17,20,24,68,0,12,0,0,11,21
2020-06-10,26,14,31,15,0,30,13,0,37,0,18
2020-06-11,25,14,10,7,0,29,9,0,18,22,18
2020-06-12,24,10,0,27,0,31,9,26,58,0,4
2020-06-13,24,17,0,4,0,0,11,15,0,0,13
2020-06-14,26,5,11,20,0,0,8,0,0,0,8
2020-06-15,29,8,10,24,45,28,12,0,53,11,25
2020-06-16,28,10,10,14,44,28,5,0,35,11,10
2020-06-17,25,4,31,7,24,0,8,0,37,0,11
2020-06-18,25,11,0,18,23,30,8,12,0,35,11
2020-06-19,24,9,11,23,25,0,12,13,19,0,4
2020-06-20,24,7,26,22,29,0,12,0,0,0,9
2020-06-21,28,12,12,17,0,0,11,0,0,0,4
2020-06-22,27,11,21,7,0,0,7,0,19,12,11
2020-06-23,24,12,33,15,75,31,14,13,39,24,15
2020-06-24,31,7,34,24,26,0,13,13,0,0,16
2020-06-25,26,14,34,8,0,32,5,0,0,25,24
2020-06-26,23,14,23,4,0,0,11,0,60,0,12
2020-06-27,20,17,23,12,0,0,4,0,21,13,0
2020-06-28,24,7,0,16,0,0,10,0,20,0,12
2020-06-29,23,3,31,18,0,29,8,0,18,11,14
2020-06-30,25,12,31,11,0,30,12,50,37,0,15
2020-07-01,25,15,11,22,24,0,8,13,0,12,26
2020-07-02,22,2,11,15,49,0,9,13,19,12,19
2020-07-03,21,16,23,20,0,0,3,13,20,0,0
2020-07-04,24,10,0,29,0,0,40,0,0,13,12
2020-07-05,27,7,12,28,0,0,58,14,0,0,16
2020-07-06,29,10,11,18,24,30,39,13,0,0,26
2020-07-07,27,12,0,16,25,0,25,13,20,25,16
2020-07-08,27,13,33,12,25,0,21,0,0,0,23
2020-07-09,24,9,11,16,25,0,12,0,20,0,8
2020-07-10,23,6,35,12,26,0,10,14,0,0,8
2020-07-11,21,9,0,28,0,0,20,0,24,0,14
2020-07-12,27,7,27,5,0,0,9,16,0,0,19
2020-07-13,25,7,0,21,27,0,8,0,21,13,8
2020-07-14,25,12,11,35,0,0,9,13,39,12,27
2020-07-15,25,9,12,17,0,0,13,14,21,0,17
2020-07-16,28,6,35,12,0,0,11,0,0,13,20
2020-07-17,31,5,12,13,0,0,23,44,22,0,30
2020-07-18,28,3,57,30,0,0,23,0,0,0,5
2020-07-19,31,7,40,23,0,0,8,31,0,0,23
2020-07-20,34,6,36,29,27,34,12,0,21,0,54
2020-07-21,48,10,48,33,0,0,23,14,21,13,8
2020-07-22,41,14,61,8,0,0,20,14,0,0,21
2020-07-23,37,19,12,26,0,0,12,14,65,14,9
2020-07-24,35,6,37,30,55,0,12,29,0,0,13
2020-07-25,31,11,0,27,29,36,11,15,22,0,9
2020-07-26,34,7,39,36,0,0,14,0,0,0,14
2020-07-27,36,11,11,12,0,32,15,27,0,0,24
2020-07-28,34,10,35,41,0,0,16,14,21,0,4
2020-07-29,30,9,49,13,0,35,9,14,0,0,13
2020-07-30,28,3,13,9,0,0,10,30,0,0,18
2020-07-31,25,3,54,14,0,0,5,0,24,0,28
2020-08-01,26,7,14,19,0,0,5,0,0,0,10
2020-08-02,27,8,40,28,0,38,6,0,0,0,14
2020-08-03,28,13,12,40,52,0,6,14,0,13,20
2020-08-04,33,12,61,30,0,35,11,0,21,0,26
2020-08-05,26,7,26,13,0,0,7,15,23,0,31
2020-08-06,37,8,13,18,29,0,9,0,0,29,4
2020-08-07,29,11,13,18,30,0,7,16,0,15,14
2020-08-08,28,12,100,20,0,0,5,34,0,0,20
2020-08-09,28,3,55,14,31,0,4,32,24,15,19
2020-08-10,32,9,12,12,54,0,9,14,42,26,12
2020-08-11,27,10,47,16,0,33,9,0,21,0,57
2020-08-12,29,16,48,17,27,34,4,28,0,0,25
2020-08-13,28,8,34,8,0,0,2,27,0,0,16
2020-08-14,29,8,24,25,0,0,6,14,0,0,34
2020-08-15,30,8,13,9,29,0,9,0,0,14,9
2020-08-16,30,11,25,17,0,35,4,15,22,0,17
2020-08-17,31,14,23,0,0,32,10,13,0,0,16
2020-08-18,45,7,12,8,0,100,4,28,21,0,0
2020-08-19,34,14,24,4,0,0,6,14,21,13,21
2020-08-20,30,5,12,8,0,0,7,0,21,0,0
2020-08-21,27,5,24,21,0,0,4,0,0,13,17
2020-08-22,26,11,0,22,0,36,7,0,0,0,9
2020-08-23,27,8,24,21,0,0,3,0,22,14,21
2020-08-24,36,9,0,11,0,31,4,0,0,0,15
2020-08-25,33,7,11,19,0,0,9,13,0,12,23
2020-08-26,24,7,33,27,25,0,6,0,0,12,12
2020-08-27,28,10,12,12,0,0,8,14,0,0,16
2020-08-28,25,4,23,24,0,0,7,0,0,13,4
2020-08-29,24,5,13,18,0,36,5,30,22,0,13
2020-08-30,25,6,36,17,0,0,4,43,0,13,8
2020-08-31,27,2,22,8,0,0,3,0,39,25,20
2020-09-01,28,1,34,12,0,0,3,13,0,25,24
2020-09-02,25,10,23,29,0,0,2,14,0,0,12
2020-09-03,24,5,44,4,0,0,3,13,0,12,15
2020-09-04,21,10,35,4,26,0,4,14,41,13,36
2020-09-05,24,8,0,14,0,0,2,0,46,0,9
2020-09-06,27,4,38,9,0,0,2,15,0,0,4
2020-09-07,31,5,11,15,0,0,5,13,0,0,15
2020-09-08,35,9,11,8,0,31,9,0,0,0,19
2020-09-09,30,9,11,19,0,0,4,13,0,12,47
2020-09-10,28,13,34,4,0,33,6,0,20,0,36
2020-09-11,25,5,24,25,0,0,4,0,0,0,12
2020-09-12,26,11,39,9,0,0,5,0,0,15,23
2020-09-13,27,6,26,9,0,0,9,0,23,15,18
