date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,77,88,94,7,79,93,54,38,38,55,18
2020-04-02,82,77,79,11,62,45,46,28,37,27,54
2020-04-03,87,77,95,22,51,50,40,81,27,60,49
2020-04-04,100,100,79,24,52,0,50,72,41,30,45
2020-04-05,93,83,86,14,64,47,52,67,26,28,56
2020-04-06,68,77,58,18,30,89,46,45,73,0,79
2020-04-07,68,69,60,16,30,44,56,18,12,0,31
2020-04-08,60,57,46,10,44,0,45,9,71,0,47
2020-04-09,58,51,69,7,32,0,46,38,38,0,18
2020-04-10,84,76,81,8,53,52,36,21,14,31,30
2020-04-11,80,55,68,4,17,0,37,10,41,30,39
2020-04-12,59,50,51,11,97,0,41,0,13,57,42
2020-04-13,61,45,59,3,47,0,46,28,37,0,22
2020-04-14,50,55,59,6,71,42,43,8,34,25,37
2020-04-15,37,35,51,2,28,0,50,17,11,0,53
2020-04-16,49,40,43,4,56,0,45,8,33,49,32
2020-04-17,46,37,59,4,15,0,34,9,72,0,22
2020-04-18,51,48,64,6,32,47,33,0,26,28,61
2020-04-19,39,37,49,7,75,88,30,9,83,0,39
2020-04-20,42,31,46,6,54,80,47,8,33,48,47
2020-04-21,25,28,28,7,14,0,31,0,45,25,41
2020-04-22,31,27,30,4,85,42,34,0,23,50,33
2020-04-23,31,27,61,4,82,40,20,8,44,96,51
2020-04-24,29,29,38,3,0,0,16,9,24,26,60
2020-04-25,35,37,60,3,33,48,21,0,0,0,47
2020-04-26,32,27,48,4,16,0,28,19,39,57,52
2020-04-27,29,24,31,2,44,43,37,0,12,26,55
2020-04-28,40,28,40,4,42,0,22,8,11,99,53
2020-04-29,22,13,33,3,55,0,19,0,22,0,40
2020-04-30,22,22,38,2,13,0,16,0,11,94,54
2020-05-01,21,29,25,3,0,0,20,0,25,27,50
2020-05-02,27,15,57,12,63,47,20,0,13,28,69
2020-05-03,23,22,45,5,14,0,17,8,34,0,21
2020-05-04,30,25,39,2,13,0,22,0,22,24,39
2020-05-05,26,17,43,2,27,40,17,8,22,47,51
2020-05-06,29,11,34,2,0,0,14,0,0,48,84
2020-05-07,22,26,28,9,55,0,16,8,100,73,40
2020-05-08,24,16,33,3,31,0,11,9,38,0,54
2020-05-09,27,29,42,6,17,49,15,0,0,59,39
2020-05-10,24,22,29,7,46,45,18,9,12,54,35
2020-05-11,23,22,36,4,54,0,17,8,65,24,47
2020-05-12,22,15,34,6,42,0,12,8,45,49,12
2020-05-13,18,16,47,5,43,84,17,8,23,100,45
2020-05-14,27,20,40,3,60,0,11,9,0,26,61
2020-05-15,17,14,42,2,17,100,6,0,14,0,39
2020-05-16,23,15,49,3,37,0,6,11,15,32,53
2020-05-17,27,22,38,5,100,49,10,0,0,29,53
2020-05-18,22,21,32,3,15,0,11,9,12,0,18
2020-05-19,28,20,33,4,15,0,8,0,12,26,57
2020-05-20,18,13,51,4,46,0,7,0,49,0,31
2020-05-21,19,19,29,5,31,0,10,0,12,0,27
2020-05-22,25,19,31,2,0,0,9,0,27,0,5
2020-05-23,21,7,27,1,0,0,4,0,0,0,31
2020-05-24,18,14,28,0,15,0,5,0,0,0,22
2020-05-25,21,1,16,2,42,0,7,8,11,98,8
2020-05-26,12,15,23,1,57,0,6,0,11,50,41
2020-05-27,12,8,24,2,15,0,4,0,0,0,42
2020-05-28,18,17,34,4,15,0,3,0,12,0,13
2020-05-29,18,14,24,1,33,0,3,0,13,0,15
2020-05-30,20,11,25,2,0,0,6,0,15,0,21
2020-05-31,9,7,23,0,17,100,4,10,0,0,10
2020-06-01,10,17,30,3,15,0,5,0,12,0,22
2020-06-02,7,11,18,3,44,0,4,9,0,52,17
2020-06-03,16,7,22,1,0,0,4,0,0,25,20
2020-06-04,8,6,12,1,27,0,4,0,11,24,16
2020-06-05,14,8,30,1,32,0,3,9,0,56,5
2020-06-06,5,15,18,4,0,0,4,0,0,0,36
2020-06-07,11,5,27,1,0,0,7,0,13,29,19
2020-06-08,12,7,30,1,0,0,6,8,33,25,36
2020-06-09,6,7,22,2,0,0,3,9,11,25,25
2020-06-10,9,3,11,5,15,0,3,9,0,26,17
2020-06-11,12,3,9,1,15,0,5,0,24,0,9
2020-06-12,8,2,15,1,17,0,4,0,14,0,15
2020-06-13,15,0,7,6,0,0,5,0,15,0,28
2020-06-14,11,9,18,1,0,0,5,0,27,0,10
2020-06-15,9,9,22,0,30,0,3,0,0,26,17
2020-06-16,28,5,65,1,0,44,3,0,0,0,43
2020-06-17,17,17,43,1,0,43,6,0,0,0,43
2020-06-18,14,16,33,2,29,0,4,0,0,0,25
2020-06-19,13,9,29,2,0,0,3,0,0,0,5
2020-06-20,11,8,40,3,0,0,4,0,0,0,32
2020-06-21,12,15,52,2,0,0,4,0,13,0,51
2020-06-22,15,5,44,1,15,44,4,0,12,0,4
2020-06-23,14,11,37,6,15,0,4,0,24,26,43
2020-06-24,15,6,31,2,15,0,4,0,0,0,26
2020-06-25,12,11,35,4,30,0,2,0,24,0,13
2020-06-26,9,10,30,4,0,0,5,0,13,0,48
2020-06-27,5,11,38,3,0,0,3,11,14,0,10
2020-06-28,10,10,24,5,32,0,6,0,0,0,32
2020-06-29,5,6,32,2,15,43,3,0,12,0,21
2020-06-30,10,3,28,1,15,45,6,0,12,0,53
2020-07-01,5,5,26,3,0,0,6,0,0,0,13
2020-07-02,9,7,25,4,0,0,8,9,25,0,37
2020-07-03,10,8,17,2,0,54,4,11,15,0,42
2020-07-04,6,2,26,1,0,0,4,0,47,34,6
2020-07-05,8,7,20,0,17,0,5,0,0,0,20
2020-07-06,11,7,29,1,0,47,4,10,26,0,28
2020-07-07,14,2,15,3,16,0,15,0,13,0,19
2020-07-08,10,8,35,2,0,48,10,0,26,0,33
