date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,42,42,100,0,12,16,16,33,40
2020-04-02,81,92,43,11,57,60,16,31,15,0,66
2020-04-03,81,97,38,22,29,0,8,0,8,0,60
2020-04-04,74,80,31,19,30,0,12,33,8,65,67
2020-04-05,75,70,25,19,29,31,11,0,15,32,42
2020-04-06,74,63,25,7,10,0,16,0,8,0,34
2020-04-07,57,65,54,8,10,0,23,16,0,33,35
2020-04-08,69,72,53,19,39,0,18,48,8,0,34
2020-04-09,56,48,36,26,10,31,26,0,8,32,29
2020-04-10,66,48,37,19,40,0,25,32,0,32,35
2020-04-11,52,61,45,11,10,0,32,0,0,33,30
2020-04-12,48,45,43,16,0,0,34,0,8,100,33
2020-04-13,61,67,35,16,0,0,60,0,16,33,44
2020-04-14,42,65,29,8,0,64,43,33,8,33,41
2020-04-15,45,51,23,23,10,0,25,34,8,67,25
2020-04-16,43,45,33,37,10,31,19,0,8,64,61
2020-04-17,50,51,45,11,20,0,20,32,8,0,21
2020-04-18,51,56,40,21,9,0,15,15,22,61,23
2020-04-19,56,59,69,19,19,0,22,0,100,0,16
2020-04-20,67,60,76,25,28,0,21,0,29,91,22
2020-04-21,52,49,61,62,27,0,21,15,50,0,48
2020-04-22,63,56,49,51,19,0,25,31,23,62,77
2020-04-23,53,54,71,32,19,0,46,45,15,61,100
2020-04-24,45,41,57,44,19,0,44,31,53,0,59
2020-04-25,57,42,50,82,39,0,41,32,8,0,69
2020-04-26,48,50,84,86,20,0,52,100,8,0,41
2020-04-27,48,43,75,72,9,0,100,0,7,0,54
2020-04-28,44,37,69,100,10,0,41,63,8,32,50
2020-04-29,44,35,59,64,39,0,19,32,8,32,29
2020-04-30,41,32,44,59,0,29,16,74,7,59,41
2020-05-01,34,31,74,50,9,30,17,61,29,0,35
2020-05-02,39,38,45,46,19,0,15,30,37,61,35
2020-05-03,39,36,100,47,38,0,18,31,0,0,54
2020-05-04,34,37,47,85,47,0,33,15,0,30,30
2020-05-05,40,41,7,63,35,28,13,28,0,0,38
2020-05-06,43,34,39,64,0,59,15,15,15,30,43
2020-05-07,37,35,55,42,9,29,18,15,22,30,50
2020-05-08,32,27,63,28,9,30,18,0,15,30,22
2020-05-09,31,33,64,43,28,30,14,31,7,0,20
2020-05-10,27,28,33,29,39,0,23,16,8,63,39
2020-05-11,35,28,39,35,0,0,26,0,7,30,35
2020-05-12,24,23,41,14,45,58,12,44,14,30,32
2020-05-13,25,23,31,31,18,0,20,59,7,60,12
2020-05-14,25,25,20,31,27,57,15,0,21,0,27
2020-05-15,23,20,37,53,9,29,14,0,0,0,27
2020-05-16,16,18,17,40,0,0,13,0,0,29,26
