date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,91,87,0,14,0,0,13,19,0,40,16
2020-04-02,91,66,50,14,87,0,26,39,41,40,8
2020-04-03,92,80,26,5,0,0,0,20,0,0,8
2020-04-04,100,70,0,18,0,0,17,100,0,0,41
2020-04-05,83,58,0,17,54,0,33,72,0,50,20
2020-04-06,82,100,0,21,0,0,45,22,47,0,0
2020-04-07,86,34,29,5,51,0,31,23,0,47,0
2020-04-08,77,52,0,5,0,55,58,0,0,0,78
2020-04-09,70,27,31,11,0,0,0,0,0,100,10
2020-04-10,64,46,0,6,0,0,33,0,0,0,20
2020-04-11,57,75,29,5,0,0,60,0,0,0,45
2020-04-12,62,44,31,6,0,0,16,0,100,0,19
2020-04-13,68,55,29,5,0,0,0,0,0,46,37
2020-04-14,55,40,0,14,0,0,13,0,0,0,23
2020-04-15,62,51,50,14,0,0,26,0,0,40,24
2020-04-16,60,26,26,9,0,0,13,40,0,0,16
2020-04-17,51,23,0,0,0,0,0,21,44,0,17
2020-04-18,56,34,0,30,57,0,35,0,0,53,21
2020-04-19,62,39,0,18,58,0,0,0,0,0,11
2020-04-20,56,27,0,10,46,0,28,0,0,43,34
2020-04-21,52,32,0,10,0,0,44,0,0,44,17
2020-04-22,52,33,57,0,0,0,44,0,0,0,27
2020-04-23,54,12,27,10,46,0,56,0,0,0,17
2020-04-24,50,23,0,10,0,53,42,0,0,0,8
2020-04-25,50,34,0,0,0,0,0,0,0,0,32
2020-04-26,49,9,0,11,0,0,33,0,0,50,49
2020-04-27,38,7,0,5,0,100,40,0,0,0,16
2020-04-28,46,19,0,19,0,0,27,20,42,0,16
2020-04-29,35,11,0,5,0,51,41,0,0,0,25
2020-04-30,38,18,51,14,44,0,13,0,0,0,32
2020-05-01,44,9,0,11,0,0,0,0,0,0,38
2020-05-02,38,9,0,12,0,0,17,0,0,0,10
2020-05-03,35,18,0,12,0,62,50,0,0,0,0
2020-05-04,42,18,51,9,0,0,40,0,0,0,0
2020-05-05,37,18,25,14,0,0,0,0,41,0,24
2020-05-06,35,19,0,9,0,0,14,0,0,0,24
2020-05-07,48,11,0,5,0,0,0,21,87,0,8
2020-05-08,35,16,0,0,0,0,43,21,0,43,17
2020-05-09,35,19,32,6,0,0,34,0,0,0,10
2020-05-10,36,9,0,5,0,59,16,0,0,0,19
2020-05-11,35,19,0,9,45,0,27,0,0,0,24
2020-05-12,34,22,0,0,0,51,67,20,42,0,24
2020-05-13,38,12,0,0,0,0,42,0,0,0,8
2020-05-14,34,15,27,10,46,0,0,21,44,0,25
2020-05-15,31,4,0,0,0,0,0,0,0,0,9
2020-05-16,22,14,0,11,0,0,33,0,0,0,0
2020-05-17,27,5,0,7,0,0,19,0,0,57,11
2020-05-18,29,16,0,10,47,0,14,0,0,0,17
2020-05-19,30,16,0,5,0,54,43,0,0,0,17
2020-05-20,30,25,0,5,49,0,15,0,0,0,18
