date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,85,87,53,0,0,0,33,43,33,0,5
2020-04-02,87,50,21,0,80,0,17,0,0,0,5
2020-04-03,85,73,46,23,0,87,72,46,36,0,11
2020-04-04,90,87,34,23,0,0,27,0,0,0,6
2020-04-05,64,62,0,0,80,0,34,87,33,0,16
2020-04-06,80,42,31,21,0,0,49,0,32,0,0
2020-04-07,86,100,32,0,0,81,8,87,100,0,11
2020-04-08,55,51,33,22,0,83,78,44,0,0,5
2020-04-09,79,45,33,44,0,84,17,89,0,0,0
2020-04-10,62,49,0,48,0,0,28,0,0,0,6
2020-04-11,94,26,34,0,0,0,18,0,0,0,0
2020-04-12,79,58,67,22,83,0,18,0,0,45,11
2020-04-13,73,56,32,0,80,0,0,0,33,43,5
2020-04-14,51,49,95,42,0,0,25,43,0,0,0
2020-04-15,78,51,11,22,0,0,43,44,0,0,5
2020-04-16,43,44,33,0,81,0,0,0,0,44,11
2020-04-17,81,40,57,0,85,0,9,0,0,0,6
2020-04-18,69,53,34,0,0,0,27,0,35,0,0
2020-04-19,88,77,77,22,0,0,60,0,0,0,16
2020-04-20,63,37,43,0,79,0,34,0,0,0,5
2020-04-21,85,87,43,0,0,0,17,0,0,0,16
2020-04-22,67,31,21,0,0,0,25,0,0,0,5
2020-04-23,40,25,54,0,0,0,34,43,0,0,5
2020-04-24,59,53,34,23,0,0,18,0,0,0,17
2020-04-25,60,54,46,23,0,0,27,0,0,0,34
2020-04-26,65,46,91,23,0,0,9,0,0,46,0
2020-04-27,59,28,24,0,0,0,19,0,0,0,6
2020-04-28,74,55,70,23,0,0,37,0,36,47,17
2020-04-29,46,39,33,22,0,0,17,45,34,0,0
2020-04-30,35,31,43,21,0,0,8,0,0,0,11
2020-05-01,53,14,61,0,91,0,97,0,0,0,24
2020-05-02,57,28,48,0,0,0,47,0,0,0,18
2020-05-03,49,13,57,0,0,0,9,0,0,46,0
2020-05-04,40,33,23,0,0,0,9,0,35,0,6
2020-05-05,43,48,42,21,0,0,25,0,0,0,0
2020-05-06,45,44,54,0,0,0,0,0,0,0,27
2020-05-07,55,52,22,0,0,0,44,0,35,0,17
2020-05-08,53,29,12,25,0,0,39,0,0,50,18
2020-05-09,58,34,83,0,0,0,28,0,0,48,0
2020-05-10,52,33,0,0,0,0,18,46,35,0,28
2020-05-11,45,38,32,22,80,0,9,0,0,0,5
2020-05-12,34,19,33,22,0,0,17,44,0,0,16
2020-05-13,60,26,56,90,0,0,53,45,0,0,33
2020-05-14,42,46,22,0,0,0,0,0,35,0,0
2020-05-15,39,49,84,24,0,0,28,0,0,0,24
2020-05-16,53,40,11,0,0,87,18,0,0,0,28
2020-05-17,35,44,54,0,0,0,34,0,0,44,32
2020-05-18,33,32,44,0,0,0,35,0,0,0,5
2020-05-19,41,45,33,22,0,0,17,0,0,0,11
2020-05-20,41,32,55,22,0,0,9,0,0,0,32
2020-05-21,33,27,46,46,86,0,9,0,0,47,17
2020-05-22,49,21,24,24,0,0,10,0,0,0,12
2020-05-23,55,35,36,72,89,0,28,0,37,0,12
2020-05-24,58,31,40,27,0,0,11,54,0,0,13
2020-05-25,100,36,100,100,0,0,10,51,39,0,25
2020-05-26,50,47,12,0,0,0,9,0,36,0,6
2020-05-27,44,25,53,21,79,0,100,0,33,0,10
2020-05-28,40,6,43,0,0,0,60,0,0,0,5
2020-05-29,47,13,11,0,0,0,63,92,0,0,0
2020-05-30,43,54,58,46,0,0,18,0,0,47,17
2020-05-31,43,56,75,22,0,0,34,0,0,0,11
2020-06-01,45,12,21,21,78,0,25,0,0,0,10
2020-06-02,49,45,22,0,81,0,0,89,0,0,11
2020-06-03,49,24,52,41,77,0,0,42,0,42,5
2020-06-04,24,24,41,0,0,0,16,41,32,0,5
2020-06-05,38,20,35,0,0,0,36,93,0,0,11
2020-06-06,48,48,23,0,0,0,28,0,0,0,6
2020-06-07,39,25,33,65,81,0,26,0,0,0,37
2020-06-08,33,11,39,39,0,0,0,40,0,0,10
2020-06-09,24,18,21,0,0,0,16,0,32,83,5
2020-06-10,21,31,21,0,0,0,34,0,66,0,5
2020-06-11,35,0,90,22,0,0,9,0,0,0,6
2020-06-12,28,36,75,25,0,0,29,50,0,0,24
2020-06-13,36,13,57,46,0,0,27,0,0,0,17
2020-06-14,49,0,22,0,82,0,9,0,0,0,16
2020-06-15,47,19,66,0,0,0,9,0,34,0,5
2020-06-16,33,18,0,0,0,0,8,0,33,0,10
2020-06-17,32,45,44,44,0,0,35,89,0,0,16
2020-06-18,25,0,22,0,0,0,17,0,0,0,0
2020-06-19,27,36,12,0,0,0,0,0,38,0,24
2020-06-20,23,7,24,24,0,0,0,0,38,0,12
2020-06-21,35,25,43,0,0,0,0,0,0,0,16
2020-06-22,26,13,22,0,0,0,0,90,0,0,11
2020-06-23,21,26,0,22,0,0,18,45,0,0,16
2020-06-24,24,20,92,46,85,0,9,46,71,46,17
2020-06-25,29,20,46,0,0,0,0,94,0,47,6
2020-06-26,34,8,0,27,100,0,21,0,0,0,0
2020-06-27,32,7,0,0,0,0,0,0,40,0,13
2020-06-28,32,27,34,46,0,0,9,46,0,0,22
2020-06-29,28,21,59,0,0,0,18,0,37,0,12
2020-06-30,22,0,11,0,0,0,18,46,0,0,28
2020-07-01,22,13,12,0,0,0,9,0,0,0,28
2020-07-02,18,6,22,0,0,0,9,0,0,0,5
2020-07-03,23,15,26,26,0,0,10,0,0,0,19
2020-07-04,35,22,12,0,0,0,20,0,0,0,31
2020-07-05,15,20,34,23,0,0,18,0,0,0,0
2020-07-06,29,40,23,46,0,0,36,47,36,0,23
2020-07-07,13,0,45,0,0,0,0,0,0,0,6
2020-07-08,22,13,23,0,0,0,18,0,0,47,6
2020-07-09,15,0,47,0,0,0,9,0,0,0,6
2020-07-10,27,23,65,26,0,0,0,0,0,0,26
2020-07-11,35,0,0,49,0,0,0,100,0,100,12
2020-07-12,26,27,47,24,87,0,9,0,37,0,17
2020-07-13,17,13,69,0,0,0,45,47,0,0,34
2020-07-14,21,0,36,24,0,0,47,49,0,0,30
2020-07-15,31,13,23,0,0,0,36,0,0,0,23
2020-07-16,25,7,23,0,0,0,18,0,0,0,6
2020-07-17,26,8,27,0,0,0,10,0,0,0,7
2020-07-18,21,0,66,0,0,100,0,0,0,0,19
2020-07-19,23,14,36,0,0,0,0,0,0,0,24
2020-07-20,23,14,70,0,0,0,0,0,0,0,29
2020-07-21,11,14,25,25,0,0,68,50,0,0,18
2020-07-22,22,0,12,0,0,0,20,0,0,0,24
2020-07-23,25,8,64,26,0,0,61,0,0,0,38
2020-07-24,26,0,14,28,0,0,22,0,0,0,7
2020-07-25,14,0,13,27,0,0,42,54,0,54,0
2020-07-26,35,7,50,0,0,0,39,50,39,0,18
2020-07-27,29,7,12,0,0,0,29,50,38,50,24
2020-07-28,22,7,12,0,0,94,0,0,0,0,12
2020-07-29,30,15,38,0,0,0,10,0,0,0,6
2020-07-30,18,16,13,27,0,0,21,0,0,0,13
2020-07-31,29,18,61,0,0,0,24,0,0,0,8
2020-08-01,25,17,71,0,0,0,22,0,44,0,28
2020-08-02,20,0,27,0,0,0,10,0,0,0,7
2020-08-03,25,0,13,0,0,0,10,0,41,0,6
2020-08-04,18,0,71,0,0,0,37,0,37,0,6
2020-08-05,29,0,25,25,0,0,10,0,0,0,6
2020-08-06,19,21,35,47,0,0,0,0,0,0,6
2020-08-07,17,0,0,0,87,0,37,0,0,0,6
2020-08-08,11,0,49,24,0,0,38,0,0,0,0
2020-08-09,19,0,24,0,0,0,28,48,0,48,12
2020-08-10,17,7,12,0,0,0,19,0,0,0,23
2020-08-11,21,14,12,24,0,0,0,48,37,0,100
2020-08-12,18,0,12,0,0,0,10,0,0,0,24
2020-08-13,23,7,12,0,0,0,28,0,0,0,12
2020-08-14,17,7,38,0,0,0,40,0,0,0,12
2020-08-15,10,8,13,0,0,0,61,0,0,0,13
2020-08-16,7,7,47,24,0,0,19,0,0,0,6
2020-08-17,18,0,0,0,0,0,10,0,0,0,12
2020-08-18,11,0,12,0,0,0,9,0,0,0,6
2020-08-19,11,6,22,0,0,0,0,0,0,0,5
2020-08-20,5,0,12,0,0,0,19,0,0,0,12
2020-08-21,10,0,27,27,0,0,0,0,0,0,20
2020-08-22,16,8,0,27,0,0,0,0,0,0,7
2020-08-23,17,22,13,25,0,0,20,0,39,0,0
2020-08-24,17,7,0,24,0,90,9,0,0,0,17
2020-08-25,16,7,0,72,0,0,0,49,0,0,12
2020-08-26,16,0,0,24,0,0,29,49,0,0,12
2020-08-27,15,7,12,25,0,0,0,0,0,0,6
2020-08-28,8,0,27,0,0,0,11,55,0,0,7
2020-08-29,10,8,27,0,0,0,0,0,0,0,0
2020-08-30,7,7,0,0,0,0,0,0,0,0,6
2020-08-31,10,0,0,24,0,0,0,0,0,48,0
2020-09-01,10,0,23,0,0,0,0,0,36,0,0
2020-09-02,4,0,36,24,0,0,0,0,0,0,0
2020-09-03,9,7,25,0,0,0,0,0,0,0,0
2020-09-04,12,24,14,55,0,0,0,0,0,0,0
2020-09-05,6,0,0,26,96,0,0,0,0,0,6
2020-09-06,4,0,24,0,0,0,0,0,0,0,6
2020-09-07,4,14,0,0,0,0,0,0,0,0,18
2020-09-08,9,7,0,0,0,0,9,0,0,0,28
2020-09-09,5,0,12,24,0,0,9,0,0,0,29
2020-09-10,4,7,12,0,0,0,19,0,0,50,6
2020-09-11,12,0,0,0,0,0,0,0,0,0,14
2020-09-12,8,0,0,25,0,0,0,0,40,0,0
2020-09-13,7,7,0,24,0,0,0,0,0,0,0
2020-09-14,7,0,36,0,0,0,0,0,0,0,6
2020-09-15,10,7,12,0,0,0,0,0,0,0,0
2020-09-16,16,0,23,0,0,0,0,47,0,0,12
2020-09-17,7,0,0,25,0,0,20,0,0,0,12
2020-09-18,6,8,28,28,0,0,11,0,0,0,7
2020-09-19,11,7,13,26,0,0,10,0,0,0,6
2020-09-20,8,0,11,0,0,0,0,0,0,0,17
2020-09-21,8,7,0,0,0,0,18,0,71,0,0
2020-09-22,7,0,0,0,0,0,0,0,0,0,6
2020-09-23,11,0,24,0,88,0,9,0,0,0,12
2020-09-24,9,7,0,0,0,0,0,0,0,0,23
2020-09-25,14,0,14,0,0,0,0,0,0,0,0
