date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,95,32,53,100,91,48,99,32,35,40
2020-04-02,84,100,31,55,24,95,36,90,49,18,40
2020-04-03,81,90,27,38,66,66,27,100,68,19,31
2020-04-04,73,65,29,47,99,98,23,99,34,37,35
2020-04-05,75,75,36,29,51,34,25,61,17,19,40
2020-04-06,69,79,41,63,55,94,35,70,65,0,40
2020-04-07,67,83,30,80,47,0,42,62,64,0,41
2020-04-08,78,69,35,58,93,33,42,47,52,38,43
2020-04-09,61,69,45,19,41,66,34,53,51,19,22
2020-04-10,70,80,52,68,68,33,39,68,52,19,22
2020-04-11,65,61,27,39,59,34,48,54,0,0,24
2020-04-12,60,58,34,51,53,35,55,36,54,0,43
2020-04-13,61,89,19,76,33,66,65,94,17,0,45
2020-04-14,58,51,29,55,40,96,100,97,33,18,18
2020-04-15,57,58,32,28,41,32,53,59,0,37,40
2020-04-16,50,51,33,81,47,63,30,19,49,18,22
2020-04-17,56,59,29,18,32,0,40,26,0,18,29
2020-04-18,49,45,37,38,41,33,19,66,17,0,29
2020-04-19,59,57,28,40,18,35,18,78,36,100,25
2020-04-20,47,53,41,73,8,63,20,71,82,18,16
2020-04-21,49,59,24,56,41,98,26,40,0,19,31
2020-04-22,57,60,38,58,68,67,26,34,35,0,100
2020-04-23,47,47,24,19,25,33,27,40,17,56,59
2020-04-24,47,39,33,29,17,34,54,48,35,20,30
2020-04-25,55,45,39,35,41,0,28,57,62,0,53
2020-04-26,52,58,48,49,43,42,31,17,44,0,52
2020-04-27,49,44,31,67,10,39,30,71,100,44,46
2020-04-28,49,52,43,33,29,0,31,61,20,0,30
2020-04-29,48,37,24,31,64,0,27,37,19,21,38
2020-04-30,43,40,33,29,17,34,40,34,35,0,32
2020-05-01,43,40,32,46,30,40,30,24,0,0,32
2020-05-02,43,40,33,53,47,0,25,7,0,0,26
2020-05-03,40,36,32,34,0,0,42,39,0,22,22
2020-05-04,46,42,17,71,0,0,38,28,55,20,15
2020-05-05,42,27,30,58,34,33,47,34,52,38,14
2020-05-06,39,26,31,50,9,0,36,35,36,20,28
2020-05-07,46,43,9,42,18,0,61,37,19,21,15
2020-05-08,37,32,27,43,9,0,52,0,19,0,23
2020-05-09,41,32,30,75,19,37,43,30,19,0,28
2020-05-10,39,23,29,79,20,0,34,40,20,0,13
2020-05-11,42,33,23,73,27,36,30,73,37,0,19
2020-05-12,38,25,26,31,27,36,32,15,19,21,17
2020-05-13,44,21,38,21,36,36,19,44,19,0,32
