date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,75,77,43,0,0,0,96,79,0,0,0
2020-04-02,68,100,0,23,0,0,0,100,0,0,0
2020-04-03,82,45,45,23,100,0,0,61,0,0,100
2020-04-04,100,69,50,0,0,0,0,45,0,0,0
2020-04-05,91,44,100,0,0,0,55,0,0,100,0
2020-04-06,56,78,44,46,0,0,0,60,0,0,33
2020-04-07,59,49,0,0,0,0,0,99,99,0,32
2020-04-08,45,39,45,0,0,0,0,20,0,0,0
2020-04-09,56,60,0,0,0,0,52,86,0,0,35
2020-04-10,52,36,0,0,0,0,0,22,0,0,0
2020-04-11,28,19,0,0,0,0,0,0,0,0,75
2020-04-12,37,38,0,0,0,0,56,23,0,0,38
2020-04-13,28,22,45,0,0,0,0,0,0,0,0
2020-04-14,64,44,0,0,0,0,49,80,100,0,33
2020-04-15,44,33,0,23,0,0,0,40,0,0,66
2020-04-16,17,23,0,24,0,0,51,0,0,0,0
2020-04-17,25,52,46,0,0,0,0,63,0,0,0
2020-04-18,30,24,0,25,0,0,0,22,0,48,36
2020-04-19,18,26,51,26,0,0,0,0,0,0,0
2020-04-20,16,22,0,22,0,0,0,0,0,0,0
2020-04-21,29,28,0,23,0,0,0,20,0,0,67
2020-04-22,37,46,0,0,0,0,0,21,0,0,0
2020-04-23,17,29,46,0,0,0,0,21,0,0,0
2020-04-24,21,23,0,24,0,0,0,21,0,0,34
2020-04-25,18,12,50,0,0,0,0,0,0,0,0
2020-04-26,18,25,0,0,0,0,54,0,0,0,0
2020-04-27,28,28,0,0,0,0,50,20,0,0,33
2020-04-28,45,34,0,23,0,0,100,0,0,45,67
2020-04-29,23,32,0,0,0,0,0,0,0,42,0
2020-04-30,38,42,0,0,0,0,0,19,0,0,0
2020-05-01,25,24,0,0,0,0,52,21,0,0,0
2020-05-02,8,11,45,0,0,0,0,0,0,0,0
2020-05-03,17,6,0,0,0,0,0,44,0,0,0
2020-05-04,31,21,0,0,94,0,0,0,0,0,31
2020-05-05,28,15,0,0,0,0,0,0,0,0,0
2020-05-06,30,5,0,21,0,0,46,0,0,0,31
2020-05-07,12,16,87,0,97,0,0,0,0,0,32
2020-05-08,28,17,45,0,0,0,0,20,0,0,67
2020-05-09,9,18,0,0,0,0,54,0,0,0,0
2020-05-10,27,19,0,0,0,0,54,22,0,0,37
2020-05-11,15,10,0,43,0,0,0,0,0,0,31
2020-05-12,23,32,43,0,0,0,0,19,0,0,0
2020-05-13,12,16,0,22,0,0,0,0,0,0,0
2020-05-14,19,21,0,21,92,0,0,37,0,41,31
2020-05-15,36,11,0,22,0,0,0,39,0,0,0
2020-05-16,13,6,0,0,0,0,0,0,0,0,37
2020-05-17,13,12,48,0,0,0,54,22,0,0,0
2020-05-18,12,22,0,46,0,0,0,0,0,0,33
2020-05-19,20,6,0,23,0,0,0,20,0,0,33
2020-05-20,12,6,88,0,0,0,0,0,100,0,0
2020-05-21,20,11,0,22,0,0,0,0,0,44,0
2020-05-22,8,0,0,0,0,0,0,41,0,0,0
2020-05-23,14,6,0,0,0,0,0,23,0,0,0
2020-05-24,4,6,0,0,0,0,0,0,0,0,0
2020-05-25,28,17,0,23,98,0,49,0,0,0,0
2020-05-26,27,16,0,0,0,0,0,0,0,0,31
2020-05-27,31,22,0,0,0,0,95,39,0,0,0
2020-05-28,12,11,0,0,0,0,0,19,0,0,0
2020-05-29,16,5,43,22,0,0,0,39,0,43,0
2020-05-30,9,18,0,24,0,0,0,21,0,0,0
2020-05-31,26,24,0,0,0,0,0,0,0,0,0
2020-06-01,26,0,0,0,0,0,0,0,0,0,31
2020-06-02,11,25,0,0,0,0,0,0,0,0,0
2020-06-03,7,5,0,0,0,0,0,0,0,0,29
2020-06-04,15,5,0,0,0,0,0,0,0,0,30
