date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,86,70,32,28,0,0,84,45,48,0,42
2020-04-02,91,65,66,29,0,0,43,59,0,0,21
2020-04-03,77,68,33,29,0,0,0,99,98,0,0
2020-04-04,80,74,37,65,0,0,0,82,0,100,0
2020-04-05,100,100,38,0,0,0,100,54,0,0,100
2020-04-06,75,63,0,0,0,0,0,81,0,0,19
2020-04-07,72,67,59,0,0,0,77,44,44,0,0
2020-04-08,74,71,28,0,0,0,0,50,0,0,0
2020-04-09,75,90,67,0,0,0,0,47,0,0,0
2020-04-10,90,72,0,31,0,0,47,46,0,0,23
2020-04-11,63,57,36,31,0,0,46,71,0,0,46
2020-04-12,67,75,74,65,0,0,0,41,55,99,71
2020-04-13,65,65,29,25,0,0,0,66,0,0,18
2020-04-14,66,57,29,25,0,0,38,69,0,0,0
2020-04-15,48,63,29,0,0,0,0,80,0,0,0
2020-04-16,64,57,29,100,0,0,0,94,0,0,0
2020-04-17,63,55,0,25,0,0,0,71,0,0,0
2020-04-18,56,49,100,29,0,0,43,73,0,0,0
2020-04-19,70,57,35,0,0,0,46,67,0,0,45
2020-04-20,54,36,28,0,0,0,0,53,0,0,18
2020-04-21,39,40,0,0,0,0,37,51,0,76,0
2020-04-22,43,41,0,74,0,0,74,68,42,0,0
2020-04-23,47,60,28,0,0,0,0,69,0,75,18
2020-04-24,56,43,0,0,0,0,0,74,0,0,54
2020-04-25,47,31,33,59,0,0,43,100,0,0,21
2020-04-26,43,43,35,92,0,0,91,90,0,0,0
2020-04-27,43,35,0,0,0,0,0,75,42,0,0
2020-04-28,44,35,0,0,0,0,0,65,41,0,54
2020-04-29,26,28,26,23,0,0,0,58,39,0,17
2020-04-30,36,35,0,0,0,0,0,59,0,0,17
2020-05-01,22,22,0,27,0,0,41,71,46,0,20
2020-05-02,33,24,32,0,0,0,0,67,0,0,0
2020-05-03,39,33,0,30,0,0,89,41,0,0,22
2020-05-04,30,36,0,23,0,0,34,52,0,0,0
2020-05-05,30,33,24,43,0,0,0,70,0,0,15
2020-05-06,24,21,0,0,0,0,0,94,0,0,17
2020-05-07,35,23,0,46,0,0,0,85,39,0,0
2020-05-08,19,16,0,23,0,0,0,74,0,0,51
2020-05-09,28,26,62,55,0,0,0,59,0,0,0
2020-05-10,30,23,35,0,95,0,45,24,0,0,0
2020-05-11,28,20,26,23,0,0,68,83,0,0,0
2020-05-12,32,20,0,0,0,59,33,56,0,0,16
2020-05-13,26,14,0,66,0,0,66,50,0,0,0
2020-05-14,30,20,25,0,0,0,0,66,0,0,17
2020-05-15,23,21,0,0,0,0,0,46,0,0,33
2020-05-16,25,21,31,28,0,72,41,62,0,84,20
2020-05-17,29,21,33,0,0,0,42,52,49,87,0
2020-05-18,21,21,0,44,0,0,33,58,38,0,32
2020-05-19,32,17,50,22,0,0,0,35,37,0,33
2020-05-20,24,14,0,21,0,0,0,40,0,0,15
2020-05-21,17,15,24,43,0,0,0,46,0,0,0
2020-05-22,21,13,25,0,0,0,0,46,0,0,33
2020-05-23,30,18,30,0,0,0,0,45,0,0,0
2020-05-24,19,19,0,0,88,0,42,41,0,86,0
2020-05-25,21,17,24,0,0,0,32,44,0,0,16
2020-05-26,18,14,0,0,0,0,33,50,0,0,16
2020-05-27,26,14,25,0,0,0,33,40,0,0,16
2020-05-28,19,14,0,44,0,57,0,40,0,0,16
2020-05-29,17,18,0,22,0,0,0,74,0,0,0
2020-05-30,17,17,61,27,0,0,40,43,46,0,0
2020-05-31,19,18,0,0,0,0,0,39,0,0,0
2020-06-01,23,13,0,65,0,0,32,37,0,0,16
2020-06-02,19,13,24,43,67,0,32,41,0,0,0
2020-06-03,22,9,45,20,0,0,59,43,0,0,0
2020-06-04,19,16,0,20,0,0,60,30,69,0,15
2020-06-05,17,10,0,41,0,0,0,42,0,63,15
2020-06-06,18,11,31,0,0,0,0,43,0,0,40
2020-06-07,15,13,0,58,0,0,0,46,0,0,0
2020-06-08,11,7,0,0,0,0,30,41,0,0,0
2020-06-09,16,6,0,21,0,0,31,42,0,0,0
2020-06-10,13,8,0,22,0,0,65,32,0,0,32
2020-06-11,17,12,25,0,0,0,33,32,0,0,16
2020-06-12,17,9,52,0,0,0,68,23,0,0,0
2020-06-13,18,6,0,0,0,0,0,25,0,0,0
2020-06-14,20,13,0,0,0,0,0,29,0,0,21
2020-06-15,16,7,0,0,0,0,0,25,0,0,16
2020-06-16,17,8,0,22,0,0,32,32,0,0,0
2020-06-17,11,9,0,0,0,0,0,25,0,0,16
2020-06-18,23,8,50,0,0,0,0,25,0,0,16
2020-06-19,29,8,0,70,0,0,0,16,0,0,0
2020-06-20,27,16,0,0,0,0,0,23,0,89,22
2020-06-21,26,5,0,0,0,0,0,15,0,0,0
2020-06-22,20,9,0,72,0,0,35,19,0,0,0
2020-06-23,16,6,26,23,72,0,68,16,39,0,0
2020-06-24,17,4,26,23,0,0,34,13,0,0,68
2020-06-25,17,7,0,0,0,0,0,28,38,0,0
2020-06-26,15,10,27,23,0,0,35,16,0,0,17
2020-06-27,15,12,0,0,0,0,42,23,0,0,42
2020-06-28,11,10,0,0,0,0,0,13,100,0,0
2020-06-29,22,9,0,0,0,74,42,22,0,0,0
2020-06-30,18,8,26,23,0,0,0,13,0,0,0
2020-07-01,14,8,26,0,0,60,34,16,0,0,0
2020-07-02,16,8,0,0,0,0,33,15,38,0,0
