date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,87,73,42,59,0,58,48,73,91,12
2020-04-02,91,100,73,57,78,0,60,59,100,7,9
2020-04-03,97,84,80,40,59,27,55,60,69,42,21
2020-04-04,66,81,71,50,21,0,67,45,47,23,16
2020-04-05,88,86,86,63,64,30,69,32,67,23,17
2020-04-06,82,90,91,48,20,27,100,72,51,21,20
2020-04-07,74,65,77,47,0,0,65,42,66,71,17
2020-04-08,67,71,74,52,61,28,48,80,67,72,12
2020-04-09,59,52,68,55,0,29,34,50,35,15,13
2020-04-10,68,64,64,43,42,0,31,38,35,22,14
2020-04-11,86,67,72,52,21,0,39,32,51,8,17
2020-04-12,67,57,75,47,21,29,48,51,54,30,16
2020-04-13,66,70,60,52,79,0,64,42,29,42,22
2020-04-14,66,73,66,38,20,27,57,36,58,49,31
2020-04-15,58,60,70,38,59,0,41,30,40,49,23
2020-04-16,53,49,84,50,20,27,63,60,33,70,21
2020-04-17,55,49,78,52,0,0,46,59,25,42,19
2020-04-18,60,49,66,59,41,0,59,31,38,59,14
2020-04-19,51,44,96,46,21,0,99,45,51,23,12
2020-04-20,57,45,100,49,100,83,80,30,33,78,17
2020-04-21,51,48,90,43,20,28,69,66,37,21,31
2020-04-22,53,44,71,50,20,81,49,53,32,83,23
2020-04-23,51,46,81,43,19,26,93,81,46,41,21
2020-04-24,49,45,80,48,59,0,83,41,72,7,36
2020-04-25,42,36,59,63,0,57,40,19,38,29,33
2020-04-26,34,41,46,42,62,28,24,31,34,37,24
2020-04-27,33,35,66,36,0,27,51,41,32,62,17
2020-04-28,34,39,54,55,77,27,45,52,39,55,17
2020-04-29,37,28,54,47,0,0,32,52,49,62,22
2020-04-30,48,44,58,60,18,24,26,64,36,25,34
2020-05-01,44,42,48,51,20,0,25,48,33,57,26
2020-05-02,31,33,50,51,0,0,27,73,26,50,24
2020-05-03,49,37,52,63,21,57,22,44,23,73,20
2020-05-04,31,25,47,63,38,26,27,63,35,54,25
2020-05-05,25,23,43,55,36,100,25,38,47,45,23
2020-05-06,30,35,54,49,0,0,27,61,13,91,28
2020-05-07,27,33,50,39,0,0,41,52,38,34,17
2020-05-08,26,29,48,47,76,0,24,34,21,34,16
2020-05-09,27,12,74,42,20,0,37,54,29,21,13
2020-05-10,36,27,49,43,20,28,31,12,15,14,16
2020-05-11,35,26,48,57,19,0,50,52,32,48,18
2020-05-12,30,20,59,62,57,0,50,63,42,40,25
2020-05-13,32,21,47,70,75,0,37,62,31,46,19
2020-05-14,31,24,32,61,0,26,30,79,48,53,23
2020-05-15,28,20,30,64,57,0,33,40,35,47,30
2020-05-16,25,28,42,73,80,0,47,54,40,78,33
2020-05-17,23,28,55,74,20,0,25,79,29,28,22
2020-05-18,21,23,46,71,18,51,25,72,51,72,27
2020-05-19,34,28,38,65,36,0,15,55,40,84,29
2020-05-20,27,17,32,100,74,76,21,100,41,66,36
2020-05-21,25,26,40,82,19,0,24,84,48,53,27
2020-05-22,20,30,44,84,19,26,15,79,51,66,29
2020-05-23,24,14,31,77,0,27,17,53,18,28,24
2020-05-24,27,15,41,78,20,81,16,59,40,14,34
2020-05-25,24,28,44,93,0,0,12,75,32,14,22
2020-05-26,15,12,44,90,18,25,19,60,30,64,29
2020-05-27,17,22,48,98,18,25,15,87,27,64,33
2020-05-28,22,19,50,72,54,0,15,87,23,90,35
2020-05-29,28,20,55,93,36,25,15,91,49,76,32
2020-05-30,20,12,55,81,19,0,14,88,14,55,22
2020-05-31,19,13,58,84,0,0,12,65,25,91,31
2020-06-01,21,15,37,100,17,24,12,47,16,68,21
2020-06-02,15,8,28,91,0,0,9,53,29,80,26
2020-06-03,15,16,31,82,51,23,9,87,25,61,40
2020-06-04,17,7,30,57,51,47,10,51,31,42,22
2020-06-05,16,16,29,96,70,48,9,74,19,62,25
2020-06-06,11,14,25,63,19,0,10,58,7,34,25
2020-06-07,21,19,26,70,0,0,9,59,22,28,27
2020-06-08,18,13,32,91,87,24,10,37,22,37,22
2020-06-09,14,16,26,75,100,0,8,45,25,41,30
2020-06-10,15,16,34,59,0,0,17,79,35,31,17
2020-06-11,10,9,35,60,0,25,12,22,26,32,26
2020-06-12,15,14,39,52,38,52,15,17,45,13,24
2020-06-13,11,12,29,63,19,54,16,35,28,28,33
2020-06-14,17,16,23,62,38,0,16,57,24,20,33
2020-06-15,14,13,34,74,52,0,21,36,25,68,24
2020-06-16,21,18,32,66,52,0,9,16,22,19,26
2020-06-17,15,20,19,58,53,24,10,32,13,19,27
2020-06-18,17,8,27,68,18,50,14,33,36,13,19
2020-06-19,13,7,27,79,18,25,6,38,30,51,29
