date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,69,58,36,24,0,0,1,42,44,0,18
2020-04-02,71,69,24,37,43,61,3,53,49,0,27
2020-04-03,85,92,25,64,0,0,1,100,61,33,0
2020-04-04,99,100,31,16,0,0,0,95,44,0,0
2020-04-05,100,68,28,86,0,0,1,93,11,36,32
2020-04-06,83,55,12,13,0,0,2,87,55,0,56
2020-04-07,85,63,26,26,93,0,1,63,63,67,68
2020-04-08,74,38,0,27,0,0,1,52,43,34,30
2020-04-09,78,74,14,99,100,0,2,86,39,0,10
2020-04-10,73,24,30,75,0,0,2,46,30,0,0
2020-04-11,91,33,0,98,0,0,1,78,33,0,24
2020-04-12,55,45,32,65,0,0,1,70,26,0,24
2020-04-13,62,23,28,14,0,0,3,6,23,0,0
2020-04-14,45,15,12,25,0,62,2,81,35,32,9
2020-04-15,61,24,12,98,0,61,1,26,29,31,36
2020-04-16,61,15,25,100,0,0,2,43,35,32,28
2020-04-17,52,16,0,27,47,0,1,46,64,34,10
2020-04-18,48,65,32,65,0,0,1,14,13,41,36
2020-04-19,64,11,27,98,99,70,2,36,50,0,31
2020-04-20,45,25,0,12,0,0,2,32,35,0,64
2020-04-21,31,26,13,39,0,0,1,39,52,0,10
2020-04-22,39,52,13,39,46,0,3,11,31,0,19
2020-04-23,42,16,25,65,46,0,2,28,83,0,38
2020-04-24,72,44,14,28,0,0,1,6,49,0,30
2020-04-25,48,19,15,94,55,0,1,27,44,0,34
2020-04-26,44,29,42,29,0,0,0,37,34,0,11
2020-04-27,32,31,13,26,0,0,1,6,62,0,10
2020-04-28,52,48,0,40,0,0,2,17,32,34,39
2020-04-29,39,15,12,25,0,0,3,22,55,0,19
2020-04-30,36,21,13,13,0,0,1,11,72,65,9
2020-05-01,34,25,15,47,0,78,3,7,62,0,35
2020-05-02,29,13,16,33,0,0,1,7,85,41,24
2020-05-03,36,12,0,15,0,0,2,13,47,0,33
2020-05-04,23,20,0,50,0,0,2,16,39,31,9
2020-05-05,49,18,0,23,0,0,2,0,36,0,8
2020-05-06,31,14,0,48,0,0,1,21,38,61,35
2020-05-07,26,21,26,39,0,65,2,17,47,33,29
2020-05-08,23,11,14,43,0,71,2,19,51,0,21
2020-05-09,40,7,0,19,65,0,4,8,37,0,14
2020-05-10,31,25,15,16,0,0,1,13,37,0,46
2020-05-11,31,14,0,48,0,0,1,21,63,31,18
2020-05-12,30,10,0,12,0,0,1,37,64,0,54
2020-05-13,34,10,50,13,0,0,4,22,50,32,9
2020-05-14,32,20,12,13,0,0,1,22,60,0,9
2020-05-15,15,5,0,14,0,0,2,6,49,0,0
2020-05-16,30,0,0,34,0,0,1,15,27,0,13
2020-05-17,16,12,0,15,0,0,1,7,36,39,56
2020-05-18,29,31,0,38,45,0,1,17,25,0,19
2020-05-19,19,5,0,0,0,0,1,6,46,32,56
2020-05-20,20,16,0,13,0,0,3,0,68,0,19
2020-05-21,15,0,26,0,0,0,4,6,48,0,10
2020-05-22,30,6,0,14,0,0,2,12,45,0,0
