date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,89,75,9,17,0,0,6,16,40,0,7
2020-04-02,90,75,30,0,0,77,29,25,0,0,7
2020-04-03,81,93,51,0,0,0,24,44,0,0,30
2020-04-04,100,100,35,43,0,0,7,20,50,0,34
2020-04-05,56,85,11,20,0,0,19,19,47,0,8
2020-04-06,64,71,46,50,38,0,27,47,0,51,0
2020-04-07,64,52,20,53,81,0,12,17,0,0,28
2020-04-08,63,58,29,53,0,0,35,34,42,0,14
2020-04-09,54,41,10,0,0,0,23,8,42,0,43
2020-04-10,47,36,44,0,0,0,7,28,47,61,16
2020-04-11,52,66,35,21,0,0,0,10,0,0,17
2020-04-12,61,54,24,64,0,0,14,0,0,66,17
2020-04-13,53,33,29,52,0,0,11,25,0,53,14
2020-04-14,44,43,9,16,0,0,5,100,0,100,7
2020-04-15,39,39,18,0,0,0,48,31,38,0,26
2020-04-16,52,31,17,0,0,0,21,37,0,0,13
2020-04-17,49,31,28,17,0,0,16,0,0,0,20
2020-04-18,50,42,46,63,0,0,14,40,49,0,34
2020-04-19,39,25,0,20,0,0,6,9,0,0,24
2020-04-20,34,32,8,15,0,0,25,14,0,0,6
2020-04-21,30,31,36,16,0,0,11,8,0,0,13
2020-04-22,38,34,9,33,0,0,5,31,38,0,7
2020-04-23,36,27,0,16,0,0,5,0,0,0,6
2020-04-24,35,19,18,0,0,0,11,16,0,0,13
2020-04-25,32,23,0,100,0,0,6,28,47,0,16
2020-04-26,32,17,0,40,0,0,19,19,0,0,8
2020-04-27,23,18,18,16,0,0,10,15,0,0,13
2020-04-28,28,24,9,0,0,0,16,15,0,0,7
2020-04-29,22,20,26,16,0,0,5,15,0,0,13
2020-04-30,25,15,0,0,0,0,21,8,0,0,6
2020-05-01,32,32,0,38,0,0,31,0,45,0,8
2020-05-02,31,30,0,41,0,0,33,48,0,0,0
2020-05-03,36,36,0,43,0,0,0,10,100,0,17
2020-05-04,34,31,9,16,0,0,41,15,0,48,13
2020-05-05,17,19,0,30,0,63,0,35,0,0,6
2020-05-06,26,18,44,16,0,0,31,15,0,0,6
2020-05-07,31,18,0,17,39,0,17,8,40,0,0
2020-05-08,30,18,19,17,39,0,39,32,0,0,14
2020-05-09,28,21,45,0,0,0,33,10,0,0,16
2020-05-10,13,9,0,61,47,0,20,0,0,0,16
2020-05-11,24,17,9,16,36,0,16,30,0,0,25
2020-05-12,16,14,0,33,0,0,11,16,0,51,7
2020-05-13,18,13,18,48,0,0,42,15,0,0,13
2020-05-14,17,8,9,32,0,0,5,8,0,0,19
2020-05-15,19,25,0,0,0,0,17,0,0,0,21
2020-05-16,21,5,13,23,0,0,7,11,0,0,18
2020-05-17,37,5,0,23,52,0,7,22,0,70,9
2020-05-18,24,23,9,34,0,0,22,8,0,52,20
2020-05-19,14,18,9,0,0,0,0,24,0,0,0
2020-05-20,21,12,0,17,0,0,6,0,0,0,14
2020-05-21,15,13,10,17,0,0,11,0,0,0,0
2020-05-22,15,9,0,0,0,0,12,8,0,0,28
2020-05-23,26,12,13,23,0,0,0,0,0,0,9
2020-05-24,21,22,0,0,0,0,7,22,54,0,37
2020-05-25,21,14,0,0,0,0,11,8,0,51,13
2020-05-26,25,25,0,17,0,0,0,0,0,0,0
2020-05-27,12,7,9,17,0,0,11,0,0,0,0
2020-05-28,23,21,19,0,0,0,11,8,0,52,14
2020-05-29,22,7,20,18,0,0,12,0,0,0,0
2020-05-30,13,11,12,0,100,0,21,10,51,0,0
2020-05-31,18,13,12,0,0,0,7,0,0,0,8
2020-06-01,14,15,18,16,37,0,0,0,38,0,13
2020-06-02,11,10,18,0,0,0,5,0,0,0,7
2020-06-03,15,13,17,15,35,0,15,7,0,0,0
2020-06-04,20,12,8,15,0,0,10,7,0,0,6
2020-06-05,11,7,0,34,0,0,5,0,0,0,7
2020-06-06,16,16,24,43,49,0,0,10,0,0,17
2020-06-07,21,7,35,21,0,0,14,0,0,0,0
2020-06-08,18,14,0,0,0,0,0,7,0,47,6
2020-06-09,8,7,9,66,0,0,5,0,0,0,7
2020-06-10,15,15,22,20,46,0,0,0,0,0,0
2020-06-11,14,8,0,0,0,0,6,0,0,59,15
2020-06-12,14,9,0,0,0,0,0,0,0,0,7
2020-06-13,11,5,24,0,0,0,0,0,0,0,27
2020-06-14,13,5,12,0,49,0,0,0,0,0,17
2020-06-15,11,10,9,0,0,0,16,0,0,0,7
2020-06-16,14,10,0,16,0,0,10,7,0,0,6
2020-06-17,16,19,18,0,0,0,5,0,38,0,13
2020-06-18,15,9,19,17,0,0,16,0,0,0,0
2020-06-19,25,21,30,36,0,0,6,9,0,0,0
2020-06-20,15,18,24,22,0,0,0,0,0,0,17
2020-06-21,26,18,0,0,0,0,7,0,0,68,0
2020-06-22,21,9,0,17,0,0,16,8,0,0,0
2020-06-23,12,9,9,17,0,0,11,8,0,0,14
2020-06-24,11,17,0,0,0,0,6,8,0,0,7
2020-06-25,14,13,19,34,0,0,28,8,0,0,27
2020-06-26,15,6,0,54,0,0,18,0,0,0,14
2020-06-27,19,16,12,0,50,0,14,0,0,0,18
2020-06-28,21,18,24,22,0,0,14,0,0,0,9
2020-06-29,13,4,0,0,0,0,6,0,40,0,14
2020-06-30,13,11,29,18,0,0,0,0,41,0,7
2020-07-01,11,9,0,35,0,75,23,0,41,0,7
2020-07-02,15,6,10,0,0,0,6,0,0,0,7
2020-07-03,18,13,10,0,0,0,0,9,43,0,15
2020-07-04,19,14,0,0,0,0,0,11,0,69,0
2020-07-05,17,5,25,0,0,0,0,0,0,0,0
2020-07-06,12,11,29,0,0,0,12,0,41,0,14
2020-07-07,25,6,20,18,0,0,0,0,0,0,7
2020-07-08,11,11,20,0,0,0,6,0,0,0,7
2020-07-09,13,15,20,0,0,77,0,0,0,0,14
2020-07-10,18,10,21,0,0,0,0,0,0,0,23
2020-07-11,15,8,13,24,0,0,8,0,0,0,39
2020-07-12,15,7,13,48,0,0,8,11,56,0,10
2020-07-13,11,6,21,0,0,0,0,0,44,0,30
2020-07-14,14,13,10,0,0,0,0,0,0,0,15
2020-07-15,12,9,10,36,0,0,0,17,0,55,0
2020-07-16,11,10,32,0,0,0,25,9,0,0,38
2020-07-17,13,6,0,20,0,0,0,0,0,62,16
2020-07-18,15,7,13,0,0,0,0,0,0,0,0
2020-07-19,9,5,13,24,0,0,0,11,0,0,19
2020-07-20,11,8,10,0,0,0,6,0,0,0,7
2020-07-21,16,0,10,19,0,0,12,0,44,0,7
2020-07-22,9,10,32,0,0,83,0,9,0,0,23
2020-07-23,14,8,22,20,0,0,6,0,0,0,0
2020-07-24,14,9,34,62,0,0,0,10,0,0,8
2020-07-25,24,7,13,23,0,0,0,11,0,0,9
2020-07-26,22,2,0,0,0,0,0,0,0,0,37
2020-07-27,18,0,0,19,0,0,0,0,0,0,8
2020-07-28,16,2,11,19,0,0,19,9,0,0,8
2020-07-29,14,4,0,39,44,0,0,0,0,0,8
2020-07-30,15,8,11,0,0,0,19,0,45,0,0
2020-07-31,13,8,22,0,46,0,13,9,0,0,8
2020-08-01,12,2,13,0,0,0,0,0,0,0,9
2020-08-02,22,12,13,23,0,100,8,0,0,0,28
2020-08-03,6,6,0,37,42,0,0,9,0,0,15
2020-08-04,12,4,42,0,0,81,6,0,0,0,8
2020-08-05,16,10,0,19,0,0,19,18,0,0,8
2020-08-06,15,2,10,38,0,0,12,9,0,58,0
2020-08-07,15,4,0,19,0,0,6,0,0,0,8
2020-08-08,13,7,13,23,0,0,0,0,0,0,0
2020-08-09,11,7,0,23,0,0,15,11,0,0,18
2020-08-10,14,2,10,0,0,0,6,0,0,0,7
2020-08-11,14,6,0,0,0,79,0,17,0,0,37
2020-08-12,11,6,20,0,0,0,0,0,0,0,29
2020-08-13,11,2,0,0,0,0,13,9,0,0,8
2020-08-14,17,8,32,39,0,0,6,0,0,0,8
2020-08-15,15,7,49,0,0,96,0,0,0,0,18
2020-08-16,12,7,48,0,0,0,7,0,0,0,9
2020-08-17,18,4,0,0,0,0,0,17,0,0,22
2020-08-18,12,4,41,0,0,0,12,0,0,0,23
