date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,85,90,0,100,56,0,21,53,0,44,77
2020-04-02,86,48,30,72,57,0,43,32,48,0,0
2020-04-03,100,70,31,0,40,0,0,100,0,92,0
2020-04-04,90,39,35,51,22,0,100,100,0,0,46
2020-04-05,95,100,0,0,0,0,0,49,55,0,45
2020-04-06,97,61,32,77,41,0,23,68,0,0,21
2020-04-07,30,15,0,60,59,0,22,66,0,0,40
2020-04-08,65,40,32,76,100,0,0,45,50,0,21
2020-04-09,53,42,100,16,21,0,24,12,0,49,22
2020-04-10,44,27,0,0,0,0,24,12,54,0,0
2020-04-11,65,32,68,0,0,0,48,12,0,0,0
2020-04-12,50,33,35,33,22,0,0,49,0,0,22
2020-04-13,68,43,30,88,19,0,21,43,0,0,20
2020-04-14,24,43,0,58,19,0,0,32,47,0,0
2020-04-15,61,28,0,71,0,0,42,83,0,0,19
2020-04-16,43,28,59,14,57,0,0,84,0,0,0
2020-04-17,49,39,0,30,59,0,0,11,0,45,20
2020-04-18,28,28,0,50,44,0,0,25,0,0,0
2020-04-19,23,23,36,34,23,0,0,13,0,0,23
2020-04-20,41,28,29,28,0,0,0,31,91,0,19
2020-04-21,29,33,30,14,57,0,0,11,0,0,39
2020-04-22,14,5,0,44,38,0,64,21,0,0,20
2020-04-23,28,9,30,57,38,0,0,0,0,0,19
2020-04-24,20,30,31,45,59,0,66,11,0,46,20
2020-04-25,21,10,0,32,0,0,23,58,0,0,21
2020-04-26,11,11,0,33,0,0,25,12,0,0,0
2020-04-27,39,5,0,0,0,0,43,11,0,0,0
2020-04-28,19,5,30,0,38,0,21,11,0,0,19
2020-04-29,23,18,29,14,36,0,61,10,0,0,19
2020-04-30,52,14,30,57,0,0,21,42,47,0,39
2020-05-01,35,5,0,30,40,78,44,0,0,0,0
2020-05-02,5,0,0,61,20,0,0,0,50,0,0
2020-05-03,22,5,0,50,22,0,24,0,54,0,0
2020-05-04,5,5,0,55,0,0,41,10,45,0,37
2020-05-05,9,17,0,13,34,0,19,0,0,0,35
2020-05-06,23,18,0,27,54,0,0,10,0,0,19
2020-05-07,19,5,0,28,0,0,0,0,0,0,0
2020-05-08,10,19,0,14,0,0,0,0,0,0,20
2020-05-09,17,11,0,68,45,0,0,0,0,0,0
2020-05-10,23,6,36,34,0,0,25,13,0,0,0
2020-05-11,10,5,0,15,0,0,22,33,0,45,0
2020-05-12,14,19,30,72,0,0,43,0,0,0,0
2020-05-13,5,9,0,28,56,0,21,10,93,43,38
2020-05-14,28,9,0,14,38,0,0,0,47,0,0
2020-05-15,15,5,31,0,39,77,0,22,0,0,20
2020-05-16,6,0,35,50,22,0,0,24,0,0,22
2020-05-17,16,5,0,0,0,0,73,0,54,0,22
