date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,92,72,68,0,23,0,38,32,30,0,16
2020-04-02,79,71,19,15,45,0,30,32,0,0,16
2020-04-03,76,51,34,55,53,57,18,75,70,53,37
2020-04-04,100,68,21,34,100,54,33,0,99,0,35
2020-04-05,89,100,70,16,0,0,39,33,0,0,33
2020-04-06,82,63,98,32,23,0,53,97,31,0,8
2020-04-07,57,73,20,16,70,100,23,33,0,0,16
2020-04-08,63,68,50,32,0,0,23,100,63,47,16
2020-04-09,74,52,61,16,24,0,55,34,32,0,42
2020-04-10,70,57,33,36,26,0,52,0,35,0,18
2020-04-11,82,35,76,17,26,0,59,36,34,0,44
2020-04-12,61,68,71,16,0,0,63,0,0,47,17
2020-04-13,47,49,71,16,48,0,63,67,63,0,25
2020-04-14,62,16,40,16,24,0,47,67,63,0,25
2020-04-15,65,69,39,16,23,0,46,0,31,0,8
2020-04-16,51,35,20,0,0,0,31,0,0,0,16
2020-04-17,80,61,100,0,0,0,43,74,35,0,100
2020-04-18,71,51,74,51,50,0,8,70,0,0,17
2020-04-19,67,36,72,33,0,0,40,0,64,0,25
2020-04-20,69,57,20,16,23,0,54,0,62,0,16
2020-04-21,61,32,61,16,0,0,16,0,0,0,50
2020-04-22,48,42,30,16,47,51,39,33,31,93,25
2020-04-23,41,28,29,78,0,0,8,32,0,0,72
2020-04-24,56,38,82,19,0,0,36,0,37,55,19
2020-04-25,69,33,45,18,0,0,44,75,0,53,74
2020-04-26,60,50,63,0,0,0,8,0,0,0,26
2020-04-27,51,47,74,17,0,0,49,0,33,0,60
2020-04-28,50,31,32,34,0,0,17,0,33,0,26
2020-04-29,48,42,40,0,0,0,16,0,31,47,41
2020-04-30,50,35,49,16,0,50,23,0,0,0,24
2020-05-01,46,34,0,19,0,0,100,0,36,0,38
2020-05-02,50,36,34,0,0,0,61,0,35,0,37
2020-05-03,38,32,33,18,26,0,17,0,68,0,9
2020-05-04,38,44,63,34,0,0,33,0,0,0,9
2020-05-05,37,25,78,16,0,0,38,32,61,0,56
2020-05-06,35,30,92,33,0,0,16,68,32,48,67
2020-05-07,50,44,64,0,0,0,16,0,0,0,43
2020-05-08,52,49,70,38,0,0,55,78,0,0,67
2020-05-09,48,28,44,0,0,0,52,74,69,0,36
2020-05-10,47,35,11,17,26,55,17,72,0,0,27
2020-05-11,58,45,21,17,25,0,50,71,0,0,61
2020-05-12,45,37,83,0,0,0,65,0,33,49,26
