date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,79,93,10,34,46,0,16,100,100,88,13
2020-04-02,100,73,21,18,47,0,5,52,0,0,41
2020-04-03,83,100,33,92,100,0,17,66,0,32,7
2020-04-04,90,78,100,21,0,0,7,62,0,0,25
2020-04-05,84,74,46,39,0,84,12,69,29,34,46
2020-04-06,64,59,21,88,0,0,6,42,0,0,28
2020-04-07,56,47,22,73,0,0,23,76,27,32,43
2020-04-08,66,51,22,19,0,0,12,33,0,0,7
2020-04-09,42,37,22,19,0,0,18,67,28,0,22
2020-04-10,51,49,11,38,0,0,30,45,0,0,45
2020-04-11,52,44,13,21,0,0,7,51,0,37,25
2020-04-12,40,53,24,100,0,0,6,47,30,0,16
2020-04-13,60,49,0,37,0,0,17,11,0,0,15
2020-04-14,50,26,21,17,47,0,0,21,26,0,0
2020-04-15,38,37,33,18,0,0,0,54,0,63,7
2020-04-16,42,30,11,19,0,0,6,11,0,0,8
2020-04-17,41,35,25,0,57,0,7,25,0,0,0
2020-04-18,48,54,0,0,0,97,0,13,33,39,9
2020-04-19,47,39,38,21,0,0,0,0,0,0,8
2020-04-20,43,31,23,58,0,0,0,0,0,33,8
2020-04-21,39,29,21,52,0,0,16,10,26,0,41
2020-04-22,33,28,0,0,0,0,11,21,0,0,21
2020-04-23,34,15,20,33,0,0,5,40,0,0,26
2020-04-24,25,23,42,0,0,76,11,73,0,0,14
2020-04-25,26,18,12,20,55,0,19,12,0,0,8
2020-04-26,29,22,33,19,0,0,18,44,0,0,15
2020-04-27,26,24,30,51,0,0,11,20,0,29,13
2020-04-28,28,24,20,50,0,0,16,10,0,0,13
2020-04-29,25,23,20,49,0,0,15,19,0,0,19
2020-04-30,21,16,46,16,0,0,15,18,0,0,0
2020-05-01,31,27,35,0,0,0,12,0,0,0,8
2020-05-02,26,25,0,40,0,0,13,0,0,0,8
2020-05-03,19,29,0,0,0,0,23,0,0,0,14
2020-05-04,19,19,9,0,0,0,34,9,0,0,6
2020-05-05,21,15,9,15,0,0,5,27,0,26,6
2020-05-06,22,9,37,0,41,66,10,9,0,0,24
2020-05-07,23,20,29,0,0,71,0,0,24,0,13
2020-05-08,19,14,11,0,0,0,0,21,0,0,7
2020-05-09,17,23,26,22,59,0,14,13,0,38,9
2020-05-10,22,18,12,0,0,0,19,12,0,35,24
