date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,89,80,22,48,0,0,79,71,0,0,30
2020-04-02,100,92,42,0,0,0,31,60,0,0,0
2020-04-03,94,68,66,25,0,0,65,81,33,48,0
2020-04-04,93,58,0,78,0,0,0,57,35,0,16
2020-04-05,81,100,23,0,0,0,67,47,0,100,48
2020-04-06,92,47,19,0,0,0,83,23,28,0,13
2020-04-07,76,71,19,43,0,0,14,31,29,0,13
2020-04-08,44,48,58,0,0,0,0,16,29,0,13
2020-04-09,90,73,20,0,0,0,58,16,0,43,14
2020-04-10,69,37,59,22,0,0,29,48,30,43,14
2020-04-11,49,71,0,0,0,0,100,19,0,0,16
2020-04-12,44,68,0,49,0,0,16,0,0,0,31
2020-04-13,80,23,0,42,34,0,41,31,28,0,26
2020-04-14,64,82,19,21,0,0,14,8,0,0,0
2020-04-15,60,58,19,21,0,0,55,100,0,0,13
2020-04-16,52,47,19,64,34,0,28,55,29,0,53
2020-04-17,79,99,0,0,0,0,29,33,0,0,14
2020-04-18,65,44,47,0,0,0,34,10,35,51,0
2020-04-19,68,29,0,0,0,0,34,29,35,0,0
2020-04-20,59,48,0,43,0,0,56,16,0,42,27
2020-04-21,68,48,39,22,35,0,28,8,0,0,0
2020-04-22,64,0,0,22,0,0,15,16,0,0,41
2020-04-23,73,59,57,64,0,0,0,8,0,41,0
2020-04-24,47,38,21,91,0,0,45,0,0,0,14
2020-04-25,60,29,0,0,42,78,34,0,0,0,0
2020-04-26,87,59,71,26,43,0,35,0,36,0,0
2020-04-27,53,25,41,23,36,0,59,17,30,0,14
2020-04-28,48,12,40,0,0,0,29,16,0,0,27
2020-04-29,31,25,20,45,0,0,45,17,0,0,28
2020-04-30,40,13,20,0,0,0,30,17,0,0,0
2020-05-01,43,32,0,0,0,0,56,31,0,0,0
2020-05-02,64,65,26,59,0,0,58,0,0,0,36
2020-05-03,81,33,53,30,0,0,39,11,40,0,18
2020-05-04,60,30,25,27,0,0,18,0,0,53,34
2020-05-05,53,29,93,0,0,0,85,19,0,50,16
2020-05-06,61,66,21,24,0,0,46,35,0,0,15
2020-05-07,44,27,45,74,0,0,65,0,100,0,0
2020-05-08,49,14,46,0,0,0,17,19,0,0,32
2020-05-09,66,0,0,30,0,0,39,11,0,0,37
2020-05-10,72,16,26,0,0,0,0,0,0,0,18
2020-05-11,37,30,72,54,0,81,88,10,0,0,17
2020-05-12,39,0,20,22,0,0,14,16,30,86,27
2020-05-13,68,100,81,23,0,68,44,8,0,0,0
2020-05-14,41,13,0,23,0,0,75,0,0,0,14
2020-05-15,56,27,65,0,0,0,31,9,0,0,15
2020-05-16,34,16,0,0,0,84,18,31,0,0,17
2020-05-17,47,0,0,28,0,0,56,0,0,0,35
2020-05-18,35,39,21,23,38,0,31,34,0,0,29
2020-05-19,35,65,0,70,38,0,0,9,0,0,43
2020-05-20,39,13,22,0,0,72,0,0,0,0,15
2020-05-21,36,0,0,0,0,72,16,9,0,0,15
2020-05-22,24,42,0,0,0,0,49,0,34,0,46
2020-05-23,20,0,53,0,0,0,0,0,0,0,18
2020-05-24,16,33,0,59,0,0,0,0,0,0,18
2020-05-25,37,0,0,25,0,0,49,0,34,0,31
2020-05-26,24,56,45,0,0,0,17,0,0,0,16
2020-05-27,28,43,0,0,0,0,51,0,0,0,16
2020-05-28,32,29,23,0,0,0,17,0,0,0,64
2020-05-29,40,30,24,0,43,0,0,10,36,0,0
2020-05-30,25,17,28,62,100,0,20,11,0,0,38
2020-05-31,40,32,26,0,0,0,38,11,39,57,18
2020-06-01,17,14,22,25,0,0,49,0,0,0,15
2020-06-02,24,14,46,0,0,0,0,0,0,0,0
2020-06-03,37,14,67,25,0,0,16,18,0,0,0
2020-06-04,31,14,23,0,0,0,0,18,0,49,0
2020-06-05,39,15,0,0,0,0,34,0,35,0,0
2020-06-06,13,17,0,31,0,0,61,11,0,0,0
2020-06-07,42,0,0,0,50,0,20,0,0,0,0
2020-06-08,32,0,24,26,0,0,34,0,0,0,0
2020-06-09,25,28,23,0,0,0,0,9,35,0,16
2020-06-10,26,0,24,27,0,0,18,0,36,0,33
2020-06-11,26,31,0,0,0,0,18,0,0,0,34
2020-06-12,34,0,0,0,0,0,0,11,0,61,0
2020-06-13,30,35,0,32,0,0,21,0,0,0,20
2020-06-14,34,17,0,31,0,0,21,0,0,0,19
2020-06-15,33,0,97,0,44,81,0,0,0,0,17
2020-06-16,40,15,24,0,0,81,0,0,0,0,0
2020-06-17,30,0,0,27,44,0,0,0,0,0,17
2020-06-18,26,31,25,0,0,0,0,10,0,0,0
2020-06-19,15,15,0,0,0,0,0,10,0,0,17
2020-06-20,44,0,0,32,0,0,21,0,0,0,20
2020-06-21,21,0,28,92,0,0,20,0,0,0,38
2020-06-22,34,0,25,27,0,0,36,0,0,0,17
2020-06-23,22,0,0,27,0,0,0,10,0,0,51
2020-06-24,16,33,54,30,0,0,0,0,0,0,0
2020-06-25,19,0,25,0,0,0,36,0,0,0,34
2020-06-26,27,16,26,0,0,0,19,10,0,0,0
2020-06-27,22,0,59,0,0,0,0,0,88,0,20
2020-06-28,21,0,0,31,0,0,21,0,0,0,78
2020-06-29,22,30,0,27,0,82,0,0,0,0,17
2020-06-30,11,0,100,28,0,0,0,0,0,0,0
2020-07-01,29,0,0,0,0,90,0,0,0,0,0
