date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,93,59,74,0,97,0,0,0,0,0,0
2020-04-02,57,30,0,0,0,0,0,0,0,0,40
2020-04-03,71,32,0,0,0,0,26,0,0,0,43
2020-04-04,42,16,83,0,0,0,0,0,0,0,0
2020-04-05,100,16,0,0,0,0,0,0,0,0,0
2020-04-06,98,78,78,0,0,0,0,0,0,0,0
2020-04-07,74,100,0,0,0,0,0,0,0,0,0
2020-04-08,59,94,79,0,0,0,26,0,0,0,42
2020-04-09,83,16,0,0,0,0,27,0,0,0,44
2020-04-10,39,46,0,0,0,0,25,0,0,0,0
2020-04-11,80,36,0,0,0,0,0,0,0,0,48
2020-04-12,58,92,93,0,0,0,30,0,0,0,0
2020-04-13,29,0,77,0,0,0,0,0,0,0,0
2020-04-14,60,32,80,0,0,0,0,0,0,0,0
2020-04-15,41,16,0,0,0,0,53,0,0,0,0
2020-04-16,30,32,0,0,0,0,26,0,0,0,43
2020-04-17,62,49,0,0,0,0,0,0,0,0,44
2020-04-18,34,54,0,0,0,0,29,0,0,0,0
2020-04-19,34,36,91,0,0,0,30,100,0,0,49
2020-04-20,95,33,0,52,0,0,27,0,0,0,0
2020-04-21,50,16,0,0,0,0,0,0,0,97,0
2020-04-22,20,16,0,0,0,0,0,0,0,0,0
2020-04-23,50,16,0,0,0,0,26,0,0,0,0
2020-04-24,52,33,0,0,0,0,0,0,87,0,0
2020-04-25,33,52,87,0,0,0,28,0,0,0,0
2020-04-26,55,18,89,0,0,0,0,0,0,0,0
2020-04-27,29,0,0,0,0,0,0,0,0,0,0
2020-04-28,32,34,0,0,0,0,0,0,0,0,0
2020-04-29,20,0,0,0,0,0,51,0,83,0,0
2020-04-30,48,0,0,0,0,0,100,0,0,0,41
2020-05-01,34,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,90,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,23,73,0,57,0,0,30,0,0,0,0
2020-05-05,0,16,0,0,0,0,78,0,0,0,0
2020-05-06,51,32,0,0,0,0,0,0,0,0,0
2020-05-07,19,0,0,0,0,0,0,0,0,0,0
2020-05-08,51,16,0,0,0,0,0,0,0,0,0
2020-05-09,35,18,0,0,0,0,0,0,0,0,0
2020-05-10,24,0,0,0,0,0,0,0,0,0,50
2020-05-11,20,0,0,50,0,0,53,0,0,0,0
2020-05-12,22,17,0,0,0,0,28,0,0,0,0
2020-05-13,21,0,0,53,0,0,0,0,0,0,0
2020-05-14,11,17,87,0,0,0,0,95,0,0,0
2020-05-15,21,16,0,0,0,0,0,0,0,0,0
2020-05-16,22,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,98,0,0,0
2020-05-18,10,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,16,79,0,0,0,26,0,0,0,0
2020-05-20,0,0,0,0,0,0,27,0,0,0,44
2020-05-21,0,16,0,0,0,0,0,0,0,0,0
2020-05-22,22,34,0,0,0,0,56,0,0,0,46
2020-05-23,12,0,95,0,0,0,0,0,0,0,0
2020-05-24,12,39,0,0,0,0,32,0,0,0,0
2020-05-25,11,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,25,0,0,0,0
2020-05-27,10,0,0,0,0,0,0,88,0,0,0
2020-05-28,30,0,0,0,0,0,0,0,0,0,0
2020-05-29,20,16,0,49,0,0,0,0,0,0,0
2020-05-30,13,20,100,0,0,0,32,0,0,0,0
2020-05-31,24,0,0,0,0,0,0,0,0,0,0
2020-06-01,28,0,0,0,0,0,0,0,0,0,0
2020-06-02,10,15,0,0,0,0,25,0,0,0,0
2020-06-03,18,0,0,0,0,0,0,0,0,0,0
2020-06-04,10,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,12,37,94,0,0,0,0,0,0,0,0
2020-06-07,12,0,0,0,0,0,32,0,0,0,0
2020-06-08,0,0,0,0,0,0,24,0,0,0,40
2020-06-09,0,0,0,41,0,0,0,0,0,0,0
2020-06-10,0,0,76,0,0,0,24,0,0,0,0
2020-06-11,9,0,0,0,0,0,24,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,32,17,0,53,0,0,0,0,0,0,0
2020-06-15,19,0,0,47,0,0,0,0,0,0,0
2020-06-16,27,28,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,74,0,0,0,24,0,0,0,0
2020-06-18,9,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,48,0,0,0,0,0,0,0
2020-06-20,22,17,0,0,0,0,28,0,0,0,46
2020-06-21,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,83,0,0,0
2020-06-23,9,0,0,0,96,0,0,0,0,0,0
2020-06-24,9,0,0,45,0,0,0,0,0,0,0
2020-06-25,0,14,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,11,0,0,0,0,0,0,0,0,0,0
2020-06-29,18,0,71,0,0,0,23,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0,40
2020-07-01,21,17,0,52,0,0,0,0,0,0,0
2020-07-02,9,0,0,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,10,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,18,14,0,0,0,0,0,0,0,0,38
2020-07-08,27,14,0,0,0,0,0,0,0,0,0
2020-07-09,0,0,75,0,0,0,0,0,0,0,0
2020-07-10,9,0,0,0,0,0,0,0,0,0,0
2020-07-11,10,0,0,0,0,0,0,0,0,0,0
2020-07-12,21,17,0,0,0,0,0,0,0,0,0
2020-07-13,9,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,69,0,0,0,0,0,0,0,0
2020-07-15,8,0,0,0,0,0,0,0,0,0,0
2020-07-16,18,0,0,0,0,0,0,0,0,0,38
2020-07-17,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,11,0,0,54,0,0,0,0,92,0,0
2020-07-19,11,17,0,0,0,0,0,0,0,0,0
2020-07-20,19,30,0,0,0,0,25,0,0,0,0
2020-07-21,9,15,0,0,0,0,0,0,0,0,0
2020-07-22,0,14,0,0,0,0,0,0,0,0,38
2020-07-23,0,0,0,0,0,0,24,0,0,0,39
2020-07-24,10,0,0,0,0,0,0,0,84,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,20,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,14,0,0,0,0,23,0,0,0,0
2020-07-28,29,15,0,0,0,0,0,0,81,0,0
2020-07-29,9,15,0,0,0,0,0,0,0,0,0
2020-07-30,18,28,72,0,0,0,0,0,0,0,0
2020-07-31,0,0,80,50,0,0,0,0,0,0,0
2020-08-01,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,22,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,73,0,0,0,24,0,0,0,0
2020-08-04,9,0,0,0,0,0,0,0,0,0,37
2020-08-05,9,14,69,0,0,0,22,0,0,0,0
2020-08-06,0,0,75,0,0,0,0,0,0,0,0
2020-08-07,0,0,0,0,0,0,25,0,0,0,0
2020-08-08,21,17,84,0,0,0,0,0,0,0,0
2020-08-09,12,0,0,0,0,0,0,0,0,0,49
2020-08-10,8,0,0,42,0,0,22,0,0,0,0
2020-08-11,17,0,0,42,0,0,0,0,0,0,36
2020-08-12,26,14,0,0,0,0,0,0,0,0,37
2020-08-13,10,0,0,0,0,0,0,0,0,0,41
2020-08-14,9,14,0,0,0,0,0,0,0,0,0
2020-08-15,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,10,0,83,0,0,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0,0,0,0,0,42
2020-08-18,9,0,0,0,0,0,0,0,0,0,0
2020-08-19,9,0,0,0,0,0,0,0,0,0,0
2020-08-20,0,0,0,48,0,0,0,0,0,0,0
2020-08-21,28,15,0,0,0,0,0,0,0,0,0
2020-08-22,22,17,0,0,0,0,0,0,0,0,47
2020-08-23,11,18,90,0,0,0,0,0,0,0,0
2020-08-24,28,0,0,0,99,0,0,0,0,0,0
2020-08-25,18,0,0,44,93,0,0,0,0,0,0
2020-08-26,18,0,0,0,0,0,0,0,0,0,0
2020-08-27,39,15,77,0,0,0,0,0,0,0,41
2020-08-28,0,0,0,0,0,0,0,0,0,0,0
2020-08-29,20,16,0,0,0,0,0,0,0,0,0
2020-08-30,0,0,83,0,0,0,0,0,0,0,0
2020-08-31,18,0,72,0,0,0,0,0,0,0,0
2020-09-01,17,14,0,0,0,0,0,0,0,0,0
2020-09-02,0,0,0,0,0,0,0,0,0,0,0
2020-09-03,18,14,0,0,0,92,0,0,0,0,0
2020-09-04,8,0,0,0,0,0,0,0,0,0,0
2020-09-05,10,16,80,0,0,0,0,0,0,0,0
2020-09-06,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,0,0,68,0,89,0,0,0,0,0,0
2020-09-08,0,0,0,0,0,0,0,0,0,0,38
2020-09-09,16,13,0,0,0,0,21,0,0,0,0
2020-09-10,0,0,0,0,0,0,0,0,0,0,0
2020-09-11,20,0,0,0,0,0,0,0,0,0,0
2020-09-12,0,0,0,0,0,0,0,0,0,0,100
2020-09-13,24,19,0,0,0,0,0,0,0,0,0
2020-09-14,0,0,0,0,0,0,0,0,0,0,0
2020-09-15,0,0,0,0,0,0,0,0,100,0,0
2020-09-16,13,0,0,0,0,0,33,0,0,0,0
2020-09-17,0,0,0,0,0,0,0,0,0,0,54
2020-09-18,9,0,0,0,0,0,0,0,0,0,0
2020-09-19,9,0,75,0,0,0,0,0,0,0,0
2020-09-20,9,15,0,0,0,0,0,0,0,0,39
2020-09-21,9,0,69,0,0,0,22,0,0,0,0
2020-09-22,0,0,66,0,0,0,0,0,0,0,0
2020-09-23,0,0,0,0,0,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0,0,0,0,0,0
2020-09-25,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,9,0,73,45,0,0,0,0,0,0,0
2020-09-27,0,0,80,0,0,0,26,0,0,0,0
2020-09-28,9,0,0,0,0,0,0,0,0,0,0
2020-09-29,0,14,72,0,0,0,0,0,0,0,0
2020-09-30,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,19,0,0,0,0,0,24,0,0,0,0
2020-10-03,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,20,16,0,0,0,0,0,0,0,0,0
2020-10-05,0,0,0,0,0,0,0,0,0,0,0
2020-10-06,9,0,0,0,0,0,0,0,0,0,0
2020-10-07,9,0,0,0,0,0,0,0,0,0,0
2020-10-08,9,0,0,0,0,0,0,0,0,0,0
2020-10-09,0,0,0,47,0,0,0,0,0,0,0
2020-10-10,11,0,0,0,0,0,0,0,0,0,47
2020-10-11,0,0,0,50,0,0,0,0,0,0,0
2020-10-12,0,0,0,0,0,0,0,0,0,0,0
2020-10-13,18,0,0,45,0,0,0,0,0,0,0
2020-10-14,0,0,0,0,0,0,0,0,0,0,0
2020-10-15,9,0,0,0,0,0,0,0,0,0,0
2020-10-16,9,0,0,0,0,0,22,0,0,0,0
2020-10-17,0,0,0,0,0,0,0,0,0,0,0
2020-10-18,20,0,0,0,0,0,0,0,0,0,0
2020-10-19,9,0,0,0,0,0,0,0,0,0,0
2020-10-20,0,0,0,0,0,0,0,0,0,0,0
2020-10-21,8,12,0,0,0,0,0,0,0,0,0
2020-10-22,0,0,0,0,0,0,0,0,0,0,0
2020-10-23,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,10,0,0,0,0,0,0,0,0,0,0
2020-10-25,0,0,82,0,0,0,0,0,0,100,0
2020-10-26,0,0,0,0,0,0,0,0,0,0,0
2020-10-27,9,14,0,0,0,0,0,0,0,0,0
2020-10-28,0,0,0,0,87,0,0,0,0,0,0
2020-10-29,9,0,0,44,0,0,0,0,0,0,0
2020-10-30,10,0,77,0,100,0,25,0,0,0,0
2020-10-31,0,0,0,0,0,0,24,0,79,0,0
