date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,48,28,0,0,0,33,0,0,0,26
2020-04-02,50,100,29,23,0,0,6,0,0,0,28
2020-04-03,54,90,0,0,0,0,0,0,0,0,0
2020-04-04,39,0,98,78,0,0,10,97,0,0,0
2020-04-05,22,53,92,0,0,0,19,92,0,0,0
2020-04-06,98,36,31,25,0,0,31,62,0,0,0
2020-04-07,76,35,0,0,0,0,18,60,0,30,0
2020-04-08,77,53,91,24,31,0,18,0,28,0,0
2020-04-09,63,19,0,0,0,0,13,0,0,0,64
2020-04-10,64,0,40,0,0,0,8,0,0,0,0
2020-04-11,21,0,0,0,0,0,0,0,0,46,0
2020-04-12,29,26,0,36,0,0,9,0,0,0,0
2020-04-13,30,67,77,0,0,0,46,0,0,0,0
2020-04-14,48,53,0,24,0,0,37,60,0,31,0
2020-04-15,48,18,0,0,0,0,12,61,0,0,0
2020-04-16,35,18,0,0,32,0,45,0,30,0,0
2020-04-17,62,38,0,0,0,0,7,0,0,0,0
2020-04-18,53,83,48,38,0,0,0,0,0,0,0
2020-04-19,52,0,47,0,0,0,9,0,0,0,0
2020-04-20,29,17,0,0,0,0,6,0,0,0,29
2020-04-21,58,53,0,48,0,0,18,0,28,0,29
2020-04-22,57,0,0,24,30,0,12,0,28,30,57
2020-04-23,60,55,32,0,0,0,6,0,30,0,61
2020-04-24,43,39,68,0,0,0,20,0,0,0,33
2020-04-25,25,30,0,0,0,0,10,0,0,0,0
2020-04-26,8,29,0,0,51,0,10,0,0,0,0
2020-04-27,15,0,31,0,0,0,19,61,29,31,30
2020-04-28,27,17,29,0,0,0,29,0,0,58,0
2020-04-29,36,49,0,0,0,0,29,0,0,0,0
2020-04-30,24,0,31,0,31,0,12,0,0,31,0
2020-05-01,12,0,0,61,0,0,15,0,71,0,0
2020-05-02,47,0,0,79,0,0,20,0,0,0,0
2020-05-03,23,0,0,38,0,0,10,95,44,0,0
2020-05-04,39,71,31,0,0,0,19,61,0,0,30
2020-05-05,14,18,61,0,0,0,12,0,0,0,0
2020-05-06,45,33,0,0,0,0,11,0,27,29,0
2020-05-07,43,17,0,24,30,0,42,0,28,0,0
2020-05-08,19,0,0,0,0,0,33,81,0,0,0
2020-05-09,34,31,0,85,0,0,21,0,50,0,51
2020-05-10,0,28,0,39,0,0,20,0,0,0,0
2020-05-11,19,0,31,24,0,0,31,61,57,0,29
2020-05-12,29,18,0,24,0,0,0,0,0,31,0
2020-05-13,34,0,31,24,0,0,12,61,0,0,0
2020-05-14,44,18,31,0,0,0,6,0,58,0,30
2020-05-15,16,0,0,27,34,100,20,0,0,0,32
2020-05-16,34,0,0,43,0,0,32,0,100,0,51
2020-05-17,42,61,0,42,0,0,11,0,0,0,0
2020-05-18,37,19,34,27,0,0,20,0,31,0,32
2020-05-19,44,40,0,0,35,0,0,0,0,0,100
2020-05-20,22,0,35,0,0,0,0,0,0,0,0
2020-05-21,12,0,0,29,37,0,15,0,0,0,35
2020-05-22,34,42,36,0,0,0,7,72,0,0,0
2020-05-23,15,0,0,0,0,0,19,0,0,0,45
2020-05-24,22,27,0,0,46,0,37,0,0,0,0
2020-05-25,23,0,0,0,0,0,7,0,0,0,35
2020-05-26,33,20,0,28,0,0,14,69,0,0,0
2020-05-27,32,0,34,0,0,0,20,0,0,0,32
2020-05-28,44,20,0,0,0,0,28,0,0,0,67
2020-05-29,11,0,0,58,37,0,22,0,0,0,0
2020-05-30,25,0,52,0,0,0,0,0,0,0,0
