date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,98,100,64,18,19,0,18,29,17,0,21
2020-04-02,97,77,64,18,0,39,33,22,33,0,25
2020-04-03,92,90,56,7,0,0,23,0,36,0,9
2020-04-04,91,77,42,27,42,0,17,24,36,48,33
2020-04-05,87,68,65,37,39,0,30,22,100,0,34
2020-04-06,96,84,50,24,19,0,80,36,16,0,17
2020-04-07,89,59,50,18,57,0,83,22,0,0,13
2020-04-08,75,69,42,23,18,0,42,27,31,0,28
2020-04-09,86,71,37,23,19,0,12,14,0,84,37
2020-04-10,100,72,68,26,20,0,13,16,17,0,32
2020-04-11,90,70,100,13,60,0,16,15,34,0,35
2020-04-12,88,44,77,12,19,0,39,22,16,0,26
2020-04-13,85,69,56,18,37,0,12,21,64,42,25
2020-04-14,83,54,43,12,0,0,17,14,16,0,37
2020-04-15,83,40,43,12,0,0,15,7,0,0,12
2020-04-16,67,39,50,18,38,0,18,7,48,0,8
2020-04-17,77,72,68,6,20,0,22,16,52,46,9
2020-04-18,88,64,53,13,20,0,28,15,34,91,13
2020-04-19,72,38,46,12,20,0,28,30,34,0,13
2020-04-20,78,34,52,12,0,0,18,22,0,0,34
2020-04-21,67,53,53,13,0,40,31,23,34,0,22
2020-04-22,60,31,26,32,40,0,25,8,34,0,40
2020-04-23,60,36,71,6,39,0,43,15,17,0,13
2020-04-24,57,48,35,0,0,0,20,0,18,48,32
2020-04-25,64,34,22,7,66,44,41,8,37,0,48
2020-04-26,60,33,56,27,0,0,43,16,0,0,28
2020-04-27,54,26,49,0,84,43,33,16,0,0,42
2020-04-28,49,15,28,13,21,0,30,8,36,48,37
2020-04-29,51,45,42,26,0,0,23,56,0,95,18
2020-04-30,52,25,34,6,20,41,16,0,17,0,45
2020-05-01,45,23,59,7,0,0,24,0,57,0,15
2020-05-02,56,31,21,27,21,0,34,8,37,0,24
2020-05-03,51,37,35,13,0,43,16,32,0,47,60
2020-05-04,48,38,34,19,20,0,26,23,53,0,41
2020-05-05,46,26,32,6,0,79,21,7,0,0,52
2020-05-06,49,19,67,25,20,0,13,31,17,0,53
2020-05-07,50,36,27,26,0,42,13,23,0,46,27
2020-05-08,45,29,50,21,0,0,30,16,0,0,48
2020-05-09,35,28,49,33,21,42,23,8,0,47,18
2020-05-10,39,27,67,26,40,0,22,31,35,46,27
2020-05-11,43,23,27,0,100,0,19,23,68,0,18
2020-05-12,37,23,61,13,20,0,64,8,17,0,13
2020-05-13,37,27,46,38,20,0,37,45,0,0,26
2020-05-14,35,28,20,25,20,0,6,37,17,0,56
2020-05-15,41,17,21,0,0,0,26,8,0,47,14
2020-05-16,54,26,35,7,21,0,10,8,0,48,42
2020-05-17,39,22,85,34,0,0,20,16,36,48,37
2020-05-18,41,20,14,34,21,0,13,24,0,0,38
2020-05-19,29,15,49,0,0,0,20,24,18,0,33
2020-05-20,41,26,42,13,0,0,13,24,0,47,9
2020-05-21,37,20,58,21,0,44,24,25,19,0,14
2020-05-22,31,7,23,0,0,46,100,0,39,0,30
2020-05-23,32,35,15,21,0,0,53,9,19,0,10
2020-05-24,45,13,66,16,0,0,27,9,43,57,22
2020-05-25,41,26,54,15,23,0,44,9,40,53,36
2020-05-26,34,12,74,28,45,0,56,34,38,0,34
2020-05-27,40,25,29,49,0,0,34,25,19,0,5
2020-05-28,37,18,58,49,0,0,31,33,38,50,15
2020-05-29,33,16,37,50,0,0,21,26,19,0,25
2020-05-30,35,20,44,62,0,0,27,100,19,0,24
2020-05-31,33,22,35,74,64,0,33,97,0,48,23
2020-06-01,40,30,35,80,21,0,20,48,0,48,32
2020-06-02,35,11,35,100,21,0,16,40,0,0,19
2020-06-03,32,25,20,69,20,40,0,90,51,45,17
2020-06-04,40,17,40,89,40,0,16,69,34,0,40
2020-06-05,41,18,51,49,44,45,31,50,19,100,15
2020-06-06,49,32,66,42,22,0,31,42,19,0,24
2020-06-07,41,19,49,27,0,0,16,32,36,0,28
2020-06-08,47,16,53,50,20,0,9,53,34,0,22
2020-06-09,33,30,26,19,20,40,12,30,33,0,22
2020-06-10,41,25,21,26,21,0,23,31,53,47,23
2020-06-11,30,24,35,46,21,0,6,24,36,0,27
2020-06-12,34,14,7,28,0,0,11,51,77,51,44
2020-06-13,41,27,59,28,44,0,24,34,19,0,24
2020-06-14,32,23,62,20,0,42,16,24,35,94,23
2020-06-15,35,28,28,66,21,0,20,56,18,0,28
2020-06-16,28,11,41,19,61,0,13,23,17,46,50
2020-06-17,31,13,56,7,0,0,13,40,18,95,18
2020-06-18,26,13,49,33,0,0,16,48,36,0,28
2020-06-19,28,16,38,7,23,0,7,26,0,0,15
2020-06-20,27,12,15,29,23,0,39,34,39,51,35
2020-06-21,31,22,35,20,0,0,7,0,72,95,32
2020-06-22,21,13,21,33,42,43,7,16,36,0,28
2020-06-23,32,15,42,20,21,0,7,32,72,0,33
2020-06-24,26,13,71,27,21,0,10,8,55,48,23
2020-06-25,27,11,29,41,0,0,7,8,55,0,14
2020-06-26,39,22,40,38,0,0,4,18,20,0,32
2020-06-27,29,9,23,36,0,0,7,17,39,0,30
2020-06-28,30,9,21,40,0,43,7,16,0,0,18
2020-06-29,22,9,21,20,0,0,13,24,55,0,28
2020-06-30,29,7,57,0,0,44,10,8,18,0,19
2020-07-01,22,7,15,49,0,0,3,17,0,0,19
2020-07-02,25,7,7,42,22,0,3,17,38,0,49
2020-07-03,27,30,16,23,0,50,11,28,21,0,16
2020-07-04,16,22,39,37,0,47,0,27,0,0,31
2020-07-05,24,11,36,14,21,0,0,8,18,0,24
2020-07-06,30,11,29,28,22,44,14,17,19,49,24
2020-07-07,18,9,14,34,43,0,7,16,19,98,29
2020-07-08,20,15,28,54,0,0,7,24,55,0,33
2020-07-09,15,14,15,28,44,0,3,8,38,50,24
2020-07-10,27,15,24,38,24,0,0,0,0,0,21
2020-07-11,17,5,30,21,0,91,11,34,0,0,15
2020-07-12,17,6,42,26,0,0,10,16,18,0,32
2020-07-13,17,4,7,33,21,0,7,8,18,47,46
2020-07-14,17,11,43,20,0,43,3,8,0,0,28
2020-07-15,24,13,7,27,21,43,3,16,55,0,38
2020-07-16,21,11,15,14,0,0,3,17,38,0,10
2020-07-17,20,20,41,15,0,0,4,0,0,0,27
2020-07-18,21,7,47,15,0,0,7,18,0,0,37
2020-07-19,22,20,29,21,0,0,3,17,0,0,43
2020-07-20,17,7,44,28,0,0,3,0,19,50,58
2020-07-21,17,2,15,21,22,45,3,8,19,50,44
2020-07-22,16,2,44,14,0,0,3,25,19,0,39
2020-07-23,22,14,22,14,0,0,0,17,0,51,10
2020-07-24,21,0,50,8,0,0,4,19,0,0,22
2020-07-25,24,5,32,15,24,0,0,0,0,0,21
2020-07-26,19,5,31,0,23,47,7,18,20,0,31
2020-07-27,18,9,15,7,0,0,0,9,20,0,46
2020-07-28,18,17,40,8,0,0,4,0,0,0,42
2020-07-29,22,3,40,15,24,0,11,9,0,0,16
2020-07-30,18,10,32,23,0,0,0,0,0,0,16
2020-07-31,29,15,88,19,30,0,0,11,25,0,13
2020-08-01,22,3,65,27,0,0,4,0,0,0,31
2020-08-02,21,19,26,8,26,0,0,0,0,0,29
2020-08-03,29,10,33,8,25,0,8,10,0,0,28
2020-08-04,17,10,24,0,24,48,0,0,20,0,10
2020-08-05,13,2,8,7,23,0,0,0,0,0,10
2020-08-06,17,7,8,23,0,0,4,0,41,0,21
2020-08-07,19,8,24,8,25,50,8,0,0,0,5
2020-08-08,11,5,0,8,24,0,4,18,41,0,26
2020-08-09,15,9,29,7,0,0,3,8,0,0,34
2020-08-10,17,16,36,14,0,0,3,8,18,0,38
2020-08-11,13,5,23,22,23,0,0,9,39,0,100
2020-08-12,23,12,30,7,0,0,0,0,0,0,55
2020-08-13,11,5,7,29,45,0,7,0,0,0,75
2020-08-14,9,7,16,8,0,0,4,18,0,0,16
2020-08-15,10,5,15,0,0,47,0,9,0,52,20
2020-08-16,12,7,37,21,0,0,7,0,0,50,34
2020-08-17,14,14,22,49,44,0,7,0,76,0,10
2020-08-18,8,4,29,0,43,0,3,8,18,0,24
2020-08-19,9,9,28,7,0,0,0,16,54,0,19
2020-08-20,16,2,14,34,0,44,0,0,74,0,33
2020-08-21,13,0,32,23,0,0,0,18,0,0,11
2020-08-22,15,7,38,15,0,0,0,0,0,0,5
2020-08-23,13,10,13,19,0,40,3,0,0,45,26
2020-08-24,11,2,46,12,0,0,3,0,0,45,17
2020-08-25,8,4,13,6,0,40,3,0,0,0,22
2020-08-26,16,2,27,6,0,0,6,0,17,0,18
2020-08-27,9,4,27,19,0,0,6,16,35,0,14
2020-08-28,8,0,15,7,0,0,0,8,0,0,10
2020-08-29,10,8,0,6,0,0,0,7,16,0,12
2020-08-30,8,5,11,10,0,0,5,6,14,0,7
2020-08-31,13,9,17,0,0,0,3,13,0,0,15
2020-09-01,10,2,23,0,0,0,3,0,0,0,12
2020-09-02,10,2,12,17,17,0,0,7,15,39,19
2020-09-03,11,4,6,24,0,38,3,0,32,0,25
2020-09-04,12,5,0,0,0,0,3,17,0,0,25
2020-09-05,13,9,21,27,21,43,3,8,0,48,14
2020-09-06,7,0,10,18,15,30,0,11,12,0,22
2020-09-07,7,6,10,9,0,0,0,6,13,0,10
2020-09-08,8,3,5,0,30,0,2,6,13,0,29
2020-09-09,8,3,20,24,0,0,7,17,13,0,33
2020-09-10,6,0,16,5,0,0,3,0,42,0,18
2020-09-11,13,5,31,0,0,0,4,0,39,0,25
2020-09-12,11,0,0,13,0,0,0,8,0,0,23
2020-09-13,8,5,5,14,0,0,2,0,0,0,10
2020-09-14,7,6,30,0,0,0,0,6,13,0,7
2020-09-15,8,5,10,5,0,31,5,17,13,0,23
