date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,75,60,29,0,0,0,17,19,0,0,0
2020-04-02,71,73,30,0,0,0,36,40,0,0,0
2020-04-03,100,100,0,0,0,0,19,43,0,0,0
2020-04-04,79,81,0,0,0,91,20,22,0,0,12
2020-04-05,79,72,64,0,0,0,0,64,51,35,12
2020-04-06,75,78,0,27,0,0,72,0,0,0,11
2020-04-07,75,70,31,28,0,0,0,42,100,0,0
2020-04-08,67,39,64,58,0,0,19,21,0,0,23
2020-04-09,68,51,66,30,0,0,0,0,53,0,0
2020-04-10,65,88,0,0,0,0,60,0,0,0,24
2020-04-11,53,58,33,0,0,0,60,22,0,0,36
2020-04-12,56,68,0,30,0,0,0,0,0,35,23
2020-04-13,55,51,0,30,0,0,19,0,0,0,12
2020-04-14,48,60,29,0,0,0,17,19,0,0,0
2020-04-15,41,44,0,0,0,0,0,21,51,34,0
2020-04-16,42,58,67,30,0,0,20,0,53,0,12
2020-04-17,40,44,36,100,0,0,22,24,0,0,39
2020-04-18,48,54,0,0,0,0,0,46,0,0,25
2020-04-19,40,47,68,0,0,0,0,23,0,0,12
2020-04-20,45,48,31,0,0,0,0,0,0,100,22
2020-04-21,35,21,0,0,0,0,18,20,0,0,11
2020-04-22,28,22,32,0,0,0,19,21,0,0,23
2020-04-23,33,39,0,29,0,0,19,0,0,0,0
2020-04-24,25,30,0,0,0,0,20,23,0,0,0
2020-04-25,36,29,33,0,0,0,20,0,0,0,0
2020-04-26,37,43,0,0,0,0,0,0,0,68,11
2020-04-27,26,35,33,0,0,0,0,22,53,0,12
2020-04-28,27,23,0,90,0,0,20,0,0,0,12
2020-04-29,23,16,0,0,0,0,19,0,0,0,11
2020-04-30,29,22,0,29,0,0,0,43,0,0,12
2020-05-01,30,47,0,0,0,0,40,0,0,0,0
2020-05-02,25,39,0,0,0,0,0,0,0,0,11
2020-05-03,26,6,0,31,0,0,20,0,0,0,12
2020-05-04,23,16,0,0,0,0,0,0,0,0,0
2020-05-05,22,20,29,27,0,0,0,0,0,0,11
2020-05-06,18,26,30,0,81,0,0,20,0,0,11
2020-05-07,18,29,0,0,0,0,20,22,0,0,12
2020-05-08,30,18,0,0,0,0,0,23,0,0,0
2020-05-09,25,28,0,73,0,0,0,0,0,0,0
2020-05-10,21,34,39,36,0,0,0,0,0,0,28
2020-05-11,26,11,33,0,0,0,0,0,0,0,12
2020-05-12,14,5,0,0,0,0,18,21,0,0,0
2020-05-13,16,11,0,29,0,0,37,0,0,0,11
2020-05-14,17,27,0,0,0,0,0,0,0,0,11
2020-05-15,17,34,0,0,0,0,0,0,0,0,0
2020-05-16,15,13,0,0,0,0,0,0,0,0,14
2020-05-17,21,25,0,0,0,100,0,0,0,0,26
2020-05-18,19,11,0,0,85,0,19,0,0,34,11
2020-05-19,14,16,61,0,0,0,36,0,0,0,11
2020-05-20,13,5,29,0,0,0,0,0,0,0,0
2020-05-21,12,11,0,0,0,0,0,22,0,0,0
2020-05-22,17,6,0,0,0,0,0,0,0,0,12
2020-05-23,14,13,0,0,0,0,0,0,0,0,14
2020-05-24,11,6,0,0,0,0,21,0,0,0,0
2020-05-25,6,5,31,28,0,0,18,0,0,0,0
2020-05-26,13,20,29,26,0,0,0,0,0,0,0
2020-05-27,17,26,0,0,0,0,0,20,0,0,11
2020-05-28,7,0,0,0,0,0,0,0,0,0,0
2020-05-29,17,22,0,28,0,0,19,21,0,0,0
2020-05-30,7,6,0,0,0,0,21,0,0,0,0
2020-05-31,11,12,0,0,0,0,0,0,0,0,0
2020-06-01,13,15,0,0,76,78,34,0,0,0,10
2020-06-02,13,10,30,0,0,0,18,40,0,0,0
2020-06-03,10,5,29,0,0,0,0,0,0,0,0
2020-06-04,8,5,0,0,0,0,18,0,0,0,0
2020-06-05,13,0,0,0,0,0,0,21,0,0,0
2020-06-06,11,19,0,0,0,0,0,0,0,0,0
2020-06-07,8,26,37,34,0,0,0,0,0,0,0
2020-06-08,6,10,0,0,0,0,0,0,0,0,0
2020-06-09,17,5,0,27,79,0,0,0,0,0,0
2020-06-10,10,5,0,0,0,0,0,0,0,0,0
2020-06-11,12,6,32,29,0,0,0,0,52,0,0
2020-06-12,14,12,0,0,0,0,0,0,0,0,0
2020-06-13,6,7,0,0,0,0,0,0,0,0,0
2020-06-14,16,13,0,0,0,0,0,0,0,0,0
2020-06-15,15,17,0,0,0,0,0,0,0,0,11
2020-06-16,14,21,0,0,0,0,0,0,0,0,0
2020-06-17,17,5,31,0,85,0,0,0,0,0,0
2020-06-18,14,22,0,0,0,0,0,0,0,0,0
2020-06-19,10,12,0,0,0,0,20,0,0,0,12
2020-06-20,14,13,0,0,0,0,0,0,0,0,0
2020-06-21,12,17,65,0,0,0,0,0,0,0,0
2020-06-22,16,30,29,0,0,0,0,0,0,0,0
2020-06-23,24,32,31,28,0,0,0,0,0,0,33
2020-06-24,11,12,0,31,0,0,0,0,0,0,0
2020-06-25,13,18,35,0,0,0,0,23,0,0,0
2020-06-26,23,25,36,0,0,0,0,95,0,0,0
2020-06-27,25,13,0,35,0,0,0,26,0,0,14
2020-06-28,19,6,0,0,0,0,0,72,0,0,0
2020-06-29,19,34,33,0,0,0,0,44,0,0,12
2020-06-30,18,6,33,0,0,0,20,22,0,0,0
2020-07-01,17,29,0,31,0,0,0,0,0,0,24
2020-07-02,31,46,33,0,0,0,20,0,53,0,0
2020-07-03,21,46,33,30,0,0,20,44,0,0,12
2020-07-04,34,0,0,0,0,0,45,25,0,0,13
2020-07-05,27,26,37,34,0,0,22,0,60,0,13
2020-07-06,15,6,33,0,0,0,20,22,0,0,12
2020-07-07,27,11,0,28,0,0,18,62,0,0,22
2020-07-08,23,6,34,0,0,0,40,45,0,0,24
2020-07-09,16,18,35,32,0,0,21,46,0,0,13
2020-07-10,20,19,0,0,96,0,21,0,0,0,0
2020-07-11,20,7,0,36,0,0,0,78,0,0,14
2020-07-12,22,6,73,0,0,0,22,49,0,40,39
2020-07-13,18,18,0,0,0,0,0,95,0,0,51
2020-07-14,18,18,0,32,0,0,0,0,56,0,38
2020-07-15,16,6,0,0,0,0,21,72,0,0,13
2020-07-16,16,0,36,0,0,0,0,48,0,0,52
2020-07-17,15,24,34,31,0,0,0,23,0,0,12
2020-07-18,15,13,37,0,0,0,0,100,0,0,0
2020-07-19,20,13,0,34,0,0,0,25,0,0,40
2020-07-20,9,6,36,32,0,0,0,95,0,0,26
2020-07-21,14,19,0,0,0,0,0,24,0,0,13
2020-07-22,14,6,36,33,0,0,0,96,0,0,13
2020-07-23,7,12,35,0,0,0,0,70,0,0,25
2020-07-24,19,24,0,32,0,0,0,0,0,0,0
2020-07-25,12,25,0,0,0,0,0,24,0,0,13
2020-07-26,11,7,38,35,0,0,0,51,0,0,14
2020-07-27,14,6,35,0,0,0,0,47,0,0,0
2020-07-28,11,0,0,33,0,0,0,24,0,0,13
2020-07-29,16,0,0,0,0,0,0,24,0,0,26
2020-07-30,16,12,0,63,0,0,0,69,0,0,0
2020-07-31,8,0,0,0,0,0,0,0,0,0,13
2020-08-01,16,7,0,36,0,0,0,0,0,0,14
2020-08-02,12,20,78,0,0,0,0,26,0,0,14
2020-08-03,11,12,34,31,0,0,0,0,0,0,0
2020-08-04,11,0,0,59,0,0,0,43,0,0,12
2020-08-05,10,0,0,0,0,0,0,21,0,34,0
2020-08-06,9,0,0,92,0,0,0,0,0,0,0
2020-08-07,15,0,0,0,93,0,0,0,55,0,25
2020-08-08,6,0,38,35,0,0,0,25,0,0,14
2020-08-09,10,13,0,0,0,0,0,0,0,0,0
2020-08-10,5,0,35,0,0,0,21,23,0,0,25
2020-08-11,12,12,0,0,0,0,0,48,0,0,26
2020-08-12,15,0,35,0,0,0,21,23,56,0,38
2020-08-13,14,0,0,0,0,0,0,0,0,0,26
2020-08-14,11,6,0,0,0,0,0,23,0,0,13
2020-08-15,17,6,0,0,0,0,0,25,0,0,0
2020-08-16,6,7,0,0,0,0,0,0,0,0,55
2020-08-17,11,6,34,63,0,0,0,46,0,0,12
2020-08-18,9,6,0,0,0,0,0,0,0,0,0
2020-08-19,12,12,68,0,0,0,20,45,0,0,0
2020-08-20,11,13,0,0,0,0,0,0,0,0,13
2020-08-21,12,6,0,0,0,0,22,0,0,0,27
2020-08-22,12,0,0,0,0,0,0,27,0,0,0
2020-08-23,10,14,0,0,0,0,24,0,0,0,0
2020-08-24,14,12,0,0,0,0,0,0,0,0,12
2020-08-25,10,0,0,0,0,0,20,22,0,0,12
2020-08-26,13,6,0,33,0,0,0,0,0,0,0
2020-08-27,13,0,37,0,0,0,22,0,0,0,13
2020-08-28,8,0,0,0,0,0,0,25,0,0,0
2020-08-29,7,7,0,0,0,0,0,0,0,0,0
2020-08-30,9,7,38,34,0,0,0,0,0,0,0
2020-08-31,9,0,100,0,0,0,0,22,0,0,0
2020-09-01,8,6,34,62,0,0,0,0,0,0,0
2020-09-02,8,12,0,0,0,0,0,23,0,0,0
2020-09-03,8,0,0,63,93,0,0,0,0,0,12
2020-09-04,10,6,0,33,0,0,0,24,0,0,0
2020-09-05,5,0,0,0,0,0,0,0,0,0,0
2020-09-06,13,14,0,0,0,0,0,0,0,0,0
2020-09-07,7,12,0,0,0,0,60,0,0,0,12
2020-09-08,7,0,0,0,0,0,0,46,0,0,12
2020-09-09,9,0,35,0,0,0,0,0,0,0,25
2020-09-10,5,0,0,0,0,0,0,0,0,0,13
2020-09-11,7,6,36,0,0,0,0,0,0,0,0
2020-09-12,7,7,0,0,0,0,0,0,0,0,15
2020-09-13,9,0,0,0,0,0,0,0,0,0,0
2020-09-14,11,6,0,0,0,0,21,0,0,0,25
