date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,69,84,57,20,65,28,24,38,93,85,29
2020-04-02,84,90,64,22,76,28,25,58,78,99,17
2020-04-03,74,75,35,26,66,0,100,59,95,80,17
2020-04-04,85,100,50,34,75,0,33,55,72,53,22
2020-04-05,100,76,48,100,100,96,36,100,72,53,20
2020-04-06,84,60,85,45,22,0,41,90,16,34,10
2020-04-07,55,95,42,32,34,0,32,40,64,41,24
2020-04-08,60,66,43,32,31,0,29,19,30,70,11
2020-04-09,60,61,54,33,31,27,22,19,45,57,2
2020-04-10,67,79,52,21,24,0,24,32,34,80,16
2020-04-11,77,35,57,54,36,0,23,32,35,73,10
2020-04-12,69,71,100,32,24,31,14,64,35,29,17
2020-04-13,66,55,82,27,21,0,22,37,59,100,15
2020-04-14,54,68,40,32,31,80,21,55,30,44,19
2020-04-15,49,34,59,35,10,26,18,72,44,79,15
2020-04-16,50,35,100,40,31,0,17,46,44,31,18
2020-04-17,54,33,79,24,0,0,43,18,60,25,7
2020-04-18,45,32,71,44,24,61,16,11,17,29,26
2020-04-19,43,26,40,31,12,31,8,0,52,36,9
2020-04-20,44,50,61,17,31,26,11,18,44,37,25
2020-04-21,43,36,54,18,20,0,28,44,29,30,11
2020-04-22,41,30,41,10,10,26,14,18,74,31,24
2020-04-23,53,46,33,11,30,0,26,53,14,36,19
2020-04-24,37,26,36,17,11,82,15,19,46,39,37
2020-04-25,41,39,32,26,49,31,9,65,0,44,9
2020-04-26,34,42,34,6,0,32,11,0,53,37,16
2020-04-27,33,30,39,18,21,0,12,19,30,32,21
2020-04-28,28,26,36,13,10,27,15,28,30,19,21
2020-04-29,28,23,31,14,31,27,13,9,0,32,15
2020-04-30,29,21,30,8,0,0,10,0,56,29,15
2020-05-01,22,32,35,13,0,0,16,21,0,15,10
2020-05-02,26,23,23,7,0,31,12,21,17,22,10
2020-05-03,34,30,30,12,12,0,10,22,35,44,21
2020-05-04,25,10,25,6,51,53,12,18,59,12,13
2020-05-05,28,10,29,13,21,0,10,0,30,13,8
2020-05-06,29,21,35,19,32,0,10,9,15,26,35
2020-05-07,20,8,29,16,23,0,6,21,100,21,15
2020-05-08,25,19,24,10,22,57,9,0,16,14,13
2020-05-09,27,15,39,10,24,0,6,21,35,36,12
2020-05-10,22,21,29,12,12,0,15,11,18,22,11
2020-05-11,23,21,26,16,43,28,8,38,93,13,17
2020-05-12,24,32,27,26,22,0,18,19,32,13,21
2020-05-13,12,11,16,6,11,0,13,20,80,20,21
2020-05-14,18,19,24,13,22,57,7,30,16,47,15
2020-05-15,29,14,26,11,11,29,13,10,64,13,29
2020-05-16,18,15,19,12,12,0,8,33,36,23,18
2020-05-17,24,21,19,20,12,0,6,33,36,15,14
2020-05-18,25,14,28,18,0,0,14,10,32,34,27
2020-05-19,20,16,23,18,0,0,13,0,16,13,35
2020-05-20,17,8,18,26,33,0,8,39,32,0,30
2020-05-21,18,8,17,29,0,29,7,10,48,27,24
2020-05-22,14,16,24,24,34,29,2,20,48,7,26
2020-05-23,12,12,26,18,12,63,3,22,53,0,21
2020-05-24,23,6,21,13,0,65,4,11,18,8,20
2020-05-25,21,20,21,22,12,31,8,0,34,7,17
2020-05-26,16,11,16,23,22,0,7,0,16,13,19
2020-05-27,10,11,22,33,33,0,5,39,63,20,16
2020-05-28,20,8,20,22,11,0,7,29,31,40,13
2020-05-29,9,22,16,23,11,0,8,59,48,34,8
2020-05-30,21,12,22,18,0,61,7,21,0,29,21
2020-05-31,9,21,22,23,0,0,12,11,0,22,7
2020-06-01,19,21,18,12,33,56,9,10,16,66,9
2020-06-02,13,5,24,16,22,0,11,39,0,13,16
2020-06-03,17,10,22,21,32,27,5,19,92,19,11
2020-06-04,11,5,24,21,10,0,7,0,30,38,12
2020-06-05,18,5,13,16,32,0,3,0,62,20,22
2020-06-06,13,12,38,16,24,31,3,21,17,29,14
2020-06-07,15,15,26,14,0,94,5,22,18,30,18
2020-06-08,17,13,21,17,21,27,7,28,15,25,21
2020-06-09,20,13,15,13,10,53,8,28,15,19,22
