date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,93,48,22,66,0,0,0,41,0,0,0
2020-04-02,100,100,0,46,0,0,1,42,0,0,0
2020-04-03,89,53,47,0,0,0,2,44,0,0,0
2020-04-04,76,43,0,59,0,0,0,0,0,0,54
2020-04-05,91,57,26,78,0,0,0,0,0,0,0
2020-04-06,93,57,0,45,67,90,1,0,0,0,0
2020-04-07,68,35,0,24,0,0,0,89,0,0,0
2020-04-08,88,36,0,49,0,0,0,0,0,87,0
2020-04-09,66,47,0,0,0,0,0,48,0,91,0
2020-04-10,93,38,0,78,0,0,0,0,0,0,0
2020-04-11,67,53,0,29,0,0,1,0,0,0,0
2020-04-12,66,70,0,28,0,0,0,0,0,0,25
2020-04-13,76,35,0,0,0,0,0,0,0,0,0
2020-04-14,66,54,0,0,0,0,1,0,0,0,0
2020-04-15,42,16,0,22,0,0,1,0,0,0,0
2020-04-16,74,34,0,71,0,0,0,0,0,0,0
2020-04-17,66,9,0,0,0,0,1,0,0,0,46
2020-04-18,40,33,0,0,0,0,0,56,0,0,0
2020-04-19,38,25,23,69,0,0,0,0,0,81,21
2020-04-20,44,41,22,22,0,0,1,0,0,0,0
2020-04-21,34,51,0,0,0,0,0,0,0,0,0
2020-04-22,27,43,0,0,0,0,1,0,0,0,0
2020-04-23,48,25,0,47,0,0,0,0,0,0,0
2020-04-24,47,9,0,25,0,0,0,0,0,0,0
2020-04-25,36,40,0,27,0,0,1,50,0,0,0
2020-04-26,44,9,0,0,0,0,0,0,0,0,0
2020-04-27,33,26,0,0,0,0,1,0,0,0,0
2020-04-28,49,17,0,0,0,0,1,43,0,0,0
2020-04-29,35,8,0,22,0,0,0,0,0,0,0
2020-04-30,42,43,0,0,0,0,0,43,0,0,0
2020-05-01,25,9,0,26,0,0,1,0,0,0,23
2020-05-02,32,10,0,0,0,0,0,0,0,0,0
2020-05-03,16,26,0,48,0,0,1,0,0,0,0
2020-05-04,38,8,0,23,0,0,0,0,0,81,21
2020-05-05,29,37,0,0,0,0,0,0,0,0,0
2020-05-06,21,0,0,64,0,0,0,0,0,0,0
2020-05-07,31,18,0,25,0,0,0,0,0,0,0
2020-05-08,21,12,0,63,0,0,0,0,0,0,29
2020-05-09,41,12,0,0,0,0,0,0,0,0,0
2020-05-10,26,0,0,0,0,0,0,0,0,0,25
2020-05-11,30,16,21,0,0,0,0,0,0,0,0
2020-05-12,28,8,0,0,0,0,0,0,0,0,0
2020-05-13,25,16,0,0,0,0,0,0,28,0,0
