date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,86,100,0,71,0,0,0,0,0,0,22
2020-04-02,74,50,0,95,79,0,0,31,0,79,22
2020-04-03,100,67,0,25,0,0,28,0,0,0,23
2020-04-04,90,72,0,0,0,0,0,0,0,99,0
2020-04-05,62,62,0,29,0,0,0,0,0,97,27
2020-04-06,62,37,0,23,0,0,0,0,0,0,0
2020-04-07,52,46,0,0,0,0,0,33,0,82,0
2020-04-08,69,40,0,25,0,0,0,0,0,0,0
2020-04-09,91,54,0,51,0,0,0,34,0,0,0
2020-04-10,41,29,29,0,0,0,30,0,0,0,25
2020-04-11,69,25,0,0,0,0,0,0,0,0,0
2020-04-12,42,71,32,30,0,0,0,0,0,0,0
2020-04-13,66,28,29,0,0,0,0,0,91,0,24
2020-04-14,58,23,23,21,0,0,0,28,0,70,58
2020-04-15,51,25,0,0,0,0,0,0,0,0,22
2020-04-16,53,53,0,0,0,0,0,33,0,0,0
2020-04-17,38,63,28,0,0,0,30,0,0,0,24
2020-04-18,30,8,0,31,0,0,0,0,0,0,0
2020-04-19,29,14,0,0,0,0,0,0,93,90,25
2020-04-20,39,29,0,22,0,0,25,0,0,0,0
2020-04-21,30,6,0,24,0,0,0,0,0,0,0
2020-04-22,41,19,0,0,0,0,0,0,0,0,0
2020-04-23,40,6,0,0,0,0,27,0,0,0,0
2020-04-24,42,21,0,53,0,0,0,35,0,87,0
2020-04-25,34,51,0,32,0,0,0,0,0,0,0
2020-04-26,34,23,0,0,0,0,0,0,0,0,27
2020-04-27,28,15,62,0,0,0,32,0,0,0,0
2020-04-28,24,20,26,25,0,0,0,0,0,0,0
2020-04-29,30,25,0,0,0,0,27,0,0,0,0
2020-04-30,25,13,0,0,0,0,0,0,87,0,47
2020-05-01,34,8,0,30,0,0,0,0,0,0,27
2020-05-02,18,15,0,29,0,0,32,0,0,0,0
2020-05-03,34,8,0,30,0,0,0,0,0,0,27
2020-05-04,21,6,0,0,0,0,0,0,82,0,66
2020-05-05,30,6,23,0,0,0,0,0,0,0,20
2020-05-06,23,6,0,71,0,0,26,0,0,0,22
2020-05-07,16,7,0,0,0,0,0,0,0,0,24
2020-05-08,19,22,0,27,0,0,0,0,0,0,0
2020-05-09,23,9,0,0,0,0,0,0,0,0,0
2020-05-10,31,16,0,0,0,0,0,0,0,0,0
2020-05-11,29,29,0,22,0,0,0,0,0,0,20
2020-05-12,21,6,0,0,0,0,0,0,0,0,0
2020-05-13,17,6,0,0,0,0,0,0,0,0,0
2020-05-14,20,20,0,25,0,0,0,0,0,0,0
2020-05-15,31,6,25,0,0,0,26,0,0,0,21
2020-05-16,26,0,0,0,0,0,0,0,0,0,0
2020-05-17,10,23,0,57,0,0,0,0,97,0,0
2020-05-18,23,19,0,0,0,0,0,0,0,0,0
2020-05-19,21,0,0,0,0,0,24,0,0,0,20
2020-05-20,11,0,0,0,0,0,0,0,0,0,0
2020-05-21,19,14,0,26,0,0,29,0,0,0,0
2020-05-22,7,0,0,0,0,0,0,0,0,0,0
2020-05-23,17,0,0,0,0,0,0,0,0,0,0
2020-05-24,8,8,0,0,0,0,0,0,0,0,0
2020-05-25,23,6,0,0,0,0,0,0,0,0,22
2020-05-26,13,6,0,24,0,0,0,0,0,0,0
2020-05-27,7,13,27,25,0,0,28,0,0,0,0
2020-05-28,15,0,0,0,78,0,0,0,0,0,22
