date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,56,55,37,0,0,0,0,0,0,100,0
2020-04-02,42,0,35,80,0,0,0,0,0,0,0
2020-04-03,100,92,0,0,0,0,0,0,0,0,49
2020-04-04,54,53,0,0,0,0,0,0,0,0,0
2020-04-05,22,28,37,0,0,0,0,0,0,100,0
2020-04-06,41,25,0,0,0,0,46,0,0,0,40
2020-04-07,22,53,0,0,0,0,0,0,0,0,0
2020-04-08,23,57,38,0,0,0,0,0,0,0,0
2020-04-09,79,48,65,0,0,0,0,0,0,0,0
2020-04-10,54,54,36,0,0,0,0,0,0,0,0
2020-04-11,85,26,70,81,0,0,0,0,0,0,41
2020-04-12,20,50,34,0,0,0,0,100,0,0,0
2020-04-13,40,25,100,0,0,0,0,0,0,0,0
2020-04-14,61,25,0,0,0,0,0,0,0,0,0
2020-04-15,40,49,0,0,0,0,0,0,80,0,0
2020-04-16,41,100,34,0,0,0,0,0,0,0,0
2020-04-17,52,26,0,0,0,0,0,0,0,0,40
2020-04-18,22,0,0,0,0,0,0,0,0,0,0
2020-04-19,42,26,0,81,0,0,0,0,0,0,41
2020-04-20,23,56,37,86,0,0,0,0,0,0,44
2020-04-21,32,27,0,0,0,0,0,0,0,0,0
2020-04-22,11,0,0,0,0,0,0,0,0,0,0
2020-04-23,19,47,32,0,61,0,0,0,0,0,37
2020-04-24,90,32,0,0,0,0,0,0,0,0,100
2020-04-25,25,0,0,0,0,0,0,0,0,0,48
2020-04-26,26,0,43,0,0,0,0,0,0,0,0
2020-04-27,26,32,0,0,0,0,57,0,0,0,0
2020-04-28,36,0,0,0,0,0,0,0,0,0,0
2020-04-29,47,0,0,0,0,0,0,0,0,0,0
2020-04-30,22,27,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,50
2020-05-02,46,0,38,0,0,0,52,0,0,0,0
2020-05-03,68,56,0,0,0,0,0,0,0,0,44
2020-05-04,26,64,0,0,0,0,58,0,0,0,0
2020-05-05,33,27,0,0,0,0,49,0,0,0,0
2020-05-06,12,0,39,0,75,0,0,0,0,0,0
2020-05-07,35,29,0,0,0,0,52,0,0,0,45
2020-05-08,12,58,39,0,0,0,0,0,0,0,0
2020-05-09,65,0,71,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,0,0,44
2020-05-11,12,29,0,0,0,0,0,0,0,0,0
2020-05-12,12,29,0,89,0,0,52,0,0,0,0
2020-05-13,26,32,0,0,0,0,0,0,0,0,0
2020-05-14,35,0,39,0,0,0,0,0,0,0,0
2020-05-15,13,0,0,0,0,0,0,0,0,0,49
2020-05-16,12,0,0,0,0,0,0,0,0,0,45
2020-05-17,12,0,0,0,0,0,0,0,0,0,0
2020-05-18,52,0,43,98,0,0,0,0,0,0,50
2020-05-19,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,24,30,0,0,0,0,0,0,0,0,0
2020-05-21,26,0,0,0,0,0,0,0,0,0,0
2020-05-22,25,0,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,32,0,0,0,0,0,0,0,0,0
2020-05-25,11,0,0,0,0,0,0,0,0,0,0
2020-05-26,11,0,0,0,0,0,47,0,0,0,0
2020-05-27,11,0,0,0,0,0,0,0,0,0,0
2020-05-28,19,0,32,0,0,0,0,0,0,0,75
2020-05-29,11,0,37,0,0,0,0,0,0,0,0
