date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,99,98,88,16,51,81,47,57,23,19,31
2020-04-02,100,93,81,23,44,27,43,47,37,38,39
2020-04-03,96,86,78,9,77,0,48,21,40,0,48
2020-04-04,93,95,93,16,41,0,61,15,26,32,67
2020-04-05,100,100,89,20,25,31,80,16,27,11,100
2020-04-06,83,83,61,14,68,0,69,10,19,0,58
2020-04-07,74,74,60,16,38,28,62,21,30,30,47
2020-04-08,75,70,79,11,38,57,61,25,59,30,57
2020-04-09,74,58,84,20,45,28,100,21,24,20,30
2020-04-10,65,55,73,26,34,0,71,20,16,11,23
2020-04-11,68,59,83,29,17,32,49,24,39,0,35
2020-04-12,68,76,77,27,26,32,51,8,28,57,32
2020-04-13,69,56,96,34,35,32,54,100,6,23,27
2020-04-14,56,54,51,29,54,57,58,75,50,0,21
2020-04-15,58,54,64,30,24,0,58,29,66,21,29
2020-04-16,56,43,89,32,47,0,70,29,81,20,27
2020-04-17,57,48,76,21,0,29,61,37,46,0,34
2020-04-18,60,51,70,34,17,0,51,28,17,11,24
2020-04-19,58,59,75,26,44,65,55,24,28,34,17
2020-04-20,53,43,95,39,92,28,63,57,15,0,22
2020-04-21,42,38,69,22,45,0,68,42,34,10,16
2020-04-22,50,40,76,35,15,57,65,32,59,20,39
2020-04-23,50,50,76,65,37,27,92,41,94,0,23
2020-04-24,48,41,78,100,62,0,86,47,100,20,21
2020-04-25,47,36,68,78,8,0,78,31,33,0,23
2020-04-26,50,39,68,66,34,31,61,23,32,11,29
2020-04-27,38,36,95,61,0,0,74,30,41,10,26
2020-04-28,47,38,78,48,60,0,68,21,29,10,22
2020-04-29,45,36,93,48,61,28,86,28,39,30,16
2020-04-30,36,29,49,41,57,27,99,50,32,9,24
2020-05-01,40,32,66,68,39,29,91,4,25,30,14
2020-05-02,41,40,83,58,31,0,66,22,25,30,26
2020-05-03,43,39,66,53,58,0,53,23,21,32,23
2020-05-04,31,27,69,55,77,0,62,19,63,18,28
2020-05-05,38,35,60,42,79,73,58,27,21,17,26
2020-05-06,32,27,48,48,77,0,51,16,41,28,27
2020-05-07,35,32,52,35,86,0,54,17,41,0,49
2020-05-08,36,27,66,21,36,27,51,30,28,38,40
2020-05-09,33,28,79,28,33,0,50,11,37,11,23
2020-05-10,40,34,70,33,42,31,40,16,38,0,23
2020-05-11,33,23,64,20,65,0,48,20,46,28,16
2020-05-12,34,28,67,20,100,26,60,30,37,28,11
2020-05-13,40,37,100,25,42,26,90,13,49,18,13
2020-05-14,31,23,45,22,86,27,67,13,42,28,16
2020-05-15,33,26,61,31,58,27,43,10,37,47,17
2020-05-16,27,21,56,34,33,0,40,8,11,43,12
2020-05-17,34,29,77,17,33,0,36,27,21,0,13
2020-05-18,31,26,72,20,50,26,36,23,46,9,24
2020-05-19,29,26,61,29,14,26,51,10,23,28,21
2020-05-20,28,22,68,23,71,0,37,7,59,0,16
2020-05-21,26,16,60,19,29,0,37,17,42,19,19
2020-05-22,29,24,28,22,22,27,34,7,28,19,18
2020-05-23,28,21,44,15,41,0,39,27,32,22,11
2020-05-24,29,24,44,20,17,0,71,0,32,11,17
2020-05-25,21,22,34,18,28,0,46,10,77,55,18
2020-05-26,24,18,44,18,49,0,39,6,36,45,19
2020-05-27,19,18,36,20,64,0,30,10,51,47,12
2020-05-28,25,19,44,25,71,0,35,10,41,46,11
2020-05-29,24,24,40,18,22,54,31,17,33,10,17
2020-05-30,24,25,39,17,41,60,29,0,16,11,18
2020-05-31,26,22,43,20,16,30,28,4,47,21,13
2020-06-01,18,22,35,11,48,26,33,13,67,9,11
2020-06-02,21,16,27,18,34,0,31,9,61,44,9
2020-06-03,23,16,41,18,58,48,27,6,50,8,10
2020-06-04,21,17,46,11,52,0,27,12,59,34,16
2020-06-05,25,18,67,13,28,0,26,13,27,9,12
2020-06-06,26,22,51,21,59,0,25,0,27,22,15
2020-06-07,27,24,71,18,26,32,24,12,22,22,19
2020-06-08,24,20,62,18,26,24,27,15,21,34,13
2020-06-09,25,18,44,19,46,0,25,12,34,25,16
2020-06-10,22,22,43,12,34,75,20,6,26,27,12
2020-06-11,20,20,35,10,52,24,17,6,25,34,11
2020-06-12,19,16,42,12,29,27,16,10,23,10,14
2020-06-13,22,12,48,8,17,32,18,4,6,34,10
2020-06-14,26,22,43,10,9,0,18,0,11,22,8
2020-06-15,24,16,48,14,15,0,21,13,33,0,16
2020-06-16,26,22,49,6,22,55,26,7,14,39,15
2020-06-17,24,20,31,9,20,25,22,3,26,9,14
2020-06-18,21,15,43,13,35,52,23,13,27,18,30
2020-06-19,19,10,32,12,7,0,17,3,38,19,12
2020-06-20,21,15,53,17,0,0,19,0,27,22,19
2020-06-21,19,13,49,10,0,0,17,0,0,22,11
2020-06-22,22,13,47,11,0,26,16,10,46,37,13
2020-06-23,21,16,48,19,21,26,15,7,32,37,23
2020-06-24,20,17,32,9,49,0,14,10,32,73,27
2020-06-25,18,14,58,5,35,51,15,10,9,9,15
2020-06-26,18,15,44,8,14,0,14,13,23,9,17
2020-06-27,16,9,54,7,41,0,16,8,11,43,15
2020-06-28,20,19,63,15,16,0,15,7,36,31,14
2020-06-29,18,12,45,12,14,26,18,3,27,0,12
2020-06-30,24,16,57,10,50,52,17,7,14,18,21
2020-07-01,20,16,54,9,20,0,23,12,22,26,17
2020-07-02,18,15,44,8,27,25,18,12,22,18,19
2020-07-03,18,13,51,12,36,0,16,10,23,37,12
2020-07-04,23,21,37,7,24,30,14,0,5,11,15
2020-07-05,24,18,49,13,16,30,17,4,21,74,20
2020-07-06,26,13,59,10,55,0,15,13,27,18,9
2020-07-07,22,12,62,11,34,0,17,13,39,71,15
2020-07-08,24,16,53,12,34,25,13,13,17,35,12
2020-07-09,22,16,46,12,47,25,13,3,17,35,9
2020-07-10,22,10,75,7,14,0,11,17,37,38,11
2020-07-11,22,15,46,12,24,0,12,7,10,10,14
2020-07-12,23,18,58,9,8,0,19,4,5,22,9
2020-07-13,21,13,38,13,21,26,18,16,23,19,64
2020-07-14,21,18,42,12,50,53,13,7,23,19,61
2020-07-15,20,13,60,13,43,0,13,10,19,38,26
