date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,81,72,16,68,0,0,37,24,28,0,6
2020-04-02,73,88,0,22,81,0,37,48,0,63,13
2020-04-03,79,46,34,93,0,0,76,100,0,0,26
2020-04-04,100,64,59,54,33,0,59,58,33,51,0
2020-04-05,59,53,19,0,0,48,15,29,0,25,23
2020-04-06,86,78,16,44,27,39,60,24,27,0,12
2020-04-07,70,68,16,22,0,39,24,0,0,0,12
2020-04-08,59,70,0,22,80,0,36,47,27,42,12
2020-04-09,55,78,0,22,0,39,71,0,0,21,37
2020-04-10,60,63,0,0,0,0,25,24,0,0,6
2020-04-11,65,87,60,0,0,0,45,30,34,0,39
2020-04-12,63,92,56,26,31,0,28,0,32,24,15
2020-04-13,58,76,31,0,0,0,93,23,0,0,42
2020-04-14,68,43,16,0,0,0,48,24,0,0,6
2020-04-15,66,68,53,25,0,0,40,26,30,47,14
2020-04-16,55,33,45,21,0,0,45,0,51,19,17
2020-04-17,41,42,31,43,51,0,70,0,0,20,24
2020-04-18,66,65,0,0,0,0,0,59,33,0,54
2020-04-19,44,100,18,25,31,0,28,54,31,24,7
2020-04-20,47,48,44,41,0,0,22,22,100,77,11
2020-04-21,39,32,15,20,0,0,67,22,25,19,0
2020-04-22,41,42,15,21,51,0,12,68,0,40,6
2020-04-23,37,8,15,21,0,0,56,0,25,0,23
2020-04-24,44,45,33,23,27,0,37,24,28,43,6
2020-04-25,33,44,60,0,0,0,15,30,0,0,8
2020-04-26,46,42,19,0,0,0,43,0,0,75,22
2020-04-27,36,25,0,0,26,0,23,23,26,40,18
2020-04-28,31,34,15,0,0,0,35,23,0,20,30
2020-04-29,33,53,16,45,27,0,49,0,28,0,0
2020-04-30,42,49,0,0,0,0,27,0,31,0,21
2020-05-01,40,42,19,0,32,0,29,0,32,0,0
2020-05-02,39,33,20,0,0,0,61,0,0,53,0
2020-05-03,43,21,19,0,0,0,29,0,0,100,22
2020-05-04,48,0,17,0,0,0,100,74,0,0,13
2020-05-05,29,29,53,0,0,0,40,0,30,92,14
2020-05-06,35,16,0,21,0,0,45,0,25,39,23
2020-05-07,39,43,16,22,0,0,47,23,0,0,12
2020-05-08,37,54,16,23,0,0,25,73,28,0,13
2020-05-09,48,42,38,0,0,47,0,28,0,0,0
2020-05-10,39,62,0,0,31,0,0,0,0,0,15
2020-05-11,41,33,15,41,0,0,68,0,0,20,6
2020-05-12,35,17,30,0,0,38,57,0,0,40,18
2020-05-13,35,8,15,21,0,38,0,23,0,20,6
2020-05-14,45,49,15,0,25,0,23,22,0,0,18
2020-05-15,38,9,0,43,0,0,35,0,0,20,12
2020-05-16,36,21,20,0,33,0,0,0,0,0,23
2020-05-17,29,21,19,26,0,0,29,28,32,25,0
2020-05-18,25,24,44,0,0,0,45,22,25,0,29
2020-05-19,16,17,15,42,0,0,11,22,26,40,18
2020-05-20,30,34,16,0,78,0,0,0,53,20,6
2020-05-21,34,9,16,22,27,0,24,0,0,21,6
2020-05-22,14,27,67,23,0,0,0,0,57,0,13
2020-05-23,27,22,20,28,0,0,0,30,0,0,32
2020-05-24,27,21,38,0,32,0,43,28,32,49,0
2020-05-25,28,25,31,21,26,0,23,23,53,0,6
2020-05-26,30,0,0,0,0,0,0,0,26,0,18
2020-05-27,26,17,0,0,26,0,24,47,0,0,37
2020-05-28,23,9,32,22,0,0,12,0,0,63,19
2020-05-29,13,55,0,0,0,0,25,0,0,0,20
2020-05-30,20,22,40,0,0,0,45,0,0,0,8
2020-05-31,33,41,19,0,0,0,14,0,0,0,7
2020-06-01,26,34,0,22,26,0,47,23,80,0,37
2020-06-02,23,8,15,0,0,0,12,0,0,20,36
2020-06-03,23,25,0,0,25,38,11,23,26,40,24
2020-06-04,20,8,15,0,0,0,23,0,26,40,0
2020-06-05,24,0,16,68,54,0,0,0,28,0,32
2020-06-06,24,11,0,0,0,0,15,0,0,0,8
2020-06-07,15,20,0,26,0,0,14,0,0,0,14
2020-06-08,26,17,31,43,0,0,23,23,0,0,0
2020-06-09,22,41,15,0,25,0,45,22,25,39,12
2020-06-10,24,25,15,21,0,0,0,0,0,0,30
2020-06-11,17,9,32,22,26,0,36,0,0,21,0
2020-06-12,26,18,0,23,0,0,13,0,0,0,6
2020-06-13,24,0,0,0,0,0,28,0,0,0,15
2020-06-14,28,30,0,0,0,0,0,28,31,0,22
2020-06-15,24,9,16,22,0,39,12,0,54,21,6
2020-06-16,15,25,31,64,0,0,12,23,0,0,18
2020-06-17,21,26,0,0,0,0,12,47,27,21,25
2020-06-18,21,9,31,22,0,0,0,0,53,41,24
2020-06-19,19,0,17,0,0,0,13,0,0,22,19
2020-06-20,18,31,19,27,32,0,0,57,0,25,15
2020-06-21,26,30,0,25,0,0,0,27,0,0,7
2020-06-22,20,0,47,44,0,0,0,23,27,0,0
2020-06-23,18,17,0,0,0,0,82,46,26,20,18
2020-06-24,15,25,0,0,0,0,0,23,0,0,24
2020-06-25,22,9,0,0,0,0,0,0,53,0,12
2020-06-26,28,9,0,0,0,0,38,0,0,0,26
2020-06-27,20,22,39,55,33,49,0,29,0,0,8
2020-06-28,25,30,37,0,0,0,42,0,0,0,36
2020-06-29,27,17,63,22,0,0,12,23,27,0,31
2020-06-30,28,9,16,23,0,40,12,0,0,21,0
2020-07-01,30,0,49,46,0,0,50,24,28,0,32
2020-07-02,23,9,16,0,0,0,0,24,0,21,13
2020-07-03,30,0,68,24,0,42,0,25,0,0,13
2020-07-04,13,11,20,0,0,0,15,30,0,0,16
2020-07-05,16,10,19,26,0,0,0,0,0,0,7
2020-07-06,20,35,32,0,27,0,12,47,0,0,37
2020-07-07,21,26,16,0,0,0,24,24,27,0,6
2020-07-08,24,0,16,45,0,0,0,0,27,0,50
2020-07-09,17,0,0,22,0,0,24,47,27,0,25
2020-07-10,15,0,17,46,28,0,0,0,28,0,13
2020-07-11,21,0,20,0,0,0,0,0,0,0,15
2020-07-12,28,10,0,0,0,0,0,27,31,0,0
