date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,92,93,13,24,38,0,30,19,47,23,4
2020-04-02,100,92,21,50,0,0,25,17,0,0,26
2020-04-03,94,96,37,35,42,0,35,42,0,0,9
2020-04-04,99,100,33,80,0,0,32,74,29,57,21
2020-04-05,94,95,49,79,0,0,25,64,28,28,25
2020-04-06,85,97,35,17,40,0,25,48,49,0,26
2020-04-07,80,83,44,53,0,0,37,26,0,0,9
2020-04-08,85,82,22,27,0,36,16,66,26,51,18
2020-04-09,85,76,23,65,0,0,23,30,54,26,10
2020-04-10,79,65,8,66,0,0,25,28,55,0,29
2020-04-11,68,73,0,58,0,0,34,37,28,0,25
2020-04-12,72,75,32,29,0,40,40,58,28,28,25
2020-04-13,70,62,29,35,41,0,26,46,25,0,18
2020-04-14,67,61,42,59,0,0,24,50,24,0,22
2020-04-15,71,66,41,33,39,0,31,42,48,48,22
2020-04-16,61,71,7,75,0,0,35,35,0,24,17
2020-04-17,66,72,14,25,0,0,27,100,24,0,39
2020-04-18,75,63,24,47,45,0,39,70,27,54,10
2020-04-19,57,51,15,46,0,0,29,69,27,0,19
2020-04-20,45,46,39,32,0,32,30,42,46,0,25
2020-04-21,53,44,33,64,38,33,20,45,46,0,8
2020-04-22,52,42,41,25,0,34,32,34,0,71,21
2020-04-23,52,43,33,65,38,0,27,43,0,23,8
2020-04-24,46,42,14,51,40,0,20,38,25,0,22
2020-04-25,47,43,0,28,0,0,14,38,0,0,24
2020-04-26,58,42,24,58,46,0,27,14,0,0,15
2020-04-27,49,46,27,25,0,0,23,20,0,24,17
2020-04-28,47,40,7,25,39,0,22,22,24,0,21
2020-04-29,50,47,21,42,39,0,24,27,0,0,30
2020-04-30,48,40,7,24,0,0,21,37,68,0,4
2020-05-01,46,40,8,37,43,0,21,57,53,0,9
2020-05-02,39,38,16,39,0,0,42,34,0,55,45
2020-05-03,47,40,8,40,0,40,15,18,0,28,5
2020-05-04,38,34,13,16,38,0,13,26,23,69,17
2020-05-05,46,36,32,8,36,62,14,18,44,87,4
2020-05-06,43,35,20,24,38,0,30,14,23,0,17
2020-05-07,43,30,0,17,0,0,25,37,73,0,17
2020-05-08,47,30,0,50,0,34,17,27,72,24,22
2020-05-09,43,35,24,48,0,0,30,28,0,54,29
2020-05-10,42,30,15,27,0,0,21,19,0,26,5
2020-05-11,37,28,20,32,0,66,20,24,0,46,21
2020-05-12,35,30,7,73,77,0,24,19,0,0,34
2020-05-13,36,34,7,57,0,0,12,31,23,0,17
2020-05-14,36,25,13,16,38,0,12,21,46,23,45
2020-05-15,31,25,21,51,40,0,15,20,25,48,26
2020-05-16,41,26,24,20,46,0,18,29,0,0,5
2020-05-17,48,30,8,20,47,40,18,23,0,28,31
2020-05-18,40,25,7,76,40,0,15,23,24,0,61
2020-05-19,37,28,21,42,0,0,11,35,25,0,22
2020-05-20,29,24,21,77,0,0,21,25,74,49,9
2020-05-21,41,20,14,52,0,0,17,28,0,25,9
2020-05-22,32,32,7,35,41,0,22,13,0,50,23
2020-05-23,32,27,0,53,50,0,12,6,0,60,16
2020-05-24,31,28,0,41,0,0,15,18,0,29,10
2020-05-25,27,20,0,59,0,0,14,15,0,48,9
2020-05-26,24,15,21,35,0,0,13,10,0,25,9
2020-05-27,26,17,22,17,0,0,12,18,0,0,31
2020-05-28,25,16,21,9,0,0,13,13,100,0,0
2020-05-29,25,19,15,46,87,0,12,8,0,26,19
2020-05-30,36,23,0,11,0,0,13,3,0,31,17
2020-05-31,28,15,25,20,0,41,7,9,0,0,5
2020-06-01,18,13,7,17,0,0,25,2,24,24,4
2020-06-02,26,15,14,25,40,0,7,2,0,0,4
2020-06-03,19,17,13,32,0,0,9,19,0,0,4
2020-06-04,18,11,6,15,0,31,5,11,22,0,12
2020-06-05,19,12,21,34,0,0,11,5,0,25,9
2020-06-06,21,16,9,33,0,0,9,10,0,0,17
2020-06-07,23,11,33,29,0,0,8,3,0,0,10
2020-06-08,20,13,6,39,0,32,12,7,22,0,8
2020-06-09,18,11,13,24,0,0,3,5,47,0,12
2020-06-10,14,13,0,44,0,0,7,3,0,0,18
2020-06-11,17,8,0,52,41,0,6,8,0,0,13
2020-06-12,18,10,0,28,0,0,3,0,0,26,5
2020-06-13,19,9,18,33,0,0,9,7,0,0,34
2020-06-14,21,18,9,31,0,0,7,0,30,30,5
2020-06-15,22,13,14,43,0,0,10,3,0,0,9
2020-06-16,22,11,0,8,0,0,8,2,24,0,0
2020-06-17,19,8,15,27,42,0,7,8,0,0,14
2020-06-18,17,13,7,0,0,37,12,16,0,0,9
2020-06-19,20,9,16,19,0,0,8,6,28,0,15
2020-06-20,21,8,0,58,0,0,4,3,0,0,6
2020-06-21,23,15,18,33,0,0,4,6,0,31,6
2020-06-22,18,16,8,19,0,0,9,14,0,0,14
2020-06-23,20,16,0,10,0,0,6,9,55,0,20
2020-06-24,29,12,16,19,46,0,10,9,0,0,20
