date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,82,100,54,24,80,0,57,0,0,0,16
2020-04-02,99,68,91,12,0,0,77,39,0,0,16
2020-04-03,90,57,18,25,0,0,59,0,0,0,24
2020-04-04,100,81,37,13,56,35,59,20,0,0,25
2020-04-05,89,60,35,60,0,0,56,38,0,47,16
2020-04-06,67,39,18,24,81,0,38,19,45,0,0
2020-04-07,74,57,91,12,0,0,78,0,45,49,32
2020-04-08,82,81,0,0,0,0,40,0,0,0,16
2020-04-09,80,47,57,13,0,0,40,20,0,0,34
2020-04-10,98,91,0,12,0,0,39,0,46,0,33
2020-04-11,87,46,19,38,0,0,60,40,0,0,8
2020-04-12,79,88,94,13,0,0,40,20,47,0,8
2020-04-13,72,65,57,26,0,0,40,0,0,0,8
2020-04-14,79,85,20,13,29,75,21,21,0,0,17
2020-04-15,70,17,19,38,0,0,40,0,0,0,8
2020-04-16,53,83,19,13,0,36,61,0,47,0,0
2020-04-17,60,58,56,51,0,35,20,20,0,0,16
2020-04-18,59,53,56,64,0,0,0,40,0,0,0
2020-04-19,44,76,56,51,0,0,40,0,0,0,25
2020-04-20,51,63,37,25,0,35,59,20,0,50,8
2020-04-21,58,46,37,13,0,71,59,40,0,0,58
2020-04-22,66,58,75,38,28,0,0,20,46,0,33
2020-04-23,64,64,56,25,0,35,60,40,0,0,17
2020-04-24,74,46,56,63,28,36,40,0,0,0,8
2020-04-25,69,30,19,92,0,0,21,0,0,0,43
2020-04-26,79,31,39,27,0,37,84,42,0,0,9
2020-04-27,66,41,100,11,100,0,35,18,41,0,7
2020-04-28,55,34,92,25,0,35,78,0,0,0,8
2020-04-29,71,50,36,24,27,0,19,38,0,0,16
2020-04-30,45,39,35,12,27,34,38,19,44,0,16
2020-05-01,53,40,74,13,0,35,59,0,46,0,25
2020-05-02,53,51,55,25,0,0,20,39,46,0,24
2020-05-03,48,12,94,25,28,0,0,40,0,0,41
2020-05-04,41,29,74,13,0,35,79,59,46,0,0
2020-05-05,52,54,17,47,26,66,37,0,87,0,15
2020-05-06,45,29,19,38,56,0,40,20,0,0,33
2020-05-07,28,19,40,27,30,0,21,0,100,0,18
2020-05-08,38,6,57,26,29,0,20,20,0,0,17
2020-05-09,31,23,38,51,28,0,0,20,0,0,8
2020-05-10,37,42,19,13,87,0,0,0,0,52,17
2020-05-11,37,23,94,38,56,72,20,80,0,0,17
2020-05-12,38,35,37,25,56,35,59,20,0,50,16
2020-05-13,36,35,19,50,56,71,59,0,0,0,0
2020-05-14,35,17,18,100,28,35,20,20,46,0,16
2020-05-15,29,35,38,25,28,0,100,100,0,0,17
2020-05-16,36,18,0,13,57,73,61,0,0,0,8
2020-05-17,37,36,0,40,0,0,21,0,0,0,17
2020-05-18,27,23,56,38,56,36,20,80,47,0,8
2020-05-19,33,17,0,37,55,0,20,20,0,0,8
2020-05-20,30,34,0,87,28,0,20,20,0,0,16
2020-05-21,15,23,19,51,84,0,0,0,0,0,0
2020-05-22,22,36,39,26,29,0,0,0,0,0,9
2020-05-23,26,49,20,54,0,0,21,21,0,0,18
2020-05-24,26,24,0,39,0,0,21,21,0,0,9
2020-05-25,31,24,19,65,0,0,20,0,47,0,0
2020-05-26,32,29,19,63,56,0,40,0,0,100,8
2020-05-27,26,23,37,37,0,70,19,19,0,0,8
2020-05-28,17,11,37,0,83,0,0,59,0,0,8
2020-05-29,24,35,0,25,28,35,0,0,0,0,8
