date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,99,100,0,19,41,0,31,32,85,28,21
2020-04-02,100,95,41,39,0,0,46,21,42,28,21
2020-04-03,90,97,0,20,0,0,54,77,45,0,26
2020-04-04,85,51,32,57,48,0,24,100,0,100,15
2020-04-05,82,67,0,34,0,46,18,62,0,33,20
2020-04-06,79,60,29,31,43,0,44,11,0,30,22
2020-04-07,78,89,14,10,0,0,33,34,45,90,13
2020-04-08,75,64,0,31,0,42,22,46,0,0,27
2020-04-09,62,66,0,33,0,0,40,24,0,0,28
2020-04-10,62,58,100,71,0,0,32,39,52,34,15
2020-04-11,73,45,33,24,100,0,13,39,0,69,5
2020-04-12,61,39,0,11,94,45,12,0,0,0,5
2020-04-13,65,65,15,32,0,0,34,0,0,31,18
2020-04-14,67,57,0,29,82,39,62,21,43,28,21
2020-04-15,79,48,0,20,41,0,47,53,0,0,25
2020-04-16,75,47,28,60,0,0,48,11,0,29,9
2020-04-17,66,38,43,72,0,0,27,34,0,30,9
2020-04-18,62,30,0,70,49,0,6,13,51,67,5
2020-04-19,60,38,16,35,49,0,31,13,51,0,25
2020-04-20,62,41,55,10,41,0,16,0,43,0,17
2020-04-21,55,31,14,10,43,0,11,11,45,59,13
2020-04-22,49,19,15,42,87,0,6,0,0,30,18
2020-04-23,53,35,42,40,42,40,48,11,0,29,13
2020-04-24,53,31,0,40,42,0,16,11,44,0,9
2020-04-25,46,26,32,23,47,0,18,0,0,33,29
2020-04-26,45,32,47,34,0,45,18,0,0,0,0
2020-04-27,48,40,0,10,0,0,25,21,42,0,12
2020-04-28,43,29,13,10,80,0,25,21,0,28,28
2020-04-29,49,32,0,59,0,39,31,11,43,0,17
2020-04-30,46,25,28,29,0,0,31,11,0,57,25
2020-05-01,44,18,15,11,0,43,34,23,47,0,0
2020-05-02,43,13,0,11,46,44,18,0,48,0,5
2020-05-03,45,29,0,46,0,0,24,12,100,0,5
2020-05-04,44,29,13,47,39,0,30,10,0,27,4
2020-05-05,46,30,13,9,39,0,29,10,0,0,12
2020-05-06,40,16,28,0,0,0,21,0,0,0,8
2020-05-07,41,19,0,61,0,0,21,11,0,29,17
2020-05-08,36,15,0,21,0,0,39,11,0,0,22
2020-05-09,37,25,0,0,0,48,19,0,53,35,21
2020-05-10,35,3,15,0,0,0,17,12,47,0,14
2020-05-11,38,20,27,29,80,0,20,10,42,0,8
2020-05-12,35,14,0,29,81,39,31,0,0,28,29
2020-05-13,39,23,14,20,0,79,16,11,86,29,13
2020-05-14,36,12,28,10,0,0,16,22,44,0,17
2020-05-15,35,14,14,10,0,0,21,0,0,29,21
2020-05-16,35,15,31,0,0,0,17,12,0,0,19
2020-05-17,35,18,15,33,0,44,18,12,0,0,5
2020-05-18,33,14,0,29,0,0,10,21,85,0,21
2020-05-19,31,12,42,20,42,0,11,0,43,0,13
2020-05-20,29,19,29,21,0,0,22,11,0,30,13
2020-05-21,31,15,0,25,0,0,40,27,0,0,11
2020-05-22,29,14,0,46,0,0,25,0,0,0,25
2020-05-23,26,13,0,22,0,44,6,0,0,0,24
2020-05-24,34,8,0,44,46,44,17,0,0,0,9
2020-05-25,32,16,14,20,0,0,10,0,0,29,0
2020-05-26,32,19,0,41,43,0,16,0,0,30,13
2020-05-27,35,9,14,39,0,0,16,0,0,0,8
2020-05-28,33,17,0,30,0,0,5,11,44,0,4
2020-05-29,29,8,0,32,0,0,0,0,0,0,9
2020-05-30,29,6,0,63,0,50,13,14,0,0,5
2020-05-31,26,14,35,25,0,0,13,0,0,0,16
2020-06-01,29,12,0,10,0,0,11,11,46,60,9
2020-06-02,27,10,0,31,0,0,0,0,46,0,18
2020-06-03,30,12,43,10,0,0,0,11,0,0,9
2020-06-04,33,2,14,20,0,0,21,11,0,0,38
2020-06-05,31,19,0,20,0,0,21,22,0,29,13
2020-06-06,25,13,0,32,45,87,17,12,0,0,23
2020-06-07,31,11,33,35,0,0,12,0,0,0,5
