date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,48,92,23,18,25,0,13,47,42,81,9
2020-04-02,43,73,12,0,100,0,22,94,0,33,5
2020-04-03,41,68,24,38,0,0,18,48,65,67,14
2020-04-04,42,87,29,12,31,0,25,30,0,83,6
2020-04-05,49,100,14,34,0,0,37,58,52,41,40
2020-04-06,45,55,58,18,25,0,27,70,63,49,27
2020-04-07,36,61,24,0,0,0,15,0,43,33,9
2020-04-08,37,66,24,28,0,0,43,72,0,17,19
2020-04-09,34,51,12,0,27,0,35,25,22,70,15
2020-04-10,35,47,14,22,31,0,13,29,0,81,11
2020-04-11,30,62,0,24,0,0,25,31,28,0,6
2020-04-12,33,55,15,23,32,0,27,30,54,0,12
2020-04-13,35,64,14,43,0,0,32,0,0,39,16
2020-04-14,32,60,11,36,0,0,31,23,21,0,18
2020-04-15,34,45,12,38,26,70,43,24,0,67,5
2020-04-16,46,69,36,28,0,0,46,95,43,100,19
2020-04-17,37,56,25,29,0,0,28,99,0,0,15
2020-04-18,33,57,29,23,31,0,22,0,0,20,0
2020-04-19,30,35,0,11,59,0,21,55,0,0,11
2020-04-20,30,36,0,26,0,0,26,0,40,31,13
2020-04-21,27,33,45,9,72,0,17,45,0,32,9
2020-04-22,31,39,0,0,25,0,30,0,0,0,14
2020-04-23,27,30,0,0,25,0,26,24,0,17,9
2020-04-24,29,34,12,10,0,0,17,25,22,34,15
2020-04-25,29,28,0,45,0,0,16,0,26,0,6
2020-04-26,27,37,0,42,0,0,34,27,24,37,16
2020-04-27,25,44,11,9,24,0,24,45,20,0,18
2020-04-28,26,27,11,8,0,0,18,0,19,15,17
2020-04-29,35,37,22,26,0,0,17,22,60,15,9
2020-04-30,28,29,32,0,0,0,27,0,58,15,8
2020-05-01,25,32,36,0,0,0,20,0,22,84,24
2020-05-02,28,31,13,0,0,0,18,26,0,0,10
2020-05-03,25,39,0,22,0,0,16,0,0,0,16
2020-05-04,24,27,11,0,24,0,22,68,41,63,22
2020-05-05,24,36,10,8,0,0,24,0,37,29,8
2020-05-06,25,34,11,36,0,0,10,46,20,16,9
2020-05-07,27,22,12,38,0,0,14,24,22,51,24
2020-05-08,27,9,0,10,0,0,19,25,67,52,20
2020-05-09,24,26,15,0,0,0,10,0,0,21,6
2020-05-10,28,20,43,11,0,0,11,0,0,0,17
2020-05-11,25,19,0,9,0,0,21,0,40,0,0
2020-05-12,22,27,0,0,0,0,14,45,61,16,9
2020-05-13,24,23,11,26,24,0,11,0,100,31,18
2020-05-14,22,24,23,27,0,68,6,0,63,0,14
2020-05-15,25,17,12,19,0,0,14,0,22,0,9
2020-05-16,24,20,29,23,0,0,15,29,52,40,17
2020-05-17,23,29,29,0,0,0,15,0,27,21,0
2020-05-18,22,17,12,28,0,0,9,24,43,0,9
2020-05-19,20,14,24,0,26,0,8,0,0,34,5
2020-05-20,23,21,25,29,27,0,17,0,45,0,5
2020-05-21,23,17,30,12,0,0,11,30,0,0,30
2020-05-22,19,15,0,21,0,0,3,0,73,19,5
2020-05-23,18,15,40,11,0,0,12,27,0,0,0
2020-05-24,22,26,14,34,0,0,15,0,0,40,17
2020-05-25,19,11,12,0,25,0,7,0,21,16,9
2020-05-26,19,13,0,0,0,69,14,0,21,17,9
2020-05-27,26,8,47,19,25,0,9,0,21,0,9
2020-05-28,19,5,0,0,0,0,11,0,0,17,14
2020-05-29,21,7,0,10,0,0,14,0,23,53,5
