date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,69,100,0,42,52,0,23,22,0,100,0
2020-04-02,63,38,20,42,0,0,46,17,64,51,12
2020-04-03,64,91,0,0,0,0,47,57,33,26,37
2020-04-04,66,80,21,44,55,0,12,64,33,0,12
2020-04-05,45,80,0,0,0,0,61,35,100,0,62
2020-04-06,78,36,19,80,100,0,44,100,0,0,23
2020-04-07,100,50,60,62,0,0,68,98,94,0,12
2020-04-08,45,37,20,61,0,0,67,91,31,24,57
2020-04-09,70,24,58,100,50,86,11,58,60,24,11
2020-04-10,64,73,39,20,0,0,100,32,31,49,0
2020-04-11,40,51,0,0,0,0,23,17,0,0,0
2020-04-12,33,27,0,44,0,0,0,17,67,27,25
2020-04-13,50,62,20,0,0,0,34,38,0,25,12
2020-04-14,37,36,58,20,0,0,33,21,61,0,23
2020-04-15,55,47,38,59,49,0,43,16,30,0,0
2020-04-16,36,71,0,20,0,0,75,41,0,47,33
2020-04-17,59,36,97,40,0,0,88,5,0,48,11
2020-04-18,40,64,41,43,0,0,24,40,65,0,0
2020-04-19,40,0,0,22,0,0,12,17,33,0,12
2020-04-20,33,47,57,20,49,0,54,10,30,47,22
2020-04-21,22,24,19,20,0,0,33,26,30,0,22
2020-04-22,33,60,38,40,0,0,33,10,60,24,22
2020-04-23,36,58,94,19,0,0,85,15,0,23,55
2020-04-24,34,37,20,20,0,0,22,21,61,0,0
2020-04-25,28,26,41,43,0,0,35,0,0,26,24
2020-04-26,36,26,62,0,53,0,0,22,0,0,24
2020-04-27,34,61,39,0,0,87,33,16,0,0,0
2020-04-28,30,24,0,0,0,0,22,16,0,0,11
2020-04-29,45,12,20,20,0,0,0,11,61,0,11
2020-04-30,31,33,18,0,0,0,20,5,28,22,42
2020-05-01,20,26,21,0,0,0,0,6,0,26,24
2020-05-02,16,13,0,22,0,0,0,6,0,0,12
2020-05-03,16,13,43,0,0,0,0,29,0,0,12
2020-05-04,25,23,38,20,0,0,75,15,59,0,44
2020-05-05,24,23,0,19,0,0,52,5,0,0,21
2020-05-06,29,47,19,40,0,0,0,0,60,0,22
2020-05-07,23,62,100,41,52,0,45,11,0,0,12
2020-05-08,23,37,20,41,0,88,56,5,0,0,46
2020-05-09,33,27,22,0,0,0,0,6,0,0,25
2020-05-10,21,27,0,0,0,95,24,0,0,0,25
2020-05-11,26,0,19,40,0,0,55,5,0,0,0
2020-05-12,34,24,39,41,0,0,11,16,31,0,23
2020-05-13,11,24,39,0,0,0,22,16,0,24,0
2020-05-14,26,24,20,0,0,0,22,5,0,0,34
2020-05-15,30,12,0,0,51,0,11,11,0,0,0
2020-05-16,20,39,0,22,0,0,12,6,0,0,12
2020-05-17,8,0,0,0,54,93,48,0,0,0,0
2020-05-18,30,36,0,20,0,0,22,5,31,0,34
2020-05-19,18,12,39,0,0,85,55,0,0,0,11
2020-05-20,26,12,39,0,0,0,22,5,0,49,34
2020-05-21,26,12,0,20,0,0,22,5,31,24,11
2020-05-22,30,12,59,20,0,0,22,0,30,0,11
2020-05-23,12,26,21,43,0,0,0,6,0,26,0
2020-05-24,8,13,0,22,0,0,24,0,33,0,25
2020-05-25,22,12,38,0,0,0,22,10,30,0,11
