date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,70,66,33,0,0,0,96,0,0,0,19
2020-04-02,65,42,0,0,0,0,38,0,0,0,19
2020-04-03,59,34,0,0,0,0,20,0,0,0,39
2020-04-04,59,35,0,0,0,0,0,51,0,0,0
2020-04-05,64,57,36,0,0,0,0,0,0,0,41
2020-04-06,69,19,0,0,0,0,58,0,0,0,38
2020-04-07,52,52,0,0,0,0,42,0,0,0,0
2020-04-08,35,47,33,0,0,0,19,0,0,0,0
2020-04-09,65,38,33,33,0,0,0,0,0,0,57
2020-04-10,69,26,36,0,93,0,21,0,0,0,0
2020-04-11,69,51,0,0,0,0,21,52,0,0,21
2020-04-12,65,31,36,36,0,0,21,0,0,0,0
2020-04-13,64,21,0,0,0,0,0,0,0,0,21
2020-04-14,75,86,67,33,0,93,20,0,0,0,0
2020-04-15,83,66,0,0,0,0,19,48,0,0,56
2020-04-16,100,51,32,0,0,89,19,0,0,0,18
2020-04-17,89,62,100,33,86,0,39,0,0,93,38
2020-04-18,86,86,0,0,91,97,0,0,0,0,0
2020-04-19,76,59,0,37,0,0,44,55,0,0,21
2020-04-20,93,39,0,34,89,0,100,100,49,0,0
2020-04-21,87,29,34,100,87,0,0,99,48,0,19
2020-04-22,91,100,35,0,0,0,20,0,0,0,100
2020-04-23,72,63,0,0,88,0,20,50,0,0,19
2020-04-24,71,46,36,0,0,0,21,0,51,0,62
2020-04-25,55,32,38,74,0,0,0,0,0,0,43
2020-04-26,80,56,0,38,100,0,0,0,0,0,22
2020-04-27,62,36,72,0,92,0,0,0,51,0,0
2020-04-28,62,47,0,36,0,100,63,53,0,0,42
2020-04-29,70,46,0,0,0,0,0,0,51,100,0
2020-04-30,64,26,0,36,93,0,0,0,51,0,0
2020-05-01,54,27,0,0,0,0,0,0,54,0,44
2020-05-02,56,31,0,36,0,0,0,0,52,0,42
2020-05-03,50,56,0,39,0,0,0,0,0,0,0
2020-05-04,53,51,0,35,0,0,41,0,0,0,0
2020-05-05,34,23,33,32,0,0,19,95,0,0,0
2020-05-06,30,25,0,0,0,0,0,0,0,0,40
2020-05-07,36,25,0,0,0,0,0,0,100,0,0
2020-05-08,48,30,35,0,0,0,0,0,0,0,0
2020-05-09,48,26,0,0,0,0,21,0,0,0,0
2020-05-10,25,22,0,0,0,0,22,55,0,0,43
2020-05-11,48,10,34,0,0,0,20,50,0,0,0
2020-05-12,39,10,0,0,0,0,0,0,50,0,40
2020-05-13,24,25,35,0,0,0,41,51,100,0,20
2020-05-14,34,20,35,0,0,0,21,0,0,0,41
2020-05-15,25,10,35,0,0,0,0,0,49,0,0
2020-05-16,29,26,0,35,0,0,0,0,51,0,0
2020-05-17,26,5,38,0,0,0,0,55,0,0,22
2020-05-18,17,26,0,35,0,0,21,0,0,0,0
