date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,69,9,86,99,61,33,94,49,71,35
2020-04-02,97,100,53,77,100,0,73,70,100,100,43
2020-04-03,82,61,72,49,51,62,60,67,51,63,15
2020-04-04,63,46,20,100,10,0,23,100,40,61,33
2020-04-05,66,81,41,67,10,0,46,86,40,60,33
2020-04-06,98,55,88,11,28,0,37,87,43,95,24
2020-04-07,67,57,100,40,17,0,68,64,63,44,44
2020-04-08,74,53,31,77,22,27,58,58,37,76,25
2020-04-09,65,35,31,51,15,0,52,33,34,63,25
2020-04-10,59,36,40,35,15,0,42,37,35,43,20
2020-04-11,57,53,26,37,24,30,38,44,37,65,28
2020-04-12,37,36,54,10,9,31,41,38,12,29,15
2020-04-13,51,32,48,70,0,0,36,22,49,43,19
2020-04-14,35,9,49,63,16,0,31,27,22,40,60
2020-04-15,44,27,24,18,15,0,42,11,21,35,59
2020-04-16,45,45,32,60,7,0,18,22,10,68,26
2020-04-17,49,33,33,45,8,29,37,27,29,49,40
2020-04-18,40,16,9,71,26,0,42,17,8,65,23
2020-04-19,47,11,59,32,9,0,29,23,17,58,32
2020-04-20,49,19,49,45,0,29,49,12,11,40,33
2020-04-21,23,28,33,27,8,0,55,19,43,53,20
2020-04-22,40,9,50,9,0,0,100,20,29,45,54
2020-04-23,46,14,8,53,15,28,48,8,21,39,39
2020-04-24,35,14,17,46,16,0,38,20,7,41,41
2020-04-25,51,11,10,21,0,34,36,5,21,31,24
2020-04-26,45,23,30,54,9,0,37,9,4,27,49
2020-04-27,31,19,43,28,0,0,57,24,15,14,49
2020-04-28,48,5,42,27,8,0,69,8,11,9,48
2020-04-29,51,33,25,27,16,0,56,19,11,22,34
2020-04-30,29,26,8,25,0,26,62,18,7,33,18
2020-05-01,30,20,18,19,17,0,20,12,16,29,43
2020-05-02,20,26,0,10,0,0,35,4,16,35,15
2020-05-03,17,17,40,11,0,0,22,5,9,32,0
2020-05-04,29,25,18,29,0,0,53,8,19,33,21
2020-05-05,30,0,0,17,15,27,29,15,7,38,25
2020-05-06,27,15,0,19,8,0,45,12,4,37,35
2020-05-07,34,18,8,17,0,0,18,0,34,25,32
2020-05-08,20,5,33,18,8,29,12,23,11,27,40
2020-05-09,33,5,19,31,9,0,35,4,8,20,30
2020-05-10,21,6,19,21,0,0,36,5,0,16,47
2020-05-11,29,10,35,38,0,0,33,8,19,38,29
2020-05-12,28,14,34,18,0,0,31,4,22,41,34
2020-05-13,20,0,25,9,0,0,25,4,29,0,27
2020-05-14,16,19,25,63,16,0,55,8,22,44,40
2020-05-15,34,5,17,18,0,29,12,15,22,22,27
2020-05-16,23,4,16,9,0,0,6,7,0,26,26
2020-05-17,19,0,0,30,9,0,47,17,16,34,22
2020-05-18,31,0,8,41,7,0,40,11,7,33,43
2020-05-19,24,18,16,25,22,27,35,4,10,29,51
2020-05-20,23,9,0,18,0,0,54,4,7,35,33
2020-05-21,10,0,8,18,0,57,37,4,14,22,20
2020-05-22,16,10,17,38,16,0,32,16,7,37,14
2020-05-23,23,22,29,42,9,0,14,0,4,16,47
2020-05-24,19,23,10,54,0,0,22,0,13,27,49
2020-05-25,18,24,0,9,0,0,31,20,15,36,48
2020-05-26,25,14,16,18,8,0,37,4,11,44,13
2020-05-27,12,5,25,18,0,29,12,12,4,36,34
2020-05-28,26,9,17,9,0,0,31,0,4,32,27
2020-05-29,20,10,9,0,0,0,32,20,4,46,14
2020-05-30,23,11,19,32,0,0,7,9,0,16,39
2020-05-31,21,11,20,22,0,34,15,9,4,37,24
2020-06-01,12,8,15,16,7,26,33,10,6,16,18
2020-06-02,18,19,8,9,0,0,25,4,0,14,21
2020-06-03,4,10,9,20,0,0,34,0,0,44,22
2020-06-04,12,14,0,28,0,29,19,8,7,18,7
2020-06-05,22,15,0,37,8,30,19,8,11,32,28
2020-06-06,21,16,29,31,0,100,22,4,4,26,0
2020-06-07,28,11,10,11,0,0,29,0,0,11,16
2020-06-08,18,14,8,27,31,29,6,12,11,27,67
2020-06-09,9,13,16,35,7,28,6,0,3,13,13
2020-06-10,16,9,25,18,0,0,6,4,4,23,61
2020-06-11,19,5,0,28,8,0,6,16,11,9,21
2020-06-12,17,15,27,20,8,31,13,0,8,14,7
2020-06-13,26,6,0,11,0,0,7,9,0,16,16
2020-06-14,26,11,20,21,0,0,29,5,0,16,8
2020-06-15,20,10,8,18,8,0,13,12,7,27,21
2020-06-16,10,17,15,16,0,51,16,0,10,12,30
2020-06-17,22,5,17,27,8,0,6,8,7,36,33
2020-06-18,12,5,9,28,8,0,19,8,15,19,14
2020-06-19,17,10,26,29,8,30,0,4,11,23,42
2020-06-20,12,22,19,21,0,0,0,0,8,26,31
2020-06-21,7,11,29,21,0,0,7,0,13,21,39
2020-06-22,16,10,9,19,8,0,6,12,11,9,21
2020-06-23,20,15,17,47,8,0,13,8,0,14,35
2020-06-24,15,10,0,29,0,0,7,8,0,9,7
2020-06-25,15,15,9,10,0,31,13,0,8,29,29
2020-06-26,23,15,9,10,0,62,7,4,4,19,36
2020-06-27,14,6,20,21,0,34,7,14,13,26,8
2020-06-28,10,0,40,0,0,0,0,5,4,33,16
2020-06-29,13,10,18,19,8,31,26,8,8,14,50
2020-06-30,11,10,36,19,0,0,13,8,0,29,43
2020-07-01,15,9,15,25,0,0,0,4,7,42,37
2020-07-02,23,5,34,9,16,0,0,4,4,9,28
2020-07-03,4,10,0,10,26,0,7,13,4,10,7
2020-07-04,9,5,19,31,0,0,0,4,4,5,23
2020-07-05,0,6,10,0,19,0,7,5,4,5,24
2020-07-06,5,11,10,0,0,0,7,9,9,16,32
