date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,55,69,10,33,41,0,0,37,100,52,0
2020-04-02,74,75,19,16,80,0,0,0,0,50,50
2020-04-03,45,44,59,17,42,0,0,75,0,0,35
2020-04-04,100,100,71,26,87,0,63,39,0,0,18
2020-04-05,60,38,74,45,45,0,43,100,54,0,19
2020-04-06,52,44,49,100,0,0,100,0,50,0,35
2020-04-07,49,26,59,84,0,0,20,94,0,0,52
2020-04-08,49,63,20,34,0,0,41,19,0,0,0
2020-04-09,34,27,50,51,0,0,41,57,0,0,0
2020-04-10,19,27,40,17,0,0,0,0,52,0,0
2020-04-11,36,19,32,9,0,0,22,20,54,0,19
2020-04-12,24,48,64,27,0,0,87,0,55,0,19
2020-04-13,20,19,31,0,0,0,21,20,54,0,18
2020-04-14,15,17,19,41,0,0,0,0,0,0,17
2020-04-15,19,9,20,26,0,0,0,0,0,0,18
2020-04-16,22,9,30,25,0,0,0,19,0,53,35
2020-04-17,22,35,10,50,0,0,20,0,0,0,17
2020-04-18,20,9,21,0,45,0,0,20,0,56,37
2020-04-19,20,19,64,27,0,0,65,0,0,0,56
2020-04-20,27,0,30,0,0,0,0,19,0,0,54
2020-04-21,27,9,20,0,0,0,21,19,52,0,36
2020-04-22,15,17,19,8,0,0,20,18,0,52,34
2020-04-23,11,0,30,34,0,0,0,19,0,53,18
2020-04-24,29,52,19,8,41,0,20,0,0,0,17
2020-04-25,20,19,32,0,0,0,22,0,0,0,0
2020-04-26,25,40,34,10,48,0,46,0,0,0,0
2020-04-27,33,26,49,8,0,0,0,0,50,0,52
2020-04-28,11,0,40,26,0,0,0,19,0,0,35
2020-04-29,7,17,47,16,0,0,77,0,0,0,50
2020-04-30,14,25,29,24,0,0,19,18,49,0,67
2020-05-01,8,46,10,35,0,0,0,0,53,0,0
2020-05-02,21,20,11,47,0,0,45,0,0,0,39
2020-05-03,13,10,11,0,0,0,23,0,0,0,0
2020-05-04,11,27,20,17,42,0,61,0,0,0,18
2020-05-05,0,8,28,0,0,0,19,18,0,50,0
2020-05-06,22,18,0,8,0,0,41,38,0,0,18
2020-05-07,22,17,10,8,41,0,0,0,0,0,34
2020-05-08,7,9,30,0,0,0,20,0,0,52,0
2020-05-09,8,10,11,0,0,0,68,21,0,0,39
2020-05-10,25,30,11,9,0,0,0,0,0,0,0
2020-05-11,11,0,10,17,0,0,0,0,0,53,0
2020-05-12,11,9,30,17,0,0,21,0,0,0,0
2020-05-13,15,9,10,17,43,0,21,0,0,54,36
2020-05-14,15,9,0,25,0,0,0,0,0,52,0
2020-05-15,23,18,21,9,0,0,42,20,0,0,18
2020-05-16,4,10,59,20,100,0,72,0,0,0,62
2020-05-17,0,10,23,19,49,0,0,0,0,0,0
2020-05-18,7,0,39,25,0,0,0,0,0,0,34
2020-05-19,4,0,0,49,41,0,20,0,0,51,17
2020-05-20,29,9,20,17,0,0,0,19,0,52,0
2020-05-21,4,0,10,8,0,0,0,0,0,0,18
2020-05-22,7,0,10,0,0,0,20,0,0,0,0
