date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,86,100,0,47,80,0,0,0,0,0,0
2020-04-02,100,39,0,0,0,0,0,0,0,0,0
2020-04-03,94,47,0,0,0,0,0,77,0,0,0
2020-04-04,91,54,0,0,0,0,0,0,82,0,0
2020-04-05,67,76,0,0,0,0,0,0,0,0,0
2020-04-06,86,59,0,46,0,0,0,0,0,0,39
2020-04-07,83,83,0,0,0,0,94,0,0,0,0
2020-04-08,69,81,0,0,0,0,0,0,0,0,0
2020-04-09,66,52,0,0,0,0,0,0,0,0,0
2020-04-10,96,42,0,0,0,0,48,0,0,0,0
2020-04-11,61,21,0,100,0,0,48,0,0,0,42
2020-04-12,53,45,0,52,0,0,0,0,0,0,0
2020-04-13,72,83,0,0,0,0,0,85,0,0,0
2020-04-14,46,53,0,0,0,0,0,87,0,0,0
2020-04-15,52,96,30,0,0,0,0,0,0,0,0
2020-04-16,52,31,0,49,0,0,0,0,0,0,0
2020-04-17,51,66,0,51,0,0,0,0,0,0,0
2020-04-18,55,33,0,0,0,0,100,0,0,0,0
2020-04-19,53,58,0,0,0,0,0,0,0,0,0
2020-04-20,35,10,0,48,0,0,0,0,0,0,0
2020-04-21,41,11,30,0,0,0,0,0,0,0,0
2020-04-22,37,33,0,0,0,0,0,0,0,0,0
2020-04-23,40,67,0,0,0,0,0,92,0,0,44
2020-04-24,33,65,0,0,0,0,0,0,0,0,0
2020-04-25,44,13,37,0,0,0,0,0,0,0,0
2020-04-26,47,66,0,0,0,0,0,0,0,0,52
2020-04-27,26,12,0,0,0,0,0,0,0,0,0
2020-04-28,20,24,0,0,0,0,0,0,0,0,0
2020-04-29,37,37,34,0,0,0,0,100,0,0,0
2020-04-30,34,24,67,55,0,0,0,0,0,0,0
2020-05-01,26,25,0,0,0,0,57,0,0,0,0
2020-05-02,28,37,0,57,0,0,0,0,0,0,0
2020-05-03,43,0,0,0,0,0,0,0,0,0,50
2020-05-04,33,12,0,0,0,0,52,0,0,0,0
2020-05-05,34,0,0,0,0,0,99,0,0,0,0
2020-05-06,25,0,0,0,0,0,0,0,0,0,46
2020-05-07,34,35,0,0,0,0,0,0,0,0,0
2020-05-08,15,23,0,0,0,0,0,0,0,0,0
2020-05-09,32,37,0,58,0,0,0,0,0,0,0
2020-05-10,36,50,0,0,0,0,56,0,0,0,0
2020-05-11,15,0,0,0,0,0,0,0,0,0,0
2020-05-12,31,11,0,0,0,0,52,0,0,0,0
2020-05-13,26,0,32,0,0,0,0,0,0,0,0
2020-05-14,25,22,0,0,0,0,0,0,0,0,44
2020-05-15,35,11,0,0,0,0,0,0,0,0,0
2020-05-16,19,0,0,0,0,0,0,0,0,0,0
2020-05-17,27,24,0,0,0,0,0,0,0,0,48
2020-05-18,18,11,31,0,0,0,0,0,0,0,0
2020-05-19,24,11,0,0,0,0,0,0,0,0,0
2020-05-20,26,11,32,54,0,0,52,0,0,0,45
2020-05-21,23,24,0,0,0,0,0,0,0,0,0
2020-05-22,20,12,0,0,0,0,0,0,0,0,49
2020-05-23,24,13,0,0,0,0,0,0,0,0,0
2020-05-24,19,12,33,0,0,0,0,0,0,0,0
2020-05-25,17,24,0,56,0,0,0,0,0,0,47
2020-05-26,19,21,0,0,0,0,0,0,82,0,0
2020-05-27,28,21,0,0,0,0,48,0,0,0,0
2020-05-28,16,0,0,0,0,0,0,0,0,0,0
2020-05-29,11,11,0,0,0,0,0,0,0,0,0
2020-05-30,20,23,0,0,0,0,51,0,0,0,0
2020-05-31,11,36,0,0,0,0,0,0,0,0,0
2020-06-01,25,21,0,0,0,0,0,0,0,0,0
2020-06-02,14,11,0,0,0,0,0,0,0,0,0
2020-06-03,7,10,0,0,0,0,0,0,0,0,0
2020-06-04,9,0,0,0,0,0,0,0,0,0,0
2020-06-05,16,22,32,0,0,0,0,0,0,0,0
2020-06-06,8,0,0,0,0,0,0,0,0,0,0
2020-06-07,23,0,0,0,0,0,0,0,0,0,0
2020-06-08,11,0,0,0,0,0,0,0,0,0,0
2020-06-09,16,0,0,0,0,0,50,0,84,0,0
2020-06-10,5,0,0,0,0,0,51,0,0,0,0
2020-06-11,9,0,0,0,0,0,0,0,0,0,0
2020-06-12,14,0,0,56,0,0,0,0,0,0,0
2020-06-13,10,0,0,0,0,0,0,0,0,0,0
2020-06-14,18,13,0,0,0,0,0,0,0,0,0
2020-06-15,11,0,0,53,0,0,0,0,0,0,0
2020-06-16,15,12,0,0,0,0,0,0,0,0,0
2020-06-17,13,12,0,0,0,0,0,0,0,0,0
2020-06-18,10,0,0,0,0,0,0,0,0,0,0
2020-06-19,9,12,0,0,0,0,0,0,0,0,0
