date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,12,39,30,0,6,56,31,30,13
2020-04-02,79,52,70,51,60,0,30,58,31,60,31
2020-04-03,80,64,36,39,31,0,19,83,0,0,6
2020-04-04,84,61,27,29,34,0,14,100,35,0,35
2020-04-05,73,70,65,0,0,0,27,75,0,33,27
2020-04-06,59,52,11,61,0,0,18,70,59,29,0
2020-04-07,66,52,23,51,0,0,6,47,0,0,25
2020-04-08,61,48,61,0,31,0,19,39,0,31,19
2020-04-09,54,35,12,13,63,0,0,25,64,63,20
2020-04-10,59,51,12,54,0,96,32,26,0,0,13
2020-04-11,59,41,14,30,0,53,65,11,36,0,0
2020-04-12,51,30,27,0,0,0,21,14,0,35,29
2020-04-13,44,40,13,28,32,0,53,16,0,33,34
2020-04-14,49,45,12,54,63,0,13,18,0,32,39
2020-04-15,44,33,36,39,31,0,6,16,0,0,13
2020-04-16,43,32,49,14,32,0,32,15,97,32,7
2020-04-17,41,44,13,70,0,0,27,9,0,0,0
2020-04-18,43,33,14,30,0,0,22,4,0,0,22
2020-04-19,44,39,42,31,36,0,15,6,0,0,37
2020-04-20,39,29,0,27,0,0,57,16,64,0,19
2020-04-21,35,24,0,0,62,0,13,10,64,0,19
2020-04-22,31,26,0,41,0,0,32,9,65,0,20
2020-04-23,29,25,37,13,0,0,6,6,96,0,19
2020-04-24,28,33,12,14,0,0,19,3,0,0,33
2020-04-25,30,36,27,30,0,0,21,6,36,0,22
2020-04-26,32,38,14,30,35,0,14,4,36,0,29
2020-04-27,27,40,12,40,0,0,6,5,0,0,7
2020-04-28,28,18,12,27,0,0,39,9,0,0,20
2020-04-29,26,27,25,27,0,0,32,6,32,0,13
2020-04-30,24,29,24,77,60,45,18,8,0,0,19
2020-05-01,24,14,0,28,0,0,20,7,0,0,41
2020-05-02,25,16,51,28,0,0,13,8,0,0,20
2020-05-03,28,20,13,14,0,0,13,5,33,0,20
2020-05-04,28,15,11,25,29,0,12,11,30,29,18
2020-05-05,25,15,33,24,0,0,11,12,0,28,29
2020-05-06,22,18,23,38,0,0,18,11,0,30,18
2020-05-07,20,15,12,13,0,0,18,14,61,60,12
2020-05-08,20,14,24,53,0,0,13,12,0,0,19
2020-05-09,20,23,0,29,0,0,14,11,0,33,21
2020-05-10,20,8,14,46,0,0,7,5,0,36,7
2020-05-11,25,16,0,13,31,0,13,10,0,0,13
2020-05-12,23,21,25,14,32,49,33,13,66,32,20
2020-05-13,20,13,26,14,0,0,40,14,0,0,14
2020-05-14,21,19,0,41,0,48,19,11,0,32,7
2020-05-15,20,12,26,28,0,0,27,7,0,100,21
2020-05-16,24,6,27,15,0,0,7,4,72,35,14
2020-05-17,20,10,14,15,35,0,29,4,36,0,0
2020-05-18,18,8,0,27,0,0,32,5,0,32,33
2020-05-19,19,9,13,28,0,0,20,6,0,0,0
2020-05-20,20,12,13,28,0,0,54,7,0,0,20
2020-05-21,16,13,13,42,0,0,13,5,100,0,20
2020-05-22,17,10,27,44,0,0,7,2,0,34,14
2020-05-23,18,9,0,46,36,0,29,5,0,0,7
2020-05-24,21,18,0,0,0,0,24,2,0,0,0
