date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,16,25,0,0,7,0,0,0,61
2020-04-02,95,85,24,24,0,0,6,0,0,0,58
2020-04-03,71,90,30,0,0,0,0,0,0,0,68
2020-04-04,64,70,18,24,0,0,13,0,0,49,50
2020-04-05,62,64,27,24,0,0,19,0,0,0,49
2020-04-06,67,63,21,24,0,0,7,0,0,0,59
2020-04-07,66,64,36,0,0,0,6,0,0,0,68
2020-04-08,72,69,33,0,0,0,19,0,0,0,59
2020-04-09,53,49,22,0,0,0,7,0,97,0,21
2020-04-10,57,37,30,0,0,0,21,0,0,0,21
2020-04-11,54,61,13,0,0,0,20,0,0,100,41
2020-04-12,74,58,30,26,0,0,21,0,0,0,32
2020-04-13,67,56,30,27,0,0,65,52,0,0,33
2020-04-14,50,50,31,27,0,0,66,53,0,0,45
2020-04-15,48,48,23,26,0,0,63,0,0,0,75
2020-04-16,47,51,21,0,100,0,37,0,0,0,67
2020-04-17,49,38,27,53,0,0,43,0,0,0,22
2020-04-18,48,50,41,0,0,0,73,53,0,0,44
2020-04-19,55,65,3,0,0,0,7,0,0,0,22
2020-04-20,46,58,30,0,0,0,29,0,0,54,22
2020-04-21,42,31,50,0,0,0,21,0,0,0,11
2020-04-22,58,40,33,0,0,0,21,51,0,0,53
2020-04-23,45,61,24,24,0,0,20,0,0,0,40
2020-04-24,37,34,28,25,0,0,20,0,0,0,50
2020-04-25,40,48,25,0,0,0,7,0,0,0,61
2020-04-26,45,30,30,0,0,0,49,0,0,0,21
2020-04-27,42,32,55,0,0,0,48,0,0,0,53
2020-04-28,35,30,40,0,0,0,78,0,100,0,22
2020-04-29,37,32,26,51,0,0,34,0,97,51,21
2020-04-30,43,33,38,0,0,0,47,0,0,0,51
2020-05-01,35,28,22,100,0,0,47,0,0,0,10
2020-05-02,51,32,18,0,0,0,51,0,0,0,19
2020-05-03,41,24,30,0,0,0,39,0,0,48,49
