date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,48,60,100,0,30,23,12,49,14
2020-04-02,92,77,57,53,55,0,31,89,24,16,24
2020-04-03,99,94,72,49,54,0,47,55,28,0,30
2020-04-04,87,89,65,100,30,0,100,91,53,56,22
2020-04-05,85,86,72,76,18,0,87,100,48,49,35
2020-04-06,81,67,71,48,36,18,65,69,24,33,24
2020-04-07,85,80,54,26,18,18,45,64,60,16,21
2020-04-08,72,55,57,38,27,18,36,71,60,16,14
2020-04-09,79,66,70,42,27,0,48,41,12,49,26
2020-04-10,78,68,46,40,11,0,39,41,28,0,33
2020-04-11,88,80,44,30,31,0,79,53,27,0,18
2020-04-12,69,59,68,42,36,36,41,41,24,33,23
2020-04-13,77,58,69,42,28,0,43,36,49,17,23
2020-04-14,72,45,68,15,37,36,82,42,36,16,14
2020-04-15,64,47,45,26,27,0,63,29,47,33,32
2020-04-16,53,56,48,8,0,0,73,18,36,66,19
2020-04-17,67,47,53,62,21,0,80,28,42,19,7
2020-04-18,69,51,61,42,31,61,80,60,41,37,21
2020-04-19,70,60,79,31,38,19,57,18,38,0,13
2020-04-20,58,40,35,15,18,18,40,18,48,50,14
2020-04-21,49,40,40,27,28,18,40,24,62,0,23
2020-04-22,49,35,57,24,9,0,59,37,50,0,25
2020-04-23,48,40,30,29,18,0,58,17,35,32,22
2020-04-24,59,34,56,51,22,22,100,36,44,0,33
2020-04-25,51,34,63,37,11,22,37,57,15,59,27
2020-04-26,48,45,48,33,20,40,51,32,40,0,37
2020-04-27,46,34,47,30,20,20,51,46,14,18,30
2020-04-28,40,38,34,38,31,0,32,20,54,54,21
2020-04-29,46,29,33,49,49,0,32,31,64,0,26
2020-04-30,38,30,40,43,19,0,27,12,74,0,18
2020-05-01,49,37,67,43,12,23,63,30,61,62,22
2020-05-02,49,40,31,31,43,0,43,42,43,57,25
2020-05-03,40,31,38,49,0,39,39,38,39,37,15
2020-05-04,39,27,62,49,30,0,27,39,39,18,23
2020-05-05,36,36,37,23,37,18,27,0,36,0,36
2020-05-06,41,34,50,39,10,0,20,25,25,34,82
2020-05-07,37,25,53,29,30,0,30,58,26,0,36
2020-05-08,41,28,51,51,11,0,37,29,59,41,28
2020-05-09,38,31,36,45,0,0,31,56,14,19,44
2020-05-10,35,25,52,37,30,20,28,6,13,0,22
2020-05-11,46,33,63,32,0,19,29,76,26,69,30
2020-05-12,38,23,60,40,39,0,44,19,90,0,27
2020-05-13,34,21,41,28,19,0,34,31,38,0,25
2020-05-14,35,19,46,60,19,0,26,31,64,34,29
2020-05-15,34,26,51,46,0,22,38,22,15,40,38
2020-05-16,42,40,39,41,22,0,28,28,43,0,26
2020-05-17,31,25,33,37,49,19,48,38,0,35,32
2020-05-18,41,28,42,57,10,19,40,13,39,35,43
2020-05-19,36,33,54,28,10,39,65,44,13,35,46
2020-05-20,36,21,40,16,19,19,29,44,13,52,26
2020-05-21,28,19,35,53,39,19,39,25,65,18,27
2020-05-22,29,13,59,46,0,22,32,22,0,20,35
