date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,99,28,8,100,97,9,53,58,69,10
2020-04-02,96,100,28,18,95,76,9,100,86,50,10
2020-04-03,91,93,30,13,89,92,9,91,74,65,12
2020-04-04,92,87,28,12,66,100,11,91,37,67,9
2020-04-05,95,89,32,10,57,84,12,67,52,76,8
2020-04-06,97,93,23,9,54,92,10,66,43,57,8
2020-04-07,82,76,27,9,63,84,10,59,40,48,11
2020-04-08,80,76,27,8,57,93,11,42,54,53,11
2020-04-09,75,66,25,8,56,76,12,34,42,51,10
2020-04-10,66,55,19,8,50,75,11,33,53,52,10
2020-04-11,65,56,21,6,39,43,12,33,70,75,16
2020-04-12,65,60,22,5,23,47,14,10,61,40,12
2020-04-13,62,57,24,11,49,59,20,84,67,39,20
2020-04-14,53,47,16,11,52,60,16,39,62,37,15
2020-04-15,53,47,16,8,47,78,13,37,52,48,11
2020-04-16,52,44,16,11,56,73,18,50,54,50,14
2020-04-17,48,43,18,14,60,100,12,91,73,45,14
2020-04-18,50,45,15,12,47,73,11,58,78,42,14
2020-04-19,48,45,13,9,45,73,13,44,69,46,12
2020-04-20,43,44,17,10,45,60,11,47,87,53,9
2020-04-21,46,38,15,13,48,81,11,41,100,41,19
2020-04-22,44,36,15,15,39,43,12,39,71,65,19
2020-04-23,44,39,12,18,42,44,13,37,39,100,18
2020-04-24,45,37,14,9,35,66,12,32,32,62,12
2020-04-25,43,34,14,9,33,72,15,23,24,68,10
2020-04-26,43,37,15,10,30,87,14,27,18,58,13
2020-04-27,40,37,13,10,39,58,13,23,33,48,10
2020-04-28,38,36,12,17,38,47,11,38,58,45,11
2020-04-29,40,38,14,15,45,59,12,35,41,39,12
2020-04-30,36,29,12,17,34,48,14,32,49,46,11
2020-05-01,34,27,13,16,50,57,13,38,39,43,9
2020-05-02,35,32,13,14,34,57,14,26,27,42,10
2020-05-03,34,33,14,14,31,39,16,29,28,57,10
2020-05-04,35,32,16,16,41,38,15,38,36,49,10
2020-05-05,36,29,14,14,50,56,14,28,33,49,10
2020-05-06,34,23,13,11,50,54,16,28,29,65,10
2020-05-07,32,26,13,11,42,49,19,22,48,58,12
2020-05-08,30,26,10,9,24,49,14,16,29,73,9
2020-05-09,31,25,10,9,18,86,13,20,18,65,10
2020-05-10,35,29,12,13,43,33,24,45,27,78,11
2020-05-11,37,31,15,33,45,34,18,65,41,81,11
2020-05-12,34,30,15,31,51,67,11,40,39,62,11
2020-05-13,31,24,14,25,39,57,9,39,28,78,11
2020-05-14,31,26,15,19,52,67,8,32,32,67,11
2020-05-15,29,24,15,15,43,58,8,18,31,67,10
2020-05-16,29,24,16,14,30,74,10,15,15,56,7
2020-05-17,30,24,14,13,42,75,10,18,13,48,17
2020-05-18,28,24,15,11,51,19,9,17,27,70,19
2020-05-19,28,24,12,10,50,64,8,17,26,76,12
2020-05-20,29,24,20,8,44,74,8,11,28,73,11
2020-05-21,29,23,14,10,56,62,10,9,33,75,10
2020-05-22,26,22,12,11,46,67,8,12,32,57,12
2020-05-23,23,17,13,11,35,44,9,18,15,52,10
2020-05-24,25,19,16,9,24,51,12,10,10,59,9
2020-05-25,28,21,15,8,27,63,12,14,16,74,8
2020-05-26,24,18,16,9,37,40,11,20,21,70,9
2020-05-27,24,18,16,7,37,54,10,12,18,61,7
2020-05-28,26,18,14,8,37,78,13,15,24,100,7
2020-05-29,24,18,15,6,32,42,10,10,20,62,8
2020-05-30,20,17,15,8,31,75,8,18,11,72,8
2020-05-31,26,18,16,7,25,60,9,13,11,73,8
2020-06-01,24,20,18,6,37,29,8,18,23,78,7
2020-06-02,22,18,15,6,36,45,6,16,18,58,7
2020-06-03,20,17,12,7,31,46,5,15,25,52,9
2020-06-04,20,16,15,23,41,51,5,32,29,59,9
2020-06-05,22,17,18,30,33,92,5,37,28,61,9
2020-06-06,19,19,14,33,27,44,6,31,20,51,8
2020-06-07,21,14,14,21,31,56,6,21,16,50,8
2020-06-08,19,15,11,16,41,42,6,19,22,46,7
2020-06-09,19,14,12,15,25,65,6,16,26,60,9
2020-06-10,18,14,12,15,34,47,7,23,24,62,8
2020-06-11,19,13,14,13,34,37,6,14,24,84,6
2020-06-12,16,13,12,14,27,41,5,16,20,50,8
2020-06-13,17,11,11,13,20,48,6,9,13,54,8
2020-06-14,19,13,18,17,24,65,5,14,12,58,10
2020-06-15,17,12,19,18,32,47,5,13,19,61,9
2020-06-16,18,14,17,14,45,40,5,11,18,51,10
2020-06-17,18,13,17,13,23,41,5,15,22,51,8
2020-06-18,19,14,14,13,41,50,7,12,13,47,9
2020-06-19,17,14,14,10,19,51,6,11,17,47,8
2020-06-20,18,10,17,11,30,29,4,10,11,53,7
2020-06-21,18,15,13,9,11,43,4,4,14,50,7
2020-06-22,16,13,18,11,38,46,5,16,18,70,8
2020-06-23,19,14,18,10,34,30,9,18,23,82,8
2020-06-24,17,12,17,10,53,34,6,8,19,59,9
2020-06-25,17,13,21,7,49,48,5,13,20,63,7
2020-06-26,16,10,21,9,36,46,4,8,15,53,7
2020-06-27,16,10,23,11,27,40,4,17,12,38,7
2020-06-28,16,13,23,9,20,67,7,7,9,38,9
2020-06-29,17,14,32,9,33,54,10,7,17,52,8
2020-06-30,19,14,32,10,41,49,11,12,23,48,9
2020-07-01,17,12,31,10,33,36,10,14,21,33,10
2020-07-02,19,11,28,18,33,48,6,18,19,49,11
2020-07-03,17,12,23,14,32,35,5,12,16,58,9
2020-07-04,17,11,19,13,32,50,6,6,14,50,7
2020-07-05,16,9,22,13,26,57,6,19,13,55,8
2020-07-06,15,10,20,13,31,49,5,16,21,54,8
2020-07-07,16,10,20,14,31,50,5,10,15,41,10
2020-07-08,13,11,20,14,24,33,4,27,17,42,10
2020-07-09,14,9,20,15,28,68,4,10,18,42,8
2020-07-10,12,10,20,22,33,57,4,16,18,37,10
2020-07-11,15,9,21,26,31,63,3,15,9,24,8
2020-07-12,15,9,26,23,24,39,4,19,13,45,8
2020-07-13,15,10,26,39,23,64,3,25,17,41,10
2020-07-14,15,10,24,100,38,78,4,56,30,30,10
2020-07-15,14,9,24,55,30,65,3,35,20,39,15
2020-07-16,12,8,18,36,26,63,6,20,23,31,19
