date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,96,27,91,63,93,61,97,99,22
2020-04-02,95,95,90,36,87,76,89,70,100,89,24
2020-04-03,96,85,92,67,88,85,76,100,94,85,27
2020-04-04,95,86,95,100,100,67,64,94,68,71,28
2020-04-05,95,87,100,68,87,65,47,66,65,62,22
2020-04-06,83,80,87,52,72,69,48,56,72,71,23
2020-04-07,75,70,84,44,73,80,44,48,68,72,23
2020-04-08,70,65,81,38,67,68,42,40,75,71,21
2020-04-09,64,57,74,35,62,57,34,37,55,81,20
2020-04-10,60,54,70,33,63,59,36,32,59,71,23
2020-04-11,59,53,70,34,58,52,41,31,41,67,21
2020-04-12,55,50,65,25,43,63,34,24,35,64,20
2020-04-13,52,48,66,23,46,47,43,26,52,66,19
2020-04-14,49,43,60,25,53,60,38,25,57,66,21
2020-04-15,46,42,56,28,54,56,35,26,48,100,23
2020-04-16,46,43,59,36,54,42,45,29,59,78,22
2020-04-17,45,39,62,34,53,46,42,26,60,61,21
2020-04-18,42,39,58,38,51,55,36,29,35,40,18
2020-04-19,42,36,59,34,47,49,40,24,43,52,19
2020-04-20,37,33,55,26,46,48,43,21,54,58,18
2020-04-21,38,33,58,26,42,58,38,21,61,46,21
2020-04-22,38,34,53,26,51,51,36,21,55,46,22
2020-04-23,37,32,50,27,49,74,39,22,51,49,24
2020-04-24,35,29,43,26,44,56,35,22,42,40,20
2020-04-25,36,29,45,30,45,58,32,21,45,40,19
2020-04-26,33,29,51,25,41,71,33,15,32,46,20
2020-04-27,32,28,50,22,39,38,42,16,42,52,21
2020-04-28,31,26,48,24,40,36,39,18,49,44,22
2020-04-29,29,26,45,25,45,51,35,18,42,53,27
2020-04-30,28,24,42,25,42,34,36,16,43,55,23
2020-05-01,28,23,42,26,37,32,47,15,46,48,22
2020-05-02,29,24,44,25,40,70,38,14,29,44,18
2020-05-03,28,23,46,23,34,45,34,13,31,42,20
2020-05-04,28,23,46,20,36,62,34,14,38,49,20
2020-05-05,25,21,37,22,39,48,27,14,44,46,21
2020-05-06,25,21,45,20,38,64,29,14,56,38,28
2020-05-07,26,22,42,19,37,36,29,14,53,38,27
2020-05-08,24,20,39,20,35,36,26,14,46,36,21
2020-05-09,23,20,42,23,31,66,26,13,30,39,19
2020-05-10,24,19,42,18,32,72,25,12,23,36,16
2020-05-11,24,21,45,19,34,59,29,12,37,37,21
2020-05-12,24,19,43,20,35,59,32,14,46,37,22
2020-05-13,22,18,43,19,35,43,41,13,43,36,22
2020-05-14,22,17,42,21,38,60,29,15,40,31,24
2020-05-15,22,17,40,21,34,54,49,13,41,32,25
2020-05-16,22,17,39,21,30,56,40,13,26,32,21
2020-05-17,22,18,46,19,28,47,32,12,23,33,20
2020-05-18,21,16,43,17,29,43,29,12,36,40,38
2020-05-19,20,16,40,17,30,38,31,13,39,38,31
2020-05-20,19,16,40,18,31,50,25,11,32,30,21
2020-05-21,20,15,38,17,33,49,25,13,41,38,23
2020-05-22,19,13,37,17,35,30,20,11,36,34,20
2020-05-23,19,14,36,17,27,76,22,9,19,30,18
2020-05-24,18,14,37,17,23,50,15,10,17,30,16
2020-05-25,19,14,42,16,19,42,20,8,14,31,17
2020-05-26,18,12,44,15,26,60,22,9,29,54,21
2020-05-27,17,12,39,16,25,53,17,11,26,37,18
2020-05-28,16,11,36,17,25,30,16,10,36,30,16
2020-05-29,14,9,31,16,22,50,17,10,29,26,16
2020-05-30,15,9,34,14,18,53,32,9,20,25,13
2020-05-31,14,9,31,13,14,56,32,8,20,21,10
2020-06-01,14,9,31,11,18,44,35,7,25,23,13
2020-06-02,13,9,34,12,18,51,22,7,32,23,14
2020-06-03,13,8,35,11,18,27,14,7,24,22,16
2020-06-04,14,9,37,11,17,44,13,6,24,22,14
2020-06-05,14,8,38,11,17,45,13,6,22,24,15
2020-06-06,14,9,34,12,12,55,12,6,15,23,14
2020-06-07,14,9,38,12,17,57,12,6,12,21,13
2020-06-08,13,9,39,10,13,35,14,6,20,21,15
2020-06-09,14,10,39,11,18,49,12,8,20,17,15
2020-06-10,13,10,37,11,14,62,10,7,25,18,16
2020-06-11,14,10,43,11,17,44,11,7,20,21,14
2020-06-12,15,10,48,12,15,41,11,7,21,21,17
2020-06-13,14,10,45,13,13,50,11,6,15,18,16
2020-06-14,14,9,42,13,14,81,10,8,11,17,16
2020-06-15,14,10,47,12,17,62,12,7,21,19,17
2020-06-16,14,10,45,12,16,44,11,8,22,19,22
2020-06-17,14,10,50,13,17,62,11,8,23,17,20
2020-06-18,15,10,45,15,15,40,10,8,25,18,17
2020-06-19,16,10,55,18,18,57,11,8,19,15,17
2020-06-20,16,10,55,18,16,61,8,8,13,19,16
2020-06-21,15,10,49,14,14,48,8,6,10,11,14
2020-06-22,15,11,60,14,34,63,9,8,24,19,18
2020-06-23,16,9,58,15,64,55,10,9,27,13,21
2020-06-24,17,11,71,20,33,51,11,10,25,15,23
2020-06-25,17,12,77,22,26,62,13,10,24,15,22
2020-06-26,21,14,86,24,20,48,16,12,24,17,21
2020-06-27,20,13,78,23,20,73,13,12,13,15,20
2020-06-28,19,11,77,21,24,68,16,10,16,16,18
2020-06-29,18,13,74,19,20,44,18,10,23,21,24
2020-06-30,17,11,72,21,21,44,19,11,22,18,22
2020-07-01,18,11,76,22,18,40,18,11,26,21,26
2020-07-02,18,11,76,22,17,47,16,12,28,19,23
2020-07-03,18,11,69,23,18,69,9,10,19,12,19
2020-07-04,17,10,64,18,15,65,10,9,10,16,17
2020-07-05,16,9,66,16,16,50,11,8,12,12,18
