date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,100,36,0,0,0,22,0,0,0
2020-04-02,87,85,0,37,0,0,0,22,0,0,0
2020-04-03,68,61,0,0,0,0,0,49,0,0,0
2020-04-04,47,61,0,0,0,0,0,26,0,0,0
2020-04-05,79,85,0,49,0,0,0,0,0,0,0
2020-04-06,44,78,0,0,0,0,0,25,0,0,0
2020-04-07,57,59,0,0,0,0,0,51,0,0,0
2020-04-08,38,59,0,0,0,0,0,0,0,0,0
2020-04-09,61,76,0,0,0,0,0,25,0,0,39
2020-04-10,55,47,61,44,0,0,0,27,85,0,0
2020-04-11,38,32,0,0,0,0,0,55,0,0,0
2020-04-12,48,57,0,0,0,0,0,60,0,0,0
2020-04-13,49,59,55,0,45,0,0,24,0,0,0
2020-04-14,39,34,0,0,0,0,0,23,0,0,35
2020-04-15,47,55,0,0,0,0,0,22,0,0,0
2020-04-16,44,50,0,0,0,0,0,22,0,0,0
2020-04-17,36,28,0,0,0,0,0,23,0,0,0
2020-04-18,21,23,0,0,0,0,45,0,0,0,0
2020-04-19,41,34,0,45,0,0,100,0,0,0,0
2020-04-20,41,47,50,0,0,0,0,22,0,0,34
2020-04-21,38,47,0,36,0,0,0,0,70,0,34
2020-04-22,34,34,0,0,0,0,0,0,0,0,0
2020-04-23,37,54,0,0,0,0,0,22,0,0,0
2020-04-24,29,29,0,0,0,0,40,22,0,0,0
2020-04-25,22,29,57,0,0,0,0,0,0,0,0
2020-04-26,42,37,0,46,0,0,0,0,0,0,0
2020-04-27,27,50,0,36,0,0,0,0,0,71,0
2020-04-28,29,27,0,0,0,0,0,44,0,0,0
2020-04-29,27,21,0,0,0,0,0,0,0,0,0
2020-04-30,28,31,0,0,0,0,0,22,0,0,0
2020-05-01,17,18,0,39,0,0,0,0,0,0,0
2020-05-02,28,17,0,43,0,0,0,53,0,85,0
2020-05-03,20,26,65,0,0,0,0,0,0,0,0
2020-05-04,30,31,0,0,0,0,0,0,0,0,0
2020-05-05,12,20,0,0,0,0,0,20,0,0,0
2020-05-06,20,14,0,0,0,0,0,0,0,0,0
2020-05-07,33,25,0,0,0,0,0,22,0,0,0
2020-05-08,22,15,0,0,0,0,0,0,0,0,0
2020-05-09,22,17,0,0,0,0,0,0,0,0,0
2020-05-10,15,18,0,0,0,0,0,0,0,0,0
2020-05-11,20,19,0,0,0,0,0,24,0,0,0
2020-05-12,19,11,0,0,0,0,0,0,0,0,0
2020-05-13,26,13,0,0,0,0,0,23,0,0,0
2020-05-14,37,16,0,0,0,0,87,0,0,0,0
2020-05-15,30,22,0,0,0,0,0,24,0,0,0
2020-05-16,19,20,0,0,0,0,0,0,0,0,0
2020-05-17,21,7,0,0,0,0,0,30,0,0,0
