date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,64,46,18,81,67,32,59,63,0,47,17
2020-04-02,60,49,57,32,23,0,100,57,26,100,27
2020-04-03,50,38,36,10,0,0,24,73,0,24,25
2020-04-04,61,32,100,22,0,0,0,100,28,0,9
2020-04-05,59,39,62,46,51,0,0,52,0,41,24
2020-04-06,50,37,36,60,67,0,0,45,75,24,8
2020-04-07,50,32,0,41,0,32,24,37,25,0,8
2020-04-08,54,31,36,20,22,0,24,36,25,36,13
2020-04-09,51,27,55,30,45,0,60,18,76,24,8
2020-04-10,55,44,19,10,23,33,49,37,0,24,13
2020-04-11,54,69,0,54,24,0,38,29,0,26,27
2020-04-12,59,79,0,35,51,36,14,31,0,27,24
2020-04-13,55,66,18,41,23,64,72,28,0,48,17
2020-04-14,53,95,19,21,23,33,61,38,26,61,22
2020-04-15,47,100,54,70,22,63,71,54,100,47,17
2020-04-16,42,91,35,10,0,31,12,18,0,12,33
2020-04-17,39,82,55,51,23,0,36,28,0,12,21
2020-04-18,39,84,0,54,0,0,25,19,0,0,27
2020-04-19,44,100,0,37,0,38,58,22,0,29,20
2020-04-20,39,83,19,41,0,0,73,19,26,24,22
2020-04-21,33,66,36,30,0,32,35,18,0,35,21
2020-04-22,35,52,18,41,0,32,84,28,51,36,8
2020-04-23,29,48,18,30,0,62,58,27,49,12,20
2020-04-24,28,54,36,20,0,0,48,36,76,24,42
2020-04-25,25,45,39,66,0,0,26,10,0,13,23
2020-04-26,25,44,21,0,26,0,28,21,0,0,15
2020-04-27,20,45,39,43,24,34,25,10,0,25,31
2020-04-28,22,43,19,0,23,0,37,10,0,0,35
2020-04-29,18,41,0,30,0,0,12,9,0,0,25
2020-04-30,17,33,20,43,24,0,0,10,0,13,9
2020-05-01,19,38,0,0,53,38,28,11,0,0,0
2020-05-02,22,38,0,35,0,0,0,10,29,0,24
2020-05-03,20,50,0,24,26,0,42,32,0,0,20
2020-05-04,21,40,18,82,23,32,24,9,25,12,21
2020-05-05,20,29,0,10,0,31,35,9,0,0,29
2020-05-06,15,29,18,59,44,0,12,18,25,23,21
2020-05-07,18,28,18,30,22,32,12,27,0,12,13
2020-05-08,18,35,19,52,0,0,0,9,0,0,17
2020-05-09,18,27,0,22,24,35,13,10,0,13,18
2020-05-10,16,26,0,34,0,0,0,20,56,0,0
2020-05-11,13,24,19,21,23,33,37,19,0,0,22
2020-05-12,13,27,0,30,0,32,12,9,0,0,13
2020-05-13,12,20,0,20,0,31,12,9,25,23,12
2020-05-14,12,26,0,20,0,0,0,18,25,12,25
2020-05-15,13,27,18,10,45,0,48,0,25,12,4
2020-05-16,14,26,0,20,0,0,24,9,25,0,21
2020-05-17,10,21,0,51,23,0,24,9,26,0,9
2020-05-18,10,23,0,28,0,29,43,0,68,11,31
2020-05-19,11,21,17,28,20,0,32,8,23,0,15
2020-05-20,11,26,0,9,21,0,11,26,24,0,16
2020-05-21,11,22,0,47,42,30,11,8,0,0,12
2020-05-22,10,16,19,21,0,33,0,28,52,0,4
2020-05-23,10,21,0,44,0,0,0,10,0,0,14
2020-05-24,9,26,0,44,0,0,13,0,27,0,27
2020-05-25,8,17,17,29,21,0,23,17,24,11,28
2020-05-26,9,23,0,46,20,29,22,8,0,0,23
2020-05-27,9,23,17,48,21,0,0,17,0,11,48
2020-05-28,8,10,35,19,0,0,0,9,0,0,12
2020-05-29,7,19,18,10,22,0,12,9,24,12,25
2020-05-30,10,13,40,11,24,35,13,0,28,26,9
2020-05-31,7,19,0,11,25,35,0,0,0,0,9
2020-06-01,8,11,18,20,0,0,12,0,25,0,17
2020-06-02,7,12,18,40,0,0,0,27,25,0,17
2020-06-03,8,15,0,10,21,0,0,9,0,22,4
2020-06-04,8,16,17,29,0,0,23,0,24,0,20
2020-06-05,7,12,0,30,0,0,12,18,0,12,4
2020-06-06,5,9,20,0,0,0,0,0,27,0,5
2020-06-07,7,13,40,0,0,0,13,0,27,0,5
2020-06-08,5,11,0,19,0,0,11,9,24,0,20
2020-06-09,7,7,0,46,0,0,22,0,0,11,12
2020-06-10,4,10,17,19,0,0,11,17,0,0,16
2020-06-11,6,9,18,30,22,0,24,0,0,12,13
2020-06-12,6,12,19,62,23,0,0,19,26,0,21
2020-06-13,5,11,57,32,0,0,0,0,0,0,9
2020-06-14,5,5,0,0,0,32,12,9,0,12,17
2020-06-15,5,9,0,0,43,0,11,9,0,0,24
2020-06-16,4,8,17,65,0,59,11,0,23,0,16
2020-06-17,5,7,0,19,21,0,0,8,23,0,23
2020-06-18,5,10,0,39,21,0,0,9,72,0,48
2020-06-19,5,10,17,67,0,30,11,9,0,0,8
2020-06-20,4,10,0,21,0,0,0,0,0,25,26
2020-06-21,4,7,0,20,22,32,0,27,25,0,17
2020-06-22,5,8,17,29,21,30,0,17,0,11,28
2020-06-23,4,12,17,28,21,0,0,0,0,0,31
2020-06-24,4,8,54,40,22,0,23,9,25,0,17
2020-06-25,3,6,37,20,22,0,0,9,0,0,17
2020-06-26,6,8,0,19,0,0,0,18,24,0,16
2020-06-27,5,7,0,52,0,33,0,0,0,0,13
2020-06-28,4,6,19,21,23,0,12,19,0,12,18
2020-06-29,5,7,0,19,0,30,23,9,0,0,24
2020-06-30,3,7,35,10,0,60,23,9,0,11,24
2020-07-01,5,7,0,20,22,0,12,0,0,0,17
2020-07-02,6,6,36,30,0,31,0,18,25,12,17
2020-07-03,5,4,0,42,0,0,0,19,52,12,17
2020-07-04,5,6,56,31,0,0,24,0,0,37,13
2020-07-05,4,5,39,0,73,0,0,0,0,0,5
2020-07-06,4,4,0,20,0,31,0,9,0,0,29
2020-07-07,4,6,0,39,64,30,23,9,0,0,20
2020-07-08,3,5,0,19,0,0,34,9,24,11,24
2020-07-09,4,7,0,40,22,32,12,9,50,0,25
2020-07-10,3,7,36,20,22,0,0,0,0,0,12
2020-07-11,4,7,0,21,23,100,12,0,0,0,13
2020-07-12,4,7,0,0,0,69,0,30,0,0,9
2020-07-13,4,3,18,10,22,32,36,0,25,12,29
2020-07-14,4,3,18,20,0,0,23,9,25,0,21
2020-07-15,4,5,18,30,44,31,0,0,25,0,21
2020-07-16,3,8,0,0,0,0,23,9,49,12,12
2020-07-17,3,3,0,69,44,0,0,0,0,23,12
2020-07-18,3,3,0,0,0,66,37,9,0,0,26
2020-07-19,4,6,0,33,25,0,0,0,0,0,23
2020-07-20,4,2,19,21,0,0,25,9,0,0,22
2020-07-21,5,6,0,53,0,33,25,0,52,0,18
2020-07-22,3,3,54,71,22,0,0,9,0,24,17
2020-07-23,4,2,19,0,23,33,0,0,0,0,17
2020-07-24,5,10,56,41,0,0,12,28,52,37,26
2020-07-25,7,9,20,45,0,0,0,10,0,13,14
2020-07-26,14,23,41,0,25,0,0,20,0,0,28
2020-07-27,17,26,55,61,0,0,24,37,0,12,38
2020-07-28,20,28,0,40,0,32,36,18,50,24,29
2020-07-29,24,34,54,100,22,0,47,36,50,0,50
2020-07-30,21,28,18,81,0,0,84,37,0,24,38
2020-07-31,31,47,34,66,21,0,33,25,0,0,16
2020-08-01,28,55,18,59,22,0,12,27,0,0,29
2020-08-02,24,43,18,10,22,0,0,9,25,12,30
2020-08-03,19,32,34,84,41,59,44,8,46,0,43
2020-08-04,25,28,16,55,0,86,11,8,68,0,49
2020-08-05,100,32,16,54,20,29,0,25,0,11,53
2020-08-06,19,40,0,28,21,0,11,0,0,33,43
2020-08-07,19,28,16,53,39,0,21,32,0,10,59
2020-08-08,18,37,36,89,22,31,23,9,0,12,21
2020-08-09,14,23,18,41,23,0,0,28,0,12,34
2020-08-10,12,23,0,36,100,0,32,8,23,11,30
2020-08-11,12,21,16,36,0,0,21,16,22,0,52
2020-08-12,12,17,16,9,20,28,10,16,0,10,100
2020-08-13,14,22,17,19,21,0,22,8,23,11,43
2020-08-14,13,22,0,38,0,30,0,9,0,0,87
2020-08-15,10,17,0,50,0,0,0,27,25,0,37
2020-08-16,10,23,19,32,23,0,12,9,0,25,31
2020-08-17,10,18,0,39,0,0,11,26,0,46,44
2020-08-18,11,12,51,57,21,0,11,17,47,11,20
2020-08-19,10,10,34,28,21,29,0,0,0,11,16
2020-08-20,9,11,0,67,0,30,11,9,0,0,40
2020-08-21,10,11,17,55,41,29,22,17,0,22,31
2020-08-22,6,12,0,40,22,31,0,9,25,0,46
2020-08-23,6,9,18,30,44,0,24,18,0,24,13
2020-08-24,7,7,0,38,0,0,11,42,47,11,16
2020-08-25,7,11,34,47,42,0,22,9,0,0,16
2020-08-26,6,6,0,39,0,0,0,9,24,0,16
2020-08-27,6,6,18,50,0,32,0,9,0,12,25
2020-08-28,6,9,35,29,22,0,12,9,24,0,12
2020-08-29,5,9,18,10,0,32,0,9,26,0,13
2020-08-30,4,8,0,42,23,0,12,0,0,12,22
2020-08-31,5,5,0,28,0,0,22,8,23,0,20
2020-09-01,5,5,0,58,21,30,23,9,0,11,8
2020-09-02,4,5,0,22,0,0,13,10,28,0,5
2020-09-03,5,7,0,30,22,32,0,36,25,12,21
2020-09-04,5,9,17,29,0,30,0,0,0,11,36
