date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,78,75,0,0,0,15,0,0,100,20
2020-04-02,100,100,25,29,0,0,15,0,0,0,40
2020-04-03,80,83,13,0,93,0,0,0,87,0,64
2020-04-04,94,90,0,0,0,100,52,0,0,0,70
2020-04-05,90,55,29,0,0,0,17,0,0,0,0
2020-04-06,62,52,14,0,100,0,33,0,0,0,66
2020-04-07,54,45,29,33,50,0,51,0,0,0,92
2020-04-08,67,39,42,32,0,0,50,0,0,0,68
2020-04-09,80,29,14,0,0,0,0,0,0,0,23
2020-04-10,16,84,45,0,52,0,54,0,0,0,0
2020-04-11,29,42,46,0,0,0,0,0,0,0,0
2020-04-12,40,29,42,0,0,0,0,0,0,0,0
2020-04-13,64,55,44,0,0,0,35,0,0,0,0
2020-04-14,79,30,0,34,0,0,52,50,0,0,24
2020-04-15,53,63,28,0,0,0,100,0,0,56,68
2020-04-16,42,15,57,99,0,0,17,0,0,0,46
2020-04-17,61,32,40,62,0,0,16,0,0,0,86
2020-04-18,82,58,15,0,0,0,18,0,100,0,0
2020-04-19,64,37,61,0,0,0,0,0,100,0,24
2020-04-20,74,60,73,0,0,0,17,100,0,0,23
2020-04-21,78,45,43,67,0,0,0,0,0,0,0
2020-04-22,60,35,72,100,0,0,17,49,0,0,69
2020-04-23,61,42,54,63,0,0,32,0,89,0,22
2020-04-24,87,38,31,0,51,0,18,0,0,0,100
2020-04-25,42,27,46,36,0,0,55,0,0,0,49
2020-04-26,25,21,15,0,0,0,0,0,0,0,50
2020-04-27,44,47,30,35,0,0,36,0,98,0,72
2020-04-28,28,36,44,0,0,0,0,0,0,0,47
2020-04-29,58,10,29,67,0,100,0,0,0,58,47
2020-04-30,55,37,13,0,0,0,16,0,86,0,21
2020-05-01,51,31,45,35,50,0,36,0,0,0,0
2020-05-02,55,21,15,0,0,0,0,0,0,0,50
2020-05-03,50,26,60,0,0,0,36,0,0,0,24
2020-05-04,65,15,44,34,49,0,17,0,0,0,24
2020-05-05,32,32,26,0,0,0,16,45,0,0,0
2020-05-06,34,5,14,0,0,0,34,0,0,0,23
2020-05-07,0,10,14,0,0,0,0,0,0,0,0
2020-05-08,20,36,44,0,0,0,0,0,97,0,0
2020-05-09,32,15,74,69,0,0,0,0,0,0,0
2020-05-10,46,0,30,0,0,0,0,0,0,0,0
2020-05-11,39,20,57,0,0,0,0,0,0,0,0
2020-05-12,34,24,82,0,0,0,0,0,0,0,22
2020-05-13,43,15,56,0,0,0,0,0,0,0,90
2020-05-14,26,9,94,0,0,0,16,0,89,0,22
2020-05-15,38,19,67,0,49,0,48,0,0,0,0
2020-05-16,19,25,100,33,0,0,0,0,0,0,23
2020-05-17,34,10,29,66,0,0,0,49,0,0,23
2020-05-18,34,50,29,33,0,0,0,0,0,0,46
2020-05-19,38,5,56,0,0,0,17,48,0,0,68
2020-05-20,43,10,42,33,0,0,17,0,0,0,23
2020-05-21,15,19,14,32,0,0,0,0,90,0,0
2020-05-22,12,21,30,0,0,0,0,0,0,0,0
2020-05-23,13,15,73,0,55,0,0,0,96,0,0
2020-05-24,28,32,0,35,0,0,18,0,0,0,24
2020-05-25,16,20,29,0,0,0,0,0,0,0,24
2020-05-26,21,9,13,30,0,0,15,0,0,0,0
2020-05-27,17,14,40,0,0,0,0,0,0,53,21
2020-05-28,4,13,0,90,46,0,0,0,85,0,0
2020-05-29,15,14,13,0,47,0,0,0,0,0,0
2020-05-30,8,5,14,66,0,0,0,0,0,0,0
2020-05-31,19,10,0,66,0,0,0,0,0,0,0
2020-06-01,15,33,41,32,0,0,16,0,0,0,0
2020-06-02,15,0,13,0,0,0,31,0,0,0,21
2020-06-03,10,9,13,0,0,0,0,0,0,0,21
2020-06-04,17,4,0,59,0,0,0,0,0,0,0
2020-06-05,24,9,26,30,0,0,0,0,0,0,21
2020-06-06,4,10,14,0,0,0,0,0,0,0,0
2020-06-07,19,10,0,0,0,0,0,0,0,0,23
2020-06-08,14,13,12,0,0,0,0,0,0,0,0
2020-06-09,27,22,0,0,0,0,0,0,0,50,20
2020-06-10,17,22,13,0,0,0,15,0,0,0,20
2020-06-11,7,9,25,0,0,0,0,0,0,0,0
2020-06-12,7,5,40,31,0,0,0,0,88,0,22
2020-06-13,8,10,0,0,0,0,0,0,0,0,0
2020-06-14,15,0,0,0,0,0,0,0,0,0,22
2020-06-15,11,9,0,0,0,0,0,0,0,0,0
2020-06-16,21,9,0,0,0,0,15,0,0,0,0
2020-06-17,24,4,0,29,0,0,0,0,0,0,20
2020-06-18,11,19,0,0,0,0,0,0,0,0,22
2020-06-19,21,9,13,0,0,0,0,0,0,0,22
2020-06-20,4,9,0,0,0,0,0,0,0,0,0
2020-06-21,8,9,14,32,0,0,16,0,0,0,22
2020-06-22,4,0,0,0,0,0,0,0,0,0,0
2020-06-23,4,5,14,0,0,0,0,0,90,0,0
2020-06-24,3,0,0,0,0,0,0,0,0,0,0
2020-06-25,20,4,0,0,0,0,0,0,0,0,0
2020-06-26,7,13,0,0,0,0,0,0,0,0,21
2020-06-27,4,9,13,0,0,0,0,0,0,0,0
2020-06-28,3,0,0,0,0,0,0,0,0,0,0
2020-06-29,10,9,13,0,0,0,0,0,0,0,0
2020-06-30,10,9,0,0,0,0,0,0,0,0,40
2020-07-01,7,0,12,0,0,0,0,0,0,0,0
2020-07-02,3,0,0,30,0,88,30,0,0,0,20
2020-07-03,11,0,14,0,0,0,0,0,0,0,22
2020-07-04,4,0,0,0,0,0,0,0,0,0,0
2020-07-05,8,0,13,0,0,0,0,0,0,0,21
2020-07-06,4,5,0,0,0,0,0,0,0,0,45
2020-07-07,10,5,0,0,0,0,16,0,0,0,0
2020-07-08,13,0,24,28,0,0,15,0,0,0,20
2020-07-09,10,4,12,28,0,0,0,0,80,0,20
2020-07-10,3,4,12,0,0,0,0,0,0,0,20
2020-07-11,10,12,0,0,0,0,0,0,0,0,0
2020-07-12,7,4,0,0,0,0,0,0,0,0,41
2020-07-13,0,8,0,0,0,0,0,0,0,0,0
2020-07-14,7,0,0,0,0,0,0,0,0,0,0
2020-07-15,17,12,0,0,0,0,0,0,0,0,19
2020-07-16,10,8,12,28,0,0,14,0,0,0,39
