date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,100,100,24,0,58,0,12,43,0,0,49
2020-04-02,54,53,12,27,0,0,0,0,0,0,49
2020-04-03,43,56,13,0,61,0,19,0,61,92,17
2020-04-04,45,77,28,0,0,0,32,0,0,0,0
2020-04-05,69,82,14,31,0,0,24,0,0,0,54
2020-04-06,32,62,13,28,0,0,16,0,60,0,67
2020-04-07,37,89,50,28,0,0,16,0,0,0,100
2020-04-08,53,90,51,0,61,0,6,0,60,0,17
2020-04-09,43,71,13,0,0,0,33,0,0,0,34
2020-04-10,44,53,42,31,0,0,39,0,0,100,37
2020-04-11,51,73,40,0,0,0,37,0,0,0,18
2020-04-12,46,45,27,31,0,0,14,0,0,0,55
2020-04-13,41,30,28,0,0,0,17,0,0,0,18
2020-04-14,61,79,39,0,0,0,17,0,0,0,17
2020-04-15,33,58,40,30,0,0,27,0,0,0,35
2020-04-16,32,48,75,0,0,0,29,0,0,0,34
2020-04-17,52,50,26,0,0,0,17,47,0,94,17
2020-04-18,33,87,80,0,0,0,81,0,0,0,53
2020-04-19,47,53,56,0,0,0,81,0,0,100,37
2020-04-20,58,41,25,0,0,0,48,0,0,0,17
2020-04-21,43,35,13,0,0,0,16,46,0,0,68
2020-04-22,39,22,27,0,0,0,23,0,0,0,0
2020-04-23,27,21,39,0,0,0,23,0,0,0,0
2020-04-24,24,28,51,58,0,0,19,0,0,0,34
2020-04-25,27,39,43,0,0,0,14,0,0,0,19
2020-04-26,17,30,55,0,0,0,14,0,0,0,18
2020-04-27,31,41,75,28,0,0,13,0,0,0,0
2020-04-28,37,34,25,0,0,0,19,0,0,0,17
2020-04-29,8,7,0,0,0,0,13,0,0,0,0
2020-04-30,25,60,88,0,53,0,17,0,0,0,15
2020-05-01,31,40,49,28,0,0,100,0,0,0,0
2020-05-02,22,42,26,58,0,0,20,0,0,0,0
2020-05-03,17,52,41,31,0,0,24,0,0,0,54
2020-05-04,33,26,60,27,0,0,33,0,0,0,0
2020-05-05,29,25,35,53,56,0,6,0,0,0,0
